enemy_id,enemy_name,archetype,move_speed,life,max_hp,attack_type,element_type,target_priority,core_pressure_score,is_elite,spawn_phase_weight,special_behavior,atk,spell_power,physical_def,fire_def,lightning_def,cold_def,dark_def,holy_def,crit_chance,crit_damage,power,physical_amp,fire_amp,lightning_amp,cold_amp,dark_amp,holy_amp,skill_haste,range_bonus,cooldown_reduction,duration_power,notes
ENEMY_001,Imp Grunt,grunt,3.2,1,45,melee,Fire,frontline,1,false,early,none,12,0,5,8,4,4,3,3,0.05,1.5,0,0,0.05,0,0,0,0,0,0,0,0,기본 화염 돌격병
ENEMY_002,Rush Hound,breaker,4.8,1,35,melee,Physical,player_then_core,3,false,early,dash_entry,15,0,6,2,2,2,2,2,0.05,1.5,0,0.05,0,0,0,0,0,0,0,0,0,기습 돌파형 적
ENEMY_003,Curse Archer,ranged,2.8,1,40,projectile,Dark,player,2,false,mid,backline_fire,10,12,3,3,3,3,8,3,0.05,1.5,0,0,0,0,0,0.05,0,0,0,0,0,후열 저주 사수
ENEMY_004,Iron Hulk,tank,2.0,1,140,melee,Physical,frontline,4,false,mid,high_endure,20,0,18,6,6,6,4,4,0.05,1.5,0,0.05,0,0,0,0,0,0,0,0,0,고방어 전열 탱커
ENEMY_005,Ritual Priest,support,2.4,1,55,spell,Holy,support_cluster,2,false,mid,buff_allies,6,18,4,4,4,4,4,8,0.05,1.5,0,0,0,0,0,0,0.05,0,0,0,0,버프형 성속 지원가
ENEMY_006,Brood Caller,summoner,2.2,1,70,spell,Dark,midline,3,false,late,spawn_minions,8,16,5,5,5,5,8,5,0.05,1.5,0,0,0,0,0,0.05,0,0,0,0,0,소환형 후열 적
ENEMY_007,Shade Skipper,disruptor,4.5,1,50,melee,Dark,core,5,false,late,side_flank,16,8,4,4,4,4,10,4,0.05,1.5,0.05,0,0,0,0,0.05,0,0,0,0,0,코어 암살형 적
ENEMY_008,Abyss Elite Guard,elite,3.0,2,220,melee,Dark,frontline,5,true,late,guard_break,28,10,20,10,10,10,18,10,0.05,1.5,0.1,0,0,0,0,0.1,0,0,0,0,0,엘리트 근접 수호병
BOSS_001,March Lord,boss,2.6,3,1800,melee,Physical,core,10,true,boss,summon_guards,55,20,30,12,12,12,12,12,0.05,1.5,0.15,0.1,0,0,0,0,0,0,0,0,0,물리 보스
BOSS_002,Frozen Prophet,boss,2.4,3,1600,spell,Cold,player_and_core,10,true,boss,freeze_zones,20,48,14,14,14,28,14,14,0.05,1.5,0.15,0,0,0,0.1,0,0,0,0,0,0,냉기 장판형 보스
