choice_id,choice_type,owner_id,skill_id,upgrade_branch_id,weight,min_level,max_level,prerequisite,exclusive_group,is_master
CHOICE_001,new_active,ALLY_001,SKILL_003,FORB_A,10,1,99,none,active_slot,false
CHOICE_002,new_active,ALLY_002,SKILL_004,FNED_A,10,1,99,none,active_slot,false
CHOICE_003,new_active,ALLY_003,SKILL_005,CMRK_A,10,1,99,none,active_slot,false
CHOICE_004,new_active,ALLY_004,SKILL_006,RVEIL_A,8,1,99,none,active_slot,false
CHOICE_005,upgrade_active,ALLY_001,SKILL_003,FORB_A,14,2,99,has_SKILL_003,FORB_A,false
CHOICE_006,upgrade_active,ALLY_002,SKILL_004,FNED_A,14,2,99,has_SKILL_004,FNED_A,false
CHOICE_007,new_passive,ALLY_001,SKILL_007,KINST,8,1,99,none,passive_slot,false
CHOICE_008,new_passive,ALLY_002,SKILL_008,SMIND,8,1,99,none,passive_slot,false
CHOICE_009,new_passive,ALLY_003,SKILL_009,HENGINE,8,1,99,none,passive_slot,false
CHOICE_010,master_unlock,ALLY_001,SKILL_010,IBLOOM,4,5,99,upgrade_3_FORB_A,FORB_A,true
