branch_id,skill_id,branch_name,branch_type,description,unlock_order,exclusive_group,master_result
FORB_A1,SKILL_003,Blast Radius,area_up,Increase explosion radius,1,FORB,IBLOOM
FORB_A2,SKILL_003,Hotter Ember,burn_stack_up,Increase Burn stacks applied,1,FORB,IBLOOM
FORB_A3,SKILL_003,Ember Split,on_kill_spawn,Spawn mini orb on kill,2,FORB,IBLOOM
FORB_A4,SKILL_003,Heavy Orb,damage_up_slow_cd,Higher damage slower cooldown,2,FORB,IBLOOM
FORB_A5,SKILL_003,Core Burst,center_bonus,Bonus damage at blast center,3,FORB,IBLOOM
FNED_A1,SKILL_004,Deep Pierce,pierce_up,Increase pierce count,1,FNED,GLACIER_LINE
FNED_A2,SKILL_004,Long Chill,duration_up,Increase Chill duration,1,FNED,GLACIER_LINE
FNED_A3,SKILL_004,Ice Lock,freeze_chance,Increase Freeze chance on high stacks,2,FNED,GLACIER_LINE
FNED_A4,SKILL_004,Shard Volley,multi_shot,More needles lower damage,2,FNED,GLACIER_LINE
FNED_A5,SKILL_004,Boss Slow,boss_control,Increase slow effect on bosses,3,FNED,GLACIER_LINE
CMRK_A1,SKILL_005,Long Hex,duration_up,Increase mark duration,1,CMRK,HEX_CASCADE
CMRK_A2,SKILL_005,Hex Spread,on_kill_spread,Spread mark on kill,1,CMRK,HEX_CASCADE
CMRK_A3,SKILL_005,Dark Erosion,resist_shred,Reduce resist on marked target,2,CMRK,HEX_CASCADE
CMRK_A4,SKILL_005,Stacked Omen,max_stack_up,Increase mark stacks,2,CMRK,HEX_CASCADE
CMRK_A5,SKILL_005,Boss Blight,boss_bonus,Increase effect on elites and bosses,3,CMRK,HEX_CASCADE
RVEIL_A1,SKILL_006,Thick Veil,shield_up,Increase shield value,1,RVEIL,SANCTUM_FIELD
RVEIL_A2,SKILL_006,Lasting Prayer,duration_up,Increase duration,1,RVEIL,SANCTUM_FIELD
RVEIL_A3,SKILL_006,Wider Grace,target_up,Increase number of affected allies,2,RVEIL,SANCTUM_FIELD
RVEIL_A4,SKILL_006,Cleanse Light,cleanse_add,Add cleanse on cast,2,RVEIL,SANCTUM_FIELD
RVEIL_A5,SKILL_006,Quickening Hymn,atkspd_buff,Increase attack speed of shielded allies,3,RVEIL,SANCTUM_FIELD
