"effect_name","synergy_level_name","application_mode","recipient_scope","recipient_monster_name","target_skill_name","outcome_skill_name","spawn_monster_name"
"name","name","enum:ArtifactEffectApplicationMode","enum:ArtifactEffectRecipient","string","skill_name","skill_name","summoned_monster_name"
"spirit-contract-level-1-spawn-spirit-king","spirit-contract-level-1","SpawnUnit","Stage","","","","spirit-king"
"spirit-contract-level-1-grant-elemental-explosion","spirit-contract-level-1","GrantSkill","Summon","","","spirit-king-elemental-explosion",""
"spirit-contract-level-2-grant-elemental-storm","spirit-contract-level-2","GrantSkill","Summon","","","spirit-king-elemental-storm",""
"spirit-contract-level-3-grant-spirit-bombardment","spirit-contract-level-3","GrantSkill","Summon","","","spirit-king-spirit-bombardment",""
"spirit-contract-level-4-grant-dimensional-rift","spirit-contract-level-4","GrantSkill","Summon","","","spirit-king-dimensional-rift",""
"executioner-level-1-critical-chance","executioner-level-1","SkillModifier","AllAllies","","","",""
"executioner-level-2-critical-damage","executioner-level-2","SkillModifier","AllAllies","","","",""
"executioner-level-3-low-health-critical-damage","executioner-level-3","SkillModifier","AllAllies","","","",""
"executioner-level-4-boss-critical-bonus","executioner-level-4","SkillModifier","AllAllies","","","",""
"chosen-one-level-1-encore","chosen-one-level-1","PassiveTrigger","ChosenOne","","","",""
"chosen-one-level-2-final-damage","chosen-one-level-2","SkillModifier","ChosenOne","","","",""
"chosen-one-level-3-highlight","chosen-one-level-3","PassiveTrigger","ChosenOne","","","",""
"chosen-one-level-4-finale","chosen-one-level-4","SkillModifier","ChosenOne","","","",""
"sentinel-level-1-defense-resistance","sentinel-level-1","SkillModifier","AllAllies","","","",""
"sentinel-level-2-defense-resistance","sentinel-level-2","SkillModifier","AllAllies","","","",""
"sentinel-level-2-shield-reflection","sentinel-level-2","PassiveTrigger","AllAllies","","","",""
"sentinel-level-3-defense-resistance-shield-reduction","sentinel-level-3","SkillModifier","AllAllies","","","",""
"sentinel-level-3-shield-final-damage-reduction","sentinel-level-3","SkillModifier","AllAllies","","","",""
"sentinel-level-4-defense-resistance","sentinel-level-4","SkillModifier","AllAllies","","","",""
"sentinel-level-4-shield-reflection","sentinel-level-4","PassiveTrigger","AllAllies","","","",""
"artillery-level-1-reload-time","artillery-level-1","SkillModifier","AllAllies","","","",""
"artillery-level-1-support-bombardment","artillery-level-1","PassiveTrigger","AllAllies","","","",""
"artillery-level-2-reload-time","artillery-level-2","SkillModifier","AllAllies","","","",""
"artillery-level-2-support-bombardment","artillery-level-2","SkillModifier","Stage","","","",""
"artillery-level-3-reload-time","artillery-level-3","SkillModifier","AllAllies","","","",""
"artillery-level-3-shrapnel","artillery-level-3","PassiveTrigger","Stage","","","",""
"artillery-level-4-reload-time","artillery-level-4","SkillModifier","AllAllies","","","",""
"artillery-level-4-support-bombardment","artillery-level-4","SkillModifier","Stage","","","",""
