"trigger_name","monster_name","source_skill_name","trigger_event","requires_active_choice_name","excludes_active_choice_name","required_source_status_name","required_source_status_min_stacks","condition_status_name","condition_status_source_skill_name","trigger_attribute","event_skill_name","event_skill_runtime_kinds","proc_chance","internal_cooldown_seconds","trigger_delay_seconds","trigger_every_count","event_source_scope","sort_order","repeat_count","repeat_interval_seconds","require_event_execute","require_event_critical","event_skill_slots"
"name","string","string","enum:SkillTriggerEvent","string","string","string","int","string","string","string","string","string","float","float","float","int","string","int","int","float","bool","bool","string"
"rift-gem-physical-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","100","1","0","false","false",""
"rift-gem-fire-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","101","1","0","false","false",""
"rift-gem-lightning-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","102","1","0","false","false",""
"rift-gem-ice-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","103","1","0","false","false",""
"rift-gem-darkness-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","104","1","0","false","false",""
"rift-gem-holy-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","105","1","0","false","false",""
"resonance-compass-fire","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Fire","","","0.08","0","0.3","0","owner","110","1","0","false","false",""
"resonance-compass-lightning","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Lightning","","","0.08","0","0.3","0","owner","111","1","0","false","false",""
"resonance-compass-ice","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Ice","","","0.08","0","0.3","0","owner","112","1","0","false","false",""
"resonance-compass-darkness","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Darkness","","","0.08","0","0.3","0","owner","113","1","0","false","false",""
"resonance-compass-holy","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Holy","","","0.08","0","0.3","0","owner","114","1","0","false","false",""
"sharp-chalice-holy-critical-exposure","sharp-chalice","sharp-chalice-effect","OnOutgoingDamage","","","","","","","Holy","","","1","0","0","0","owner","120","1","0","false","true",""
"chosen-one-encore-trigger","chosen-one","chosen-one-level-1-encore","OnSkillCast","","","","","","","","","MagazineProjectile;CooldownProjectile;LineAttack;AreaAttack;SingleAttack;Buff;Shield;Heal;Mark;Execute","1","0","0","3","owner","200","1","0","false","false","A;B;C;D;E"
"martial-artists-breath-trigger","martial-artists-breath","martial-artists-breath-effect","OnOutgoingDamage","","","","","","","Physical","","","1","0","0","0","owner","210","1","0","false","false",""
"sentinel-level-2-shield-reflection-trigger","sentinel","sentinel-level-2-shield-reflection","OnShieldAbsorb","","","","","","","","","","1","0","0","0","owner","300","1","0","false","false",""
"sentinel-level-4-shield-reflection-trigger","sentinel","sentinel-level-4-shield-reflection","OnShieldAbsorb","","","","","","","","","","1","0","0","0","owner","301","1","0","false","false",""
"pure-white-shield-trigger","pure-white-shield","pure-white-shield-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","310","1","0","false","false",""
"unbreakable-promise-trigger","unbreakable-promise","unbreakable-promise-effect","OnShieldBreak","","","","","","","","","","1","0","0","0","owner","320","1","0","false","false",""
"blue-cross-trigger","blue-cross","blue-cross-effect","OnHealOrShieldReceived","","","","","","","","","","1","0","0","0","owner","330","1","0","false","false",""
"pilgrims-cloak-trigger","pilgrims-cloak","pilgrims-cloak-effect","BossCombatStart","","","","","","","","","","1","0","0","0","owner","340","1","0","false","false",""
"faded-gate-trigger","faded-gate","faded-gate-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","350","1","0","false","false",""
"reflection-mirror-trigger","reflection-mirror","reflection-mirror-effect","OnShieldAbsorb","","","","","","","","","","1","0","0","0","owner","360","1","0","false","false",""
"sentinels-bell-trigger","sentinels-bell","sentinels-bell-effect","OnShieldExpire","","","","","","","","","","1","0","0","0","owner","370","1","0","false","false",""
"artillery-support-bombardment-trigger","artillery","artillery-level-1-support-bombardment","OnReloadComplete","","","","","","","","","MagazineProjectile","1","0","0","0","owner","400","1","0","false","false",""
"lightning-magazine-trigger","lightning-magazine","lightning-magazine-effect","OnOutgoingDamage","","","","","","","Lightning","","MagazineProjectile","0.20","0","0","0","owner","410","1","0","false","false",""
