"monster_name","owner_kind","owner_name","target_skill_name","node_order","node_type_name","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_name"
"string","enum","string","skill_name","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_name"
"ember-crown","Effect","ember-crown-effect","","1","ConditionSkillAttribute","Fire","","","","","","","","","","","",""
"ember-crown","Effect","ember-crown-effect","","2","DamageMultiplier","1.18","","","","","","","","","","","",""
"ember-crown","Effect","ember-crown-exposure-effect","","1","ConditionalDamageMultiplier","fire-exposure","1","1.10","","","","","","","","","",""
"frost-lens","Effect","frost-lens-effect","","1","ConditionSkillAttribute","Ice","","","","","","","","","","","",""
"frost-lens","Effect","frost-lens-effect","","2","DamageMultiplier","1.18","","","","","","","","","","","",""
"frost-lens","Effect","frost-lens-status-effect","","1","ConditionAnyStatus","chill;freeze","Enemy","","1","","","","","","","","",""
"frost-lens","Effect","frost-lens-status-effect","","2","DamageMultiplier","1.10","","","","","","","","","","","",""
"storm-capacitor","Effect","storm-capacitor-effect","","1","ConditionSkillAttribute","Lightning","","","","","","","","","","","",""
"storm-capacitor","Effect","storm-capacitor-effect","","2","DamageMultiplier","1.18","","","","","","","","","","","",""
"storm-capacitor","Effect","storm-capacitor-shock-effect","","1","ConditionalDamageMultiplier","shock","1","1.10","","","","","","","","","",""
"radiant-chalice","Effect","radiant-chalice-effect","","1","ConditionSkillAttribute","Holy","","","","","","","","","","","",""
"radiant-chalice","Effect","radiant-chalice-effect","","2","DamageMultiplier","1.18","","","","","","","","","","","",""
"radiant-chalice","Effect","radiant-chalice-shield-effect","","1","RequiredSourceStatus","shield","1","","","","","","","","","","",""
"radiant-chalice","Effect","radiant-chalice-shield-effect","","2","DamageMultiplier","1.08","","","","","","","","","","","",""
"black-candlestick","Effect","black-candlestick-effect","","1","ConditionSkillAttribute","Darkness","","","","","","","","","","","",""
"black-candlestick","Effect","black-candlestick-effect","","2","DamageMultiplier","1.18","","","","","","","","","","","",""
"black-candlestick","Effect","black-candlestick-mark-effect","","1","ConditionAnyStatus","name-mark;holy-exposure;sein-a-hit-mark","Enemy","","1","","","","","","","","",""
"black-candlestick","Effect","black-candlestick-mark-effect","","2","DamageMultiplier","1.08","","","","","","","","","","","",""
"executioner","Effect","executioner-level-1-critical-chance","","1","CritChanceBonus","0.08","","","","","","","","","","","",""
"executioner","Effect","executioner-level-1-critical-chance","","2","TargetHealthRatioCritBonus","0.35","0.08","","","","","","","","","","",""
"executioner","Effect","executioner-level-2-critical-damage","","1","CritDamageBonus","0.35","","","","","","","","","","","",""
"executioner","Effect","executioner-level-2-critical-damage","","2","CriticalFinalDamageModifier","1.08","","","","","","","","","","","",""
"executioner","Effect","executioner-level-3-low-health-critical-damage","","1","TargetHealthRatioCritBonus","0.35","","0.60","","","","","","","","","",""
"executioner","Effect","executioner-level-4-boss-critical-bonus","","1","TargetBossCritBonus","0.15","0.80","","","","","","","","","","",""
"glass-heart","Effect","glass-heart-effect","","1","CritDamageBonus","0.20","","","","","","","","","","","",""
"prophets-eye","Effect","prophets-eye-effect","","1","TargetHighestHealthCritBonus","0.15","","","","","","","","","","","",""
"execution-ring","Effect","execution-ring-effect","","1","TargetHealthRatioCritBonus","0.35","","0.50","","","","","","","","","",""
"sharp-chalice","Trigger","sharp-chalice-holy-critical-exposure","","1","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","1","","","","",""
"sharp-chalice","Trigger","sharp-chalice-holy-critical-exposure","","2","SetDuration","1","","","","","","","","","","","",""
"red-scope","Effect","red-scope-effect","","1","SkillRuntimeKindCritBonus","MagazineProjectile;CooldownProjectile","0.12","","","","","","","","","","",""
"cracked-crown","Effect","cracked-crown-effect","","1","TargetBossCritBonus","0.10","0.25","","","","","","","","","","",""
"execution-ledger","Effect","execution-ledger-effect","","1","TargetStatusCritBonus","name-mark","0.15","","","","","","","","","","",""
"execution-ledger","Effect","execution-ledger-effect","","2","TargetStatusCritBonus","sein-a-hit-mark","0.15","","","","","","","","","","",""
"silver-needle","Effect","silver-needle-effect","","1","MagazineLastProjectileCritDamageBonus","0.70","","","","","","","","","","","",""
"starlight-whetstone","Effect","starlight-whetstone-effect","","1","CritChanceBonus","0.20","","","","","","","","","","","",""
"coin-of-fate","Effect","coin-of-fate-effect","","1","FateCoinCritChanceProgression","0.05","0.25","","","","","","","","","","",""
"sharp-chalice","Trigger","sharp-chalice-holy-critical-exposure","","3","ExtendStatusDuration","holy-exposure","","","","","","","","","","","",""
"spirit-elixir","Effect","spirit-elixir-effect","","1","DamageMultiplier","1.10","","","","","","","","","","","",""
"spirit-elixir","Effect","spirit-elixir-contract-count-effect","","1","DamageMultiplier","1.02","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-fire-effect","","1","ConditionSkillAttribute","Fire","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-fire-effect","","2","DamageMultiplier","1.12","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-lightning-effect","","1","ConditionSkillAttribute","Lightning","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-lightning-effect","","2","DamageMultiplier","1.12","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-ice-effect","","1","ConditionSkillAttribute","Ice","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-ice-effect","","2","DamageMultiplier","1.12","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-darkness-effect","","1","ConditionSkillAttribute","Darkness","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-darkness-effect","","2","DamageMultiplier","1.12","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-holy-effect","","1","ConditionSkillAttribute","Holy","","","","","","","","","","","",""
"elemental-prism","Effect","elemental-prism-holy-effect","","2","DamageMultiplier","1.12","","","","","","","","","","","",""
"elemental-codex","Effect","elemental-codex-effect","","1","DamageMultiplier","1.04","","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-physical-resist-down","","1","StatusModifier","","same_source_refresh","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-physical-resist-down","","2","SelectTargets","Enemy","Owner","Battlefield","Caster","","","true","0","","","","",""
"rift-gem","Trigger","rift-gem-physical-resist-down","","3","SetDuration","0","","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-physical-resist-down","","4","StatusFlatElementResistReduction","5","Physical","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-fire-resist-down","","1","StatusModifier","","same_source_refresh","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-fire-resist-down","","2","SelectTargets","Enemy","Owner","Battlefield","Caster","","","true","0","","","","",""
"rift-gem","Trigger","rift-gem-fire-resist-down","","3","SetDuration","0","","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-fire-resist-down","","4","StatusFlatElementResistReduction","5","Fire","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-lightning-resist-down","","1","StatusModifier","","same_source_refresh","","","","","","","","","","",""
