"artifact_id","artifact_display_name","synergy_id","description_text","artifact_icon"
"id","string","id","string","asset_path"
"elemental-prism","원소 프리즘","spirit-contract","모든 아군이 보유한 스킬 속성에 따라 가장 많은 속성의 피해 +12%","Assets/Image/Artifact/elemental-prism.png"
"ember-crown","불씨 왕관","spirit-contract","화염 피해 +18%, 화염 노출 대상에게 추가 +10%","Assets/Image/Artifact/ember-crown.png"
"frost-lens","서리 렌즈","spirit-contract","얼음 피해 +18%, 추위/빙결 대상에게 추가 +10%","Assets/Image/Artifact/frost-lens.png"
"storm-capacitor","폭풍 축전기","spirit-contract","번개 피해 +18%, 감전 대상에게 추가 +10%","Assets/Image/Artifact/storm-capacitor.png"
"radiant-chalice","성광 잔","spirit-contract","신성 피해 +18%, 방어막을 가진 아군은 추가 +8%","Assets/Image/Artifact/radiant-chalice.png"
"black-candlestick","검은 촛대","spirit-contract","어둠 피해 +18%, 표식/낙인 대상에게 추가 +8%","Assets/Image/Artifact/black-candlestick.png"
"spirit-elixir","정령의 비약","spirit-contract","모든 속성 피해 +10%, 정령계약 유물 1개당 +2%","Assets/Image/Artifact/spirit-elixir.png"
"rift-gem","균열 보석","spirit-contract","적의 모든 속성 저항 -5","Assets/Image/Artifact/rift-gem.png"
"elemental-codex","원소 도감","spirit-contract","아군의 서로 다른 대표 속성 1개당 모든 속성 피해 +4%","Assets/Image/Artifact/elemental-codex.png"
"resonance-compass","공명 나침반","spirit-contract","아군이 속성 피해를 줄 때 8% 확률로 같은 속성의 30% 추가 피해 발생",""
"glass-heart","유리 심장","executioner","모든 아군 치명타 피해 +30%",""
"prophets-eye","예언자의 눈","executioner","체력이 가장 높은 적에게 치명타 확률 +15%",""
"execution-ring","처형 반지","executioner","체력 35% 이하 적에게 치명타 피해 +50%",""
"sharp-chalice","날 선 성배","executioner","신성 피해가 치명타로 적중하면 신성 노출 1초 연장",""
"red-scope","붉은 조준경","executioner","투사체 스킬 치명타 확률 +12%",""
"cracked-crown","금 간 왕관","executioner","보스에게 치명타 확률 +10%, 치명타 피해 +25%",""
"execution-ledger","사형 명부","executioner","표식이 있는 적에게 치명타 확률 +15%",""
"silver-needle","백은 바늘","executioner","다단히트 스킬의 마지막 타격 치명타 피해 +70%",""
"starlight-whetstone","별빛 숫돌","executioner","모든 아군 치명타 저항 관통 +10",""
"coin-of-fate","운명의 동전","executioner","치명타가 발생하지 않은 다음 공격의 치명타 확률 +5%, 최대 25%",""
"quantum-computation","양자 연산","chosen-one","이브의 번개 피해 +50%",""
"absolute-zero-circuit","절대영점 회로","chosen-one","이브의 얼음 피해 +35%, 빙결 대상에게 추가 +25%",""
"nameless-ledger","이름 없는 명부","chosen-one","베가의 이름표식 1스택당 최종선고 피해 +6%",""
"black-execution-platform","검은 처형대","chosen-one","베가의 검은 명부 개방 범위 피해 +45%",""
"convection-arrowhead","대류 화살촉","chosen-one","세인의 열풍 화살과 작열 난사 피해 +40%",""
"dooms-ember","종말의 잔불","chosen-one","세인의 종말의 사선 쿨타임 -25%, 위력 +25%",""
"archangel-sigil","대천사 인장","chosen-one","아리엘의 방어막량 +45%",""
"hymn-baton","성가 지휘봉","chosen-one","아리엘의 축복 효과 +35%",""
"shattering-glove","파쇄 장갑","chosen-one","린의 파쇄권 피해 +50%",""
"martial-artists-breath","무투가의 호흡","chosen-one","린이 물리 피해를 줄 때 자신의 행동속도 +4%, 최대 5중첩",""
"pure-white-shield","순백 방패","sentinel","전투 시작 시 모든 아군에게 최대 체력 12% 방어막",""
"sanctuary-fragment","성역 조각","sentinel","방어막을 가진 아군의 신성 피해 +18%",""
"unbreakable-promise","깨지지 않는 약속","sentinel","방어막이 파괴될 때 2초 동안 받는 피해 -30%",""
"guardians-censer","수호자의 향로","sentinel","모든 아군 방어막 지속시간 +2초",""
"blue-cross","푸른 십자가","sentinel","회복 또는 방어막을 받은 아군의 행동속도 +10%, 4초",""
"pilgrims-cloak","순례자 망토","sentinel","보스전 시작 시 모든 아군 방어막 +50%",""
"faded-gate","빛바랜 성문","sentinel","전투 시작 후 6초 동안 모든 아군 받는 피해 -20%",""
"reflection-mirror","반사 거울","sentinel","방어막이 피해를 흡수할 때 흡수량의 20%를 신성 피해로 반사",""
"prayer-stone","기도석","sentinel","방어막을 가진 아군의 쿨타임 충전 속도 +12%",""
"sentinels-bell","파수꾼의 종","sentinel","아군 방어막이 사라질 때 주변 적에게 신성 노출 2초 부여",""
"infinite-shell","무한 탄피","artillery","모든 탄창형 스킬 탄창 +1",""
"overheated-chamber","과열 약실","artillery","탄창을 모두 소모한 뒤 다음 재장전 완료 시 위력 +25%",""
"double-barrel-core","쌍열 코어","artillery","첫 번째 투사체가 30% 위력의 추가 투사체를 발사",""
"rapid-loader","신속 장전기","artillery","재장전 시간 -18%",""
"piercing-feather","관통 깃털","artillery","모든 투사체 관통 횟수 +1",""
"barrage-blueprint","난사 도면","artillery","발사 간격 -12%, 투사체 피해 -5%",""
"blessed-quiver","축복 화살통","artillery","신성/화염 투사체 피해 +18%",""
"lightning-magazine","번개 탄창","artillery","번개 투사체가 20% 확률로 감전 1스택 부여",""
"execution-round","처형 탄환","artillery","탄창의 마지막 탄환 피해 +60%",""
"revolving-chamber","회전 약실","artillery","탄창형 스킬 사용 중 치명타 확률 +10%",""
