line_id,phase_id,sequence_id,block_order,text
string,string,string,int,string
line1-1,phase1,intro,1,"안녕하세요, 소환자님!\n소환자님의 여정을 안내해 드릴 아리엘이라고 합니다.\n앞으로 잘 부탁드려요."
line1-2,phase1,intro,2,"그럼 먼저, 정령과 감정이 깃든 이 세계에서\n저희를 어떻게 지휘하실 수 있는지 알려 드릴게요."
line1-3,phase1,basic-hit,1,"저기, 영혼처럼 보이는 정령들이 보이시나요?\n이 세계에서는 긍정적인 감정이 타락하여 정령이 되기도 한답니다.\n우선 저 정령들을 마우스 왼쪽 버튼으로 공격해 볼까요?\n버튼을 계속 누르고 계셔도 괜찮답니다."
line1-4,phase1,basic-clear,1,"아주 잘하셨어요!\n이렇게 타락한 정령들을 정화할 수 있답니다.\n이제 남은 정령들도 정화해 볼까요?\n기본 공격에는 정해진 탄창과 재장전 시간이 있으니,\n신중하게 사용해 주세요."
line1-5,phase1,reward,1,"참 잘하셨어요!\n그럼 이제, 정화의 보상을 받으러 가 볼까요?"
line2-1,phase2,offering-open,1,"이곳은 교회랍니다.\n타락한 정령을 정화하고 여러 보상을 받을 수 있는 곳이지요.\n먼저 정령을 정화하여 새로운 스킬을 습득해 볼까요?"
line2-2,phase2,offering-choice,1,"세 가지 선택지가 보이시나요?\n이곳에서 스킬을 하나 습득해 소환자님을 더욱 강하게 만들 수 있답니다.\n마음이 이끄는 스킬을 선택해 주세요."
line2-3,phase2,manifest,1,"이제 현현에 대해 알려 드릴게요.\n현현은 정화된 정령을 매개로 새로운 소환자를 불러내는 의식이랍니다.\n이를 통해 소환자님의 진영을 더욱 든든하게 만들 수 있어요.\n그럼 새로운 소환자를 직접 현현시켜 볼까요?"
line2-4,phase2,reward-finish,1,"그럼 남은 보상도 모두 받은 뒤,\n다음 스테이지로 나아가 볼까요?"
line3-1,phase3,auto-intro,1,"잠시만요. 계속 클릭하시느라 불편하셨나요?\n그렇다면 왼쪽의 Auto 버튼을 눌러 보세요.\nAuto 모드는 적을 자동으로 조준해 공격하도록 도와준답니다.\n다만 직접 조준해야 하는 순간도 있으니, 지나치게 의지하지는 말아 주세요."
line3-2,phase3,auto-speed,1,"또한 이 세계에서는 시간의 정령이 지닌 힘으로\n시간의 흐름을 빠르게 할 수 있답니다.\nAuto 버튼 왼쪽에 있는 배속 버튼을 눌러 볼까요?\n이 버튼으로 1.5배속과 2배속을 선택할 수 있답니다.\n그럼 1.5배속이나 2배속을 선택하고 Auto 모드도 활성화해 주세요."
line3-3,phase3,combat,1,"아주 잘하셨어요!\n그럼 저 타락한 정령들을 모두 정화해 볼까요?"
line4-1,phase4,artifact-intro,1,"훌륭해요! 이번에는 유물에 대해 알려 드릴게요.\n유물은 옛 정령들이 사용하던 물건으로, 강력한 힘을 지니고 있답니다.\n각 유물에는 고유한 시너지 효과가 깃들어 있으니,\n같은 시너지의 유물을 모아 보시길 권해 드려요."
line4-2,phase4,artifact-choice,1,"그럼 유물 보상 하나를 선택해 볼까요?"
line4-3,phase4,finish,1,"정말 잘하셨어요!\n이제 저희 소환자들을 지휘하여 함께 이 세계를 정화해 보아요."
