enemy_name,stage_name,sort_order,display_name,encounter_role,attack_type,attribute,max_health,attack_power,spell_power,move_speed,crit_chance,crit_damage,def_physical,def_fire,def_lightning,def_ice,def_darkness,def_holy,skill_slot_a_name,skill_slot_b_name,passive_name,nexus_damage,Image
name,string,int,string,enum:EnemyEncounterRole,enum:EnemyAttackType,enum:DamageAttribute,float,float,float,float,float,float,float,float,float,float,float,float,name,name,name,float,asset_path
stage1-swordsman,stage_one,0,절망의 정령,Normal,Melee,Physical,100,12,0,1,0.05,1.5,5,2,2,2,2,2,Slash,Slash,enemy-sword-mastery,1,Assets/Enemy/Stage1/Enemy/Animation/Sprit/절망의정령/StandingImage.png
stage1-shieldbearer,stage_one,1,시기의 정령,Normal,Melee,Physical,180,8,0,0.75,0.05,1.5,12,3,3,3,2,2,Slash,ShieldUp,enemy-thick-armor,1,Assets/Enemy/Stage1/Enemy/Animation/Sprit/시기의정령/StandingImage.png
stage1-archer,stage_one,2,질투의 정령,Normal,Ranged,Physical,80,10,0,0.9,0.05,1.5,3,2,2,2,2,2,AimedShot,AimedShot,enemy-precision-aim,1,Assets/Enemy/Stage1/Enemy/Animation/Sprit/질투의정령/StandingImage.png
stage1-rogue,stage_one,3,분노의 정령,Normal,Ranged,Physical,70,15,0,1,0.05,1.5,2,2,2,2,2,2,AimedShot,ShurikenThrow,enemy-sharp-shuriken,1,Assets/Enemy/Stage1/Enemy/Animation/Sprit/분노의정령/StandingImage.png
stage1-priest,stage_one,4,분노와 시기의 정령,Normal,Buffer,Holy,90,4,12,0.8,0.05,1.5,3,2,2,2,2,8,AimedShot,Heal,enemy-holy-focus,1,Assets/Enemy/Stage1/Enemy/Animation/Sprit/분노와시기의정령/StandingImage.png
stage1-guardian-captain,stage_one,5,악의의 정령,Day5Midboss,Melee,Physical,2200,18,4,0.85,0.05,1.5,15,5,5,5,4,6,Slash,GuardianFlag,enemy-guardian-mastery,1,Assets/Enemy/Stage1/Enemy/Animation/Sprit/악의의정령/StandingImage.png
stage1-attack-captain,stage_one,6,의심의 정령,Day10Midboss,Melee,Physical,3200,26,0,1.1,0.05,1.5,12,4,4,4,3,3,Slash,ChargeCommand,enemy-attack-mastery,1,Assets/Enemy/Stage1/Enemy/Animation/Sprit/의심의정령/StandingImage.png
stage1-hero-karin,stage_one,7,고뇌의 정령,StageBoss,MeleeAndRanged,Physical,5000,32,10,1,0.05,1.5,16,6,6,6,5,12,Slash,SacredSwordWave,enemy-hero-power,1,Assets/Enemy/Stage1/Enemy/Animation/Sprit/고뇌의정령/StandingImage.png
stage2-fire-dragon-slayer,stage_two,0,공포의 정령,Normal,Melee,Fire,210,20,10,1.05,0.05,1.5,8,22,6,5,4,4,Slash,FireDragonSlash,enemy-fire-dragon-scales,1,Assets/Enemy/Stage2/Enemy/Spirit/Black_공포의정령/StandingImage.png
stage2-lightning-scout,stage_two,1,이기심의 정령,Normal,MeleeAndRanged,Lightning,170,18,18,1.20,0.05,1.5,7,5,22,5,4,4,Slash,ChainLightning,enemy-lightning-mobility,1,Assets/Enemy/Stage2/Enemy/Spirit/Blue_이기심의정령/StandingImage.png
stage2-ice-guard,stage_two,2,교만의 정령,Normal,Melee,Ice,260,16,12,0.70,0.05,1.5,12,5,6,24,4,4,AimedShot,FrostPressure,enemy-ice-armor,1,Assets/Enemy/Stage2/Enemy/Spirit/Green_교만의정령/StandingImage.png
stage2-dark-assassin,stage_two,3,욕망의 정령,Normal,Ranged,Darkness,160,24,10,1.00,0.05,1.5,6,5,5,5,24,4,AimedShot,DarkStab,enemy-dark-ambush,1,Assets/Enemy/Stage2/Enemy/Spirit/Orange_욕망의정령/StandingImage.png
stage2-holy-priest,stage_two,4,격노의 정령,Normal,Ranged,Holy,190,6,26,0.80,0.05,1.5,6,5,5,5,4,24,AimedShot,HolyDragonHeal,enemy-holy-blessing,1,Assets/Enemy/Stage2/Enemy/Spirit/Red_격노의정령/StandingImage.png
stage2-ethan,stage_two,5,고독의 정령,Day5Midboss,Ranged,Physical,4200,32,12,0.95,0.05,1.5,16,8,14,6,5,6,Slash,HolySpearThrow,enemy-holy-spear-aim,1,Assets/Enemy/Stage2/Enemy/Spirit/Violet_고독의정령/StandingImage.png
stage2-drake,stage_two,6,탐욕의 정령,Day10Midboss,Melee,Physical,5400,40,0,1.30,0.05,1.5,22,10,8,7,5,5,Slash,OpeningCharge,enemy-dragon-slaying-swordsmanship,1,Assets/Enemy/Stage2/Enemy/Spirit/White_탐욕의정령/StandingImage.png
stage2-arsen,stage_two,7,허무의 정령,StageBoss,Melee,Physical,8000,48,12,0.95,0.05,1.5,26,20,10,8,6,6,Slash,Intimidation,enemy-commander-resistance,1,Assets/Enemy/Stage2/Enemy/Spirit/Yellow_허무의정령/StandingImage.png
