skill_id,display_name,modifier_kind,attribute,modifier_value
id,string,enum:EnemyPassiveModifierKind,string,float
enemy-sword-mastery,검술 숙련,DamageUp,Physical,0.10
enemy-thick-armor,두꺼운 갑옷,DefenseUp,,0.10
enemy-precision-aim,정조준,CritChanceUp,,0.08
enemy-sharp-shuriken,날카로운 수리검,CritDamageUp,,0.20
enemy-holy-focus,신성 집중,HealingUp,,0.15
enemy-guardian-mastery,수호 숙련,IncomingDamageDown,,0.12
enemy-attack-mastery,공격 숙련,DamageUp,Physical,0.12
enemy-hero-power,용사의 힘,DamageUp,Physical,0.15
enemy-fire-dragon-scales,화룡 비늘,DefenseUp,Fire,0.15
enemy-lightning-mobility,뇌룡 기동,DamageUp,Lightning,0.12
enemy-ice-armor,빙룡 갑주,DefenseUp,Ice,0.15
enemy-dark-ambush,흑룡 암습,CritDamageUp,,0.25
enemy-holy-blessing,성룡 축복,DefenseUp,Holy,0.15
enemy-holy-spear-aim,성창 조준,CritChanceUp,,0.10
enemy-dragon-slaying-swordsmanship,용살 검술,DamageUp,Physical,0.15
enemy-commander-resistance,단장의 내성,DefenseUp,Fire,0.15
