choice_id,monster_id,active_skill_id,passive_skill_id,sort_order
id,string,string,string,int
ariel-a-trait-1,ariel,ariel-a,,0
ariel-a-trait-2,ariel,ariel-a,,1
ariel-a-trait-3,ariel,ariel-a,,2
ariel-a-trait-4,ariel,ariel-a,,3
ariel-a-trait-5,ariel,ariel-a,,4
ariel-a-master-1,ariel,ariel-a,,0
ariel-a-master-2,ariel,ariel-a,,1
ariel-b-trait-1,ariel,ariel-b,,0
ariel-b-trait-2,ariel,ariel-b,,1
ariel-b-trait-3,ariel,ariel-b,,2
ariel-b-trait-4,ariel,ariel-b,,3
ariel-b-trait-5,ariel,ariel-b,,4
ariel-b-master-1,ariel,ariel-b,,0
ariel-b-master-2,ariel,ariel-b,,1
ariel-c-trait-1,ariel,ariel-c,,0
ariel-c-trait-2,ariel,ariel-c,,1
ariel-c-trait-3,ariel,ariel-c,,2
ariel-c-trait-4,ariel,ariel-c,,3
ariel-c-trait-5,ariel,ariel-c,,4
ariel-c-master-1,ariel,ariel-c,,0
ariel-c-master-2,ariel,ariel-c,,1
ariel-d-trait-1,ariel,ariel-d,,0
ariel-d-trait-2,ariel,ariel-d,,1
ariel-d-trait-3,ariel,ariel-d,,2
ariel-d-trait-4,ariel,ariel-d,,3
ariel-d-trait-5,ariel,ariel-d,,4
ariel-d-master-1,ariel,ariel-d,,0
ariel-d-master-2,ariel,ariel-d,,1
ariel-e-trait-1,ariel,ariel-e,,0
ariel-e-trait-2,ariel,ariel-e,,1
ariel-e-trait-3,ariel,ariel-e,,2
ariel-e-trait-4,ariel,ariel-e,,3
ariel-e-trait-5,ariel,ariel-e,,4
ariel-e-master-1,ariel,ariel-e,,0
ariel-e-master-2,ariel,ariel-e,,1
ariel-f-trait-1,ariel,,ariel-f,0
ariel-f-trait-2,ariel,,ariel-f,1
ariel-f-trait-3,ariel,,ariel-f,2
ariel-g-trait-1,ariel,,ariel-g,0
ariel-g-trait-2,ariel,,ariel-g,1
ariel-g-trait-3,ariel,,ariel-g,2
ariel-h-trait-1,ariel,,ariel-h,0
ariel-h-trait-2,ariel,,ariel-h,1
ariel-h-trait-3,ariel,,ariel-h,2
ariel-i-trait-1,ariel,,ariel-i,0
ariel-i-trait-2,ariel,,ariel-i,1
ariel-i-trait-3,ariel,,ariel-i,2
ariel-j-trait-1,ariel,,ariel-j,0
ariel-j-trait-2,ariel,,ariel-j,1
ariel-j-trait-3,ariel,,ariel-j,2
rin-a-trait-1,rin,rin-a,,0
rin-a-trait-2,rin,rin-a,,1
rin-a-trait-3,rin,rin-a,,2
rin-a-trait-4,rin,rin-a,,3
rin-a-trait-5,rin,rin-a,,4
rin-a-master-1,rin,rin-a,,0
rin-a-master-2,rin,rin-a,,1
rin-b-trait-1,rin,rin-b,,0
rin-b-trait-2,rin,rin-b,,1
rin-b-trait-3,rin,rin-b,,2
rin-b-trait-4,rin,rin-b,,3
rin-b-trait-5,rin,rin-b,,4
rin-b-master-1,rin,rin-b,,0
rin-b-master-2,rin,rin-b,,1
rin-c-trait-1,rin,rin-c,,0
rin-c-trait-2,rin,rin-c,,1
rin-c-trait-3,rin,rin-c,,2
rin-c-trait-4,rin,rin-c,,3
rin-c-trait-5,rin,rin-c,,4
rin-c-master-1,rin,rin-c,,0
rin-c-master-2,rin,rin-c,,1
rin-d-trait-1,rin,rin-d,,0
rin-d-trait-2,rin,rin-d,,1
rin-d-trait-3,rin,rin-d,,2
rin-d-trait-4,rin,rin-d,,3
rin-d-trait-5,rin,rin-d,,4
rin-d-master-1,rin,rin-d,,0
rin-d-master-2,rin,rin-d,,1
rin-e-trait-1,rin,rin-e,,0
rin-e-trait-2,rin,rin-e,,1
rin-e-trait-3,rin,rin-e,,2
rin-e-trait-4,rin,rin-e,,3
rin-e-trait-5,rin,rin-e,,4
rin-e-master-1,rin,rin-e,,0
rin-e-master-2,rin,rin-e,,1
rin-f-trait-1,rin,,rin-f,0
rin-f-trait-2,rin,,rin-f,1
rin-f-trait-3,rin,,rin-f,2
rin-g-trait-1,rin,,rin-g,0
rin-g-trait-2,rin,,rin-g,1
rin-g-trait-3,rin,,rin-g,2
rin-h-trait-1,rin,,rin-h,0
rin-h-trait-2,rin,,rin-h,1
rin-h-trait-3,rin,,rin-h,2
rin-i-trait-1,rin,,rin-i,0
rin-i-trait-2,rin,,rin-i,1
rin-i-trait-3,rin,,rin-i,2
rin-j-trait-1,rin,,rin-j,0
rin-j-trait-2,rin,,rin-j,1
rin-j-trait-3,rin,,rin-j,2
sein-a-trait-1,sein,sein-a,,0
sein-a-trait-2,sein,sein-a,,1
sein-a-trait-3,sein,sein-a,,2
sein-a-trait-4,sein,sein-a,,3
sein-a-trait-5,sein,sein-a,,4
sein-a-master-1,sein,sein-a,,0
sein-a-master-2,sein,sein-a,,1
sein-b-trait-1,sein,sein-b,,0
sein-b-trait-2,sein,sein-b,,1
sein-b-trait-3,sein,sein-b,,2
sein-b-trait-4,sein,sein-b,,3
sein-b-trait-5,sein,sein-b,,4
sein-b-master-1,sein,sein-b,,0
sein-b-master-2,sein,sein-b,,1
sein-c-trait-1,sein,sein-c,,0
sein-c-trait-2,sein,sein-c,,1
sein-c-trait-3,sein,sein-c,,2
sein-c-trait-4,sein,sein-c,,3
sein-c-trait-5,sein,sein-c,,4
sein-c-master-1,sein,sein-c,,0
sein-c-master-2,sein,sein-c,,1
sein-d-trait-1,sein,sein-d,,0
sein-d-trait-2,sein,sein-d,,1
sein-d-trait-3,sein,sein-d,,2
sein-d-trait-4,sein,sein-d,,3
sein-d-trait-5,sein,sein-d,,4
sein-d-master-1,sein,sein-d,,0
sein-d-master-2,sein,sein-d,,1
sein-e-trait-1,sein,sein-e,,0
sein-e-trait-2,sein,sein-e,,1
sein-e-trait-3,sein,sein-e,,2
sein-e-trait-4,sein,sein-e,,3
sein-e-trait-5,sein,sein-e,,4
sein-e-master-1,sein,sein-e,,0
sein-e-master-2,sein,sein-e,,1
sein-f-trait-1,sein,,sein-f,0
sein-f-trait-2,sein,,sein-f,1
sein-f-trait-3,sein,,sein-f,2
sein-g-trait-1,sein,,sein-g,0
sein-g-trait-2,sein,,sein-g,1
sein-g-trait-3,sein,,sein-g,2
sein-h-trait-1,sein,,sein-h,0
sein-h-trait-2,sein,,sein-h,1
sein-h-trait-3,sein,,sein-h,2
sein-i-trait-1,sein,,sein-i,0
sein-i-trait-2,sein,,sein-i,1
sein-i-trait-3,sein,,sein-i,2
sein-j-trait-1,sein,,sein-j,0
sein-j-trait-2,sein,,sein-j,1
sein-j-trait-3,sein,,sein-j,2
vega-a-trait-1,vega,vega-a,,0
vega-a-trait-2,vega,vega-a,,1
vega-a-trait-3,vega,vega-a,,2
vega-a-trait-4,vega,vega-a,,3
vega-a-trait-5,vega,vega-a,,4
vega-a-master-1,vega,vega-a,,0
