"skill_id","monster_id","slot","display_name","runtime_kind","description_text","summary","attribute","base_damage","spell_power_coefficient","radius","hit_target_count","target_selection","cooldown_seconds","critical_allowed","status_effect_id","status_chance","status_effect_label","status_effect_prefab_path","status_duration_seconds","status_max_stacks","status_stack_amount","attack_power_coefficient","require_execute_threshold_to_cast","skill_effect_prefab_path","status_flat_element_resist_reduction","deployment_required_target_status_id","deployment_required_target_status_min_stacks","target_selection_status_id","target_selection_status_min_stacks","target_status_stack_status_id","target_status_stack_base_damage","target_status_stack_attack_power_coefficient","consume_target_status_id","consume_target_status_ratio","runtime_visual_sprite_path","runtime_visual_animator_controller_path","runtime_visual_scale","runtime_visual_sorting_order","runtime_hitbox_size_x","runtime_hitbox_size_y","runtime_visual_anchor","use_prefab_hitbox"
"id","string","enum:SkillSlot","string","enum:SkillRuntimeKind","string","string","enum:DamageAttribute","float","float","float","string","enum:SkillTargetSelection","float","bool","string","float","string","asset_path","float","int","int","float","bool","asset_path","float","string","int","string","int","string","float","float","string","float","asset_path","asset_path","float","int","float","float","enum:RuntimeSkillVisualAnchor",""
"ariel-c","ariel","C","축복의 파동","SingleAttack","아군 전체를 강화하고, 가장 가까운 적 무리에는 신성 파동 피해를 준다.","아군 전체를 강화하고, 가장 가까운 적 무리에는 신성 파동 피해를 준다.","Holy","28","1.2","3","","","8","true","","0","축복","","0","0","0","","","","","","","","","","","","","","Assets/Image/Monster/ariel/SkillEffect/ChatGPT Image 2026년 5월 22일 오전 12_15_03-Photoroom 1.png","Assets/Image/Monster/ariel/SkillEffect/ChatGPT Image 2026년 5월 22일 오전 12_15_03-Photoroom 1.controller","1.4438237","0","3.07","3.16","",""
"ariel-d","ariel","D","천상의 낙인","SingleAttack","가장 강한 적에게 신성 낙인을 새겨 파티의 집중 공격 대상으로 만든다.","가장 강한 적에게 신성 낙인을 새겨 파티의 집중 공격 대상으로 만든다.","Holy","40","1.8","0","","HighestHealth","10","true","holy-exposure","1","신성 노출","","6","1","1","","","","","","","","","","","","","","Assets/Image/Monster/ariel/SkillEffect/ChatGPT Image 2026년 5월 22일 오전 12_25_00-Photoroom 2.png","Assets/Image/Monster/ariel/SkillEffect/ChatGPT Image 2026년 5월 22일 오전 12_25_00-Photoroom 2.controller","0.1993","0","0","0","StatusTarget",""
"ariel-e","ariel","E","대천사의 강림","SingleAttack","전장에 신성한 빛을 내려 적에게 광역 피해를 주고 모든 아군에게 강한 방어막을 부여한다.","전장에 신성한 빛을 내려 적에게 광역 피해를 주고 모든 아군에게 강한 방어막을 부여한다.","Holy","58","2.4","0","global","","17","true","","0","방어막","","0","0","0","","","","","","","","","","","","","","Assets/Image/Monster/ariel/SkillEffect/ChatGPT Image 2026년 5월 22일 오전 12_31_35-Photoroom 1.png","Assets/Image/Monster/ariel/SkillEffect/ChatGPT Image 2026년 5월 22일 오전 12_31_35-Photoroom 1.controller","0.72071654","0","24.060738","12.51","",""
"eve-d","eve","D","스태틱 오버라이드","SingleAttack","맵 전체를 한 번 스캔해 감전 1스택 이상인 각 적의 위치에 번개 폭발을 배치한다. 폭발 피해 10 + 주문력 x0.7, 반경 1.8, 쿨다운 7.0초. 감전 스택당 추가 피해 3.5 + 주문력 x0.245. 폭발은 서로 중첩될 수 있으며 감전은 소모하지 않는다.","맵 전체의 감전 적 위치마다 반경 1.8 폭발. 피해 10 + 주문력 x0.7, 감전 스택당 3.5 + 주문력 x0.245 추가.","Lightning","10","0.7","0","global","","7","true","","","","","","","","","","","","","","","","","","","","","Assets/Image/Monster/Eve/SkillEffect/Effect_Sprite/ChatGPT Image 2026년 5월 18일 오후 04_30_10-Photoroom 1.png","Assets/Image/Monster/Eve/SkillEffect/Effect_Sprite/ChatGPT Image 2026년 5월 18일 오후 04_30_10-Photoroom 1_0.controller","0.6438","0","2.46","2.66","",""
"rin-d","rin","D","종결 일격","SingleAttack","체력이 낮아진 적을 거대한 충격권으로 마무리하는 처형형 물리 스킬.","체력이 낮아진 적을 거대한 충격권으로 마무리하는 처형형 물리 스킬.","","45","","0","","LowestHealth","9","true","","","","","","","","2.4","true","Assets/Prefab/Skill/Rin/Rin_D.prefab","","","","","","","","","","","","","","","","","",""
"rin-e","rin","E","붕괴 타격","SingleAttack","지정 범위에 거대한 주먹 충격을 떨어뜨려 강한 물리 피해를 1회 입히는 비탄창 스킬.","지정 범위에 거대한 주먹 충격을 떨어뜨려 강한 물리 피해를 1회 입히는 비탄창 스킬.","","40","","2.4","","","8","true","","","","","","","","2","","Assets/Prefab/Skill/Rin/Rin_E.prefab","","","","","","","","","","","","","","","","","","true"
"sein-e","sein","E","종말의 사선","SingleAttack","디아블로의 종말 계열을 참고한 세인의 광역 결전기. 전장을 가로지르는 거대한 화염 사선을 떨어뜨린다.","디아블로의 종말 계열을 참고한 세인의 광역 결전기. 전장을 가로지르는 거대한 화염 사선을 떨어뜨린다.","Fire","70","","3","3","","16","true","fire-resist-down","1","화염 저항 감소","","5","1","1","3.2","","","10","","","","","","","","","","Assets/Image/Monster/Sein/SkillEffect/Sprite/E-1.png","Assets/Image/Monster/Sein/SkillEffect/Sprite/E-1.controller","0.22610311","0","18.27921","13.082982","",""
"vega-d","vega","D","검은 명부 개방","SingleAttack","표식이 있는 모든 적에게 원거리 범위 참격을 발생시키는 비탄창 액티브 스킬.","표식이 있는 모든 적에게 원거리 범위 참격을 발생시키는 비탄창 액티브 스킬.","","18","","1.25","global","","11","true","","","이름표식 연계","","","","","0.85","","","","name-mark","1","","","","","","","","Assets/Image/Monster/Vega/SkillEffect/Sprite/D_1.png","Assets/Image/Monster/Vega/SkillEffect/Sprite/D_1.controller","0.7112","0","2.64","2.63","",""
"vega-e","vega","E","최종선고","SingleAttack","표식이 가장 많은 적 1개체에게 표식 스택에 비례한 막대한 단일 피해를 주는 비탄창 액티브 스킬.","표식이 가장 많은 적 1개체에게 표식 스택에 비례한 막대한 단일 피해를 주는 비탄창 액티브 스킬.","","55","","0","","HighestStacks","15","true","","","이름표식 연계","","","","","2","","","","","","name-mark","1","name-mark","6","0.18","name-mark","0.5","Assets/Image/Monster/Vega/SkillEffect/Sprite/E_1.png","Assets/Image/Monster/Vega/SkillEffect/Sprite/E_1.controller","1","0","","","",""
