"choice_name","skill_name","monster_name","choice_group","sort_order","title","description_text"
"name","string","string","enum:SkillChoiceGroup","int","string","string"
"eve-c-trait-1","eve-c","eve","ActiveEnhancement","0","특성 1","<color=#D97706>범위 +25%,</color>\n<color=#D97706>지속시간 +15%</color>"
"eve-c-trait-2","eve-c","eve","ActiveEnhancement","1","특성 2","<color=#D97706>피해 주기 속도 +25%,</color>\n<color=#D97706>추위 부여량 +1</color>"
"eve-c-trait-3","eve-c","eve","ActiveEnhancement","2","특성 3","<color=#D97706>위력 +30%,</color>\n<color=#D97706>쿨다운 -15%</color>"
"eve-c-trait-4","eve-c","eve","ActiveEnhancement","3","특성 4","<color=#D97706>범위 -20%,</color>\n<color=#D97706>위력 +80%</color>"
"eve-c-trait-5","eve-c","eve","ActiveEnhancement","4","특성 5","<color=#D97706>빙결 지속시간 +1.0초,</color>\n<color=#D97706>얼음 피해 +20%</color>"
"eve-c-master-1","eve-c","eve","ActiveMaster","0","절대영도 구역","<color=#D97706>추위 4스택 이상 적을 즉시 빙결,</color>\n<color=#D97706>빙결 지속시간 +1.5초</color>"
"eve-c-master-2","eve-c","eve","ActiveMaster","1","결정 폭풍","<color=#D97706>필드 종료 시 범위 안 적에게 `24 + 주문력 * 1.5` 얼음 피해</color>"
"eve-e-trait-1","eve-e","eve","ActiveEnhancement","0","특성 1","<color=#D97706>범위 +25%,</color>\n<color=#D97706>지속시간 +20%</color>"
"eve-e-trait-2","eve-e","eve","ActiveEnhancement","1","특성 2","<color=#D97706>피해 주기 속도 +25%,</color>\n<color=#D97706>취약 부여량 +1</color>"
"eve-e-trait-3","eve-e","eve","ActiveEnhancement","2","특성 3","<color=#D97706>위력 +30%,</color>\n<color=#D97706>쿨다운 -15%</color>"
"eve-e-trait-4","eve-e","eve","ActiveEnhancement","3","특성 4","<color=#D97706>위력 +80%,</color>\n<color=#D97706>범위 -20%</color>"
"eve-e-trait-5","eve-e","eve","ActiveEnhancement","4","특성 5","<color=#D97706>취약 5스택 이상 대상 피해 +40%</color>"
"eve-e-master-1","eve-e","eve","ActiveMaster","0","플라즈마 붕괴","<color=#D97706>스킬 종료 자리에서 0.5초 후 반경 60%로 3초 동안 한 번 재시전</color>"
"eve-e-master-2","eve-e","eve","ActiveMaster","1","약점 고정","<color=#D97706>취약 최대 스택 +5,</color>\n<color=#D97706>취약 스택당 받는 치명타 피해 +1% 추가</color>"
"sein-d-trait-1","sein-d","sein","ActiveEnhancement","0","특성 1","<color=#D97706>지속시간 +25%</color>"
"sein-d-trait-2","sein-d","sein","ActiveEnhancement","1","특성 2","<color=#D97706>피해 주기 속도 +25%</color>"
"sein-d-trait-3","sein-d","sein","ActiveEnhancement","2","특성 3","<color=#D97706>범위 +30%</color>"
"sein-d-trait-4","sein-d","sein","ActiveEnhancement","3","특성 4","<color=#D97706>쿨타임 -20%</color>"
"sein-d-trait-5","sein-d","sein","ActiveEnhancement","4","특성 5","<color=#D97706>같은 대상에게 4회 이상 피해를 주면 이후 피해 +35%</color>"
"sein-d-master-1","sein-d","sein","ActiveMaster","0","열압 폭풍","<color=#D97706>피해 주기 속도 +50%,</color>\n<color=#D97706>범위 -20%</color>"
"sein-d-master-2","sein-d","sein","ActiveMaster","1","잔불 지대","<color=#D97706>초열 지대 종료 후 3초 동안 40% 피해의 잔불 지대 유지</color>"
