"monster_id","owner_kind","owner_id","target_skill_id","node_order","node_type_id","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_id"
"string","enum","string","skill_id","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_id"
"eve","Choice","eve-c-trait-1","eve-c","1","RadiusMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-1","eve-c","2","DurationMultiplier","1.15","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-2","eve-c","1","ShotIntervalMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-2","eve-c","2","StatusStackAmountBonus","chill","1","","","","","","","","","","",""
"eve","Choice","eve-c-trait-3","eve-c","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-3","eve-c","2","CooldownMultiplier","0.85","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-4","eve-c","1","DamageMultiplier","1.8","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-4","eve-c","2","RadiusMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-5","eve-c","1","DamageMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-5","eve-c","2","StatusDurationBonus","freeze","1","","","","","","","","","","",""
"eve","Choice","eve-e-trait-1","eve-e","1","RadiusMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-1","eve-e","2","DurationMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-2","eve-e","1","ShotIntervalMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-2","eve-e","2","StatusStackAmountBonus","vulnerable","1","","","","","","","","","","",""
"eve","Choice","eve-e-trait-3","eve-e","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-3","eve-e","2","CooldownMultiplier","0.85","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-4","eve-e","1","DamageMultiplier","1.8","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-4","eve-e","2","RadiusMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-5","eve-e","1","ConditionalDamageMultiplier","vulnerable","5","1.4","","","","","","","","","",""
"eve","Choice","eve-e-master-2","eve-e","1","StatusMaxStacksBonus","vulnerable","5","","","","","","","","","","",""
"eve","Choice","eve-e-master-2","eve-e","2","StatusCriticalDamageTakenBonus","0.01","","","","","","","","","","","",""
"sein","Choice","sein-d-trait-1","sein-d","1","DurationMultiplier","1.25","","","","","","","","","","","",""
"sein","Choice","sein-d-trait-2","sein-d","1","ShotIntervalMultiplier","0.8","","","","","","","","","","","",""
"sein","Choice","sein-d-trait-3","sein-d","1","RadiusMultiplier","1.3","","","","","","","","","","","",""
"sein","Choice","sein-d-trait-4","sein-d","1","CooldownMultiplier","0.8","","","","","","","","","","","",""
"sein","Choice","sein-d-trait-5","sein-d","1","ConditionalDamageMultiplier","sein-d-heat-stack","4","1.35","","","","","","","","","",""
"sein","Choice","sein-d-master-1","sein-d","1","ShotIntervalMultiplier","0.6666667","","","","","","","","","","","",""
"sein","Choice","sein-d-master-1","sein-d","2","RadiusMultiplier","0.8","","","","","","","","","","","",""
"eve","Trigger","eve-c-master-1","eve-c","1","ApplyStatus","freeze","","","","","","","","","","","",""
"eve","Trigger","eve-c-master-1","eve-c","2","ConditionStatus","chill","Enemy","","4","","","","","","","","",""
"eve","Trigger","eve-c-master-1","eve-c","3","SelectTargets","","EventTarget","","EffectTarget","AppliedTargets","","","","","","","",""
"eve","Trigger","eve-c-master-1","eve-c","4","SetDuration","1.5","","","","","","","","","","","",""
"eve","Trigger","eve-c-master-2","eve-c","1","ApplyDamage","Ice","24","1.5","1","3.2","","","","","","","",""
"eve","Trigger","eve-c-master-2","eve-c","2","SelectTargets","Enemy","","Circle","PrimarySkillCenter","Center","true","","","","","","",""
"eve","Trigger","eve-c-master-2","eve-c","3","ShowVisual","Assets/Image/Monster/Eve/SkillEffect/Effect_Sprite/1.png","Assets/Image/Monster/Eve/SkillEffect/Effect_Sprite/ChatGPT Image 2026년 5월 23일 오전 12_11_01-Photoroom 1_0.controller","0.435692","0","6.52","6.11","","","","","","",""
"eve","Trigger","eve-e-master-1","eve-e","1","RecastZone","eve-e","0.5","3","0.6","true","1","","","","","","",""
"eve","Trigger","eve-e-master-1","eve-e","2","SelectTargets","","","","PrimarySkillCenter","Center","","","","","","","",""
"sein","Trigger","sein-d-master-2","sein-d","1","ApplyDamage","Fire","12","0","0.4","3.2","0.55","0.5","","","","","",""
"sein","Trigger","sein-d-master-2","sein-d","2","SelectTargets","Enemy","Nearest","Circle","PrimarySkillCenter","Center","","","","","","","",""
"sein","Trigger","sein-d-master-2","sein-d","3","SetDuration","3","","","","","","","","","","","",""
"sein","Trigger","sein-d-master-2","sein-d","4","ShowVisual","Assets/Image/Monster/Sein/SkillEffect/Sprite/C-1.png","Assets/Image/Monster/Sein/SkillEffect/Sprite/C-1.controller","1","0","3.593319","1.8302448","","","","","","",""
