"monster_id","owner_kind","owner_id","target_skill_id","node_order","node_type_id","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_id"
"string","enum","string","skill_id","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_id"
"ariel","Choice","ariel-b-master-1","","1","StatusAilmentResistanceBonus","0.3","","","","","","","","","","","",""
"ariel","Choice","ariel-b-master-1","","2","ShieldAmountMultiplier","1.5","","","","","","","","","","","",""
"ariel","Choice","ariel-b-trait-1","","1","ShieldAmountMultiplier","1.3","","","","","","","","","","","",""
"ariel","Choice","ariel-b-trait-2","","1","DurationBonus","2","","","","","","","","","","","",""
"ariel","Choice","ariel-b-trait-3","ariel-b","1","CooldownMultiplier","0.8","","","","","","","","","","","",""
"rin","Choice","rin-b-trait-1","rin-b","1","DurationMultiplier","1.25","","","","","","","","","","","",""
"rin","Choice","rin-b-trait-2","rin-b","1","StatusActionSpeedBonus","0.10","action-speed-up","","","","","","","","","","",""
"rin","Choice","rin-b-trait-3","rin-b","1","CooldownMultiplier","0.8","","","","","","","","","","","",""
"rin","Choice","rin-b-master-1","rin-b","1","StatusActionSpeedBonus","0.15","action-speed-up","","","","","","","","","","",""
"rin","Choice","rin-b-master-1","rin-b","2","DurationMultiplier","1.2","","","","","","","","","","","",""
"rin","Choice","rin-b-master-2","rin-b","1","StatusActionSpeedBonus","-0.05","action-speed-up","","","","","","","","","","",""
"vega","Choice","vega-c-trait-1","vega-c","1","DurationBonus","2","","","","","","","","","","","",""
"vega","Choice","vega-c-trait-2","vega-c","1","StatusActionSpeedBonus","0.1","","","","","","","","","","","",""
"vega","Choice","vega-c-trait-3","vega-c","1","StatusAttackPowerBonus","0.1","","","","","","","","","","","",""
"vega","Choice","vega-c-trait-4","vega-a","1","ReloadTimeMultiplier","0.7692307692307692","","","","","","","","","","","",""
"vega","Choice","vega-c-trait-4","vega-a","2","RequiredSourceStatus","slaughter-permit","1","","","","","","","","","","",""
"vega","Choice","vega-c-trait-5","vega-a","1","ConditionalDamageMultiplier","name-mark","1","1.15","","","","","","","","","",""
"vega","Choice","vega-c-trait-5","vega-b","1","ConditionalDamageMultiplier","name-mark","1","1.15","","","","","","","","","",""
"vega","Choice","vega-c-trait-5","vega-d","1","ConditionalDamageMultiplier","name-mark","1","1.15","","","","","","","","","",""
"vega","Choice","vega-c-trait-5","vega-e","1","ConditionalDamageMultiplier","name-mark","1","1.15","","","","","","","","","",""
"vega","Choice","vega-c-trait-5","vega-a","2","RequiredSourceStatus","slaughter-permit","1","","","","","","","","","","",""
"vega","Choice","vega-c-master-1","vega-c","1","DurationBonus","2","","","","","","","","","","","",""
"vega","Choice","vega-c-master-1","vega-a","1","StatusStackAmountBonus","name-mark","1","","","","","","","","","","",""
