"choice_name","skill_name","monster_name","choice_group","sort_order","title","description_text"
"name","string","string","enum:SkillChoiceGroup","int","string","string"
"eve-b-trait-1","eve-b","eve","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +25%,</color>\n<color=#D97706>피해 주기 속도 +25%</color>"
"eve-b-trait-2","eve-b","eve","ActiveEnhancement","1","특성 2","<color=#D97706>위력 +30%,</color>\n<color=#D97706>광선 폭 +30%</color>"
"eve-b-trait-3","eve-b","eve","ActiveEnhancement","2","특성 3","<color=#D97706>충전 속도 +35%,</color>\n<color=#D97706>지속시간 +15%</color>"
"eve-b-trait-4","eve-b","eve","ActiveEnhancement","3","특성 4","<color=#D97706>위력 +100%,</color>\n<color=#D97706>지속시간 -50%</color>"
"eve-b-trait-5","eve-b","eve","ActiveEnhancement","4","특성 5","<color=#D97706>충전 속도 +30%,</color>\n<color=#D97706>피해 주기 속도 +20%</color>"
"eve-b-master-1","eve-b","eve","ActiveMaster","0","초집중 레이","<color=#D97706>지속시간 -45%,</color>\n<color=#D97706>위력 +75%,</color>\n<color=#D97706>피해 주기 속도 +75%</color>"
"eve-b-master-2","eve-b","eve","ActiveMaster","1","분해 스펙트럼","<color=#D97706>프리즘 레이에 맞은 적의 번개 저항과 얼음 저항이 5초 동안 10 감소</color>"
"rin-c-trait-1","rin-c","rin","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +25%</color>"
"rin-c-trait-2","rin-c","rin","ActiveEnhancement","1","특성 2","<color=#D97706>충격파 폭 +25%</color>"
"rin-c-trait-3","rin-c","rin","ActiveEnhancement","2","특성 3","<color=#D97706>넉백 거리 +40%</color>"
"rin-c-trait-4","rin-c","rin","ActiveEnhancement","3","특성 4","<color=#D97706>쿨다운 -20%</color>"
"rin-c-trait-5","rin-c","rin","ActiveEnhancement","4","특성 5","<color=#D97706>적중한 적 1명당 파쇄권 재장전 시간 0.25초 감소</color>"
"rin-c-master-1","rin-c","rin","ActiveMaster","0","압축 충격파","<color=#D97706>폭 -25%,</color>\n<color=#D97706>위력 +80%,</color>\n<color=#D97706>넉백 거리 +50%,</color>\n<color=#D97706>60% 번개 추가 피해</color>"
"rin-c-master-2","rin-c","rin","ActiveMaster","1","광역 진탕","<color=#D97706>폭 +60%,</color>\n<color=#D97706>위력 +25%,</color>\n<color=#D97706>적중한 적에게 1.5초간 이동 속도 -20%</color>"
"vega-b-trait-1","vega-b","vega","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +25%</color>"
"vega-b-trait-2","vega-b","vega","ActiveEnhancement","1","특성 2","<color=#D97706>침묵 지속시간 +1초</color>"
"vega-b-trait-3","vega-b","vega","ActiveEnhancement","2","특성 3","<color=#D97706>쿨타임 -20%</color>"
"vega-b-trait-4","vega-b","vega","ActiveEnhancement","3","특성 4","<color=#D97706>참격 폭 +30%</color>"
"vega-b-trait-5","vega-b","vega","ActiveEnhancement","4","특성 5","<color=#D97706>침묵의 대태도에 맞은 적에게 이름표식 2스택 부여</color>"
"vega-b-master-1","vega-b","vega","ActiveMaster","0","두 번째 봉인","<color=#D97706>침묵의 대태도 사용 후 0.4초 뒤 같은 경로에 2차 참격 발생.</color>\n<color=#D97706>2차 참격은 45% 피해,</color>\n<color=#D97706>침묵 1초</color>"
"vega-b-master-2","vega-b","vega","ActiveMaster","1","단두대 참격","<color=#D97706>위력 +70%,</color>\n<color=#D97706>참격 폭 -25%,</color>\n<color=#D97706>이름표식 10스택 이상인 적에게 침묵 지속시간 +1초</color>"
"sein-e-trait-1","sein-e","sein","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +30%</color>"
"sein-e-trait-2","sein-e","sein","ActiveEnhancement","1","특성 2","<color=#D97706>쿨타임 -20%</color>"
"sein-e-trait-3","sein-e","sein","ActiveEnhancement","2","특성 3","<color=#D97706>화염 저항 감소 +8</color>"
"sein-e-trait-4","sein-e","sein","ActiveEnhancement","3","특성 4","<color=#D97706>타격 줄 수 +1,</color>\n<color=#D97706>위력 -15%</color>"
"sein-e-trait-5","sein-e","sein","ActiveEnhancement","4","특성 5","<color=#D97706>초열 지대 안의 적에게 위력 +50%</color>"
"sein-e-master-1","sein-e","sein","ActiveMaster","0","붉은 종말","<color=#D97706>위력 +80%,</color>\n<color=#D97706>쿨타임 +25%</color>"
"sein-e-master-2","sein-e","sein","ActiveMaster","1","잿빛 하늘","<color=#D97706>종말의 사선 이후 전장에 3초 동안 초열 지대 3개 생성</color>"
