"monster_name","owner_kind","owner_name","target_skill_name","node_order","node_type_name","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_name"
"string","enum","string","skill_name","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_name"
"eve","Choice","b-trait-1","eve-b","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","b-trait-1","eve-b","2","ShotIntervalMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","b-trait-2","eve-b","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"eve","Choice","b-trait-2","eve-b","2","RadiusMultiplier","1.3","","","","","","","","","","","",""
"eve","Choice","b-trait-3","eve-b","1","CooldownMultiplier","0.74074074","","","","","","","","","","","",""
"eve","Choice","b-trait-3","eve-b","2","DurationMultiplier","1.15","","","","","","","","","","","",""
"eve","Choice","b-trait-4","eve-b","1","DamageMultiplier","2","","","","","","","","","","","",""
"eve","Choice","b-trait-4","eve-b","2","DurationMultiplier","0.5","","","","","","","","","","","",""
"eve","Choice","b-trait-5","eve-b","1","CooldownMultiplier","0.76923077","","","","","","","","","","","",""
"eve","Choice","b-trait-5","eve-b","2","ShotIntervalMultiplier","0.83333","","","","","","","","","","","",""
"eve","Choice","b-master-1","eve-b","1","DamageMultiplier","1.75","","","","","","","","","","","",""
"eve","Choice","b-master-1","eve-b","2","DurationMultiplier","0.55","","","","","","","","","","","",""
"eve","Choice","b-master-1","eve-b","3","ShotIntervalMultiplier","0.57143","","","","","","","","","","","",""
"rin","Choice","c-trait-1","rin-c","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"rin","Choice","c-trait-2","rin-c","1","BeamWidthBonus","0.25","","","","","","","","","","","",""
"rin","Choice","c-trait-3","rin-c","1","KnockbackDistanceMultiplier","1.4","","","","","","","","","","","",""
"rin","Choice","c-trait-4","rin-c","1","CooldownMultiplier","0.8","","","","","","","","","","","",""
"rin","Choice","c-trait-5","rin-c","1","ReloadReducePerHit","rin-a","0.25","","","","","","","","","","",""
"rin","Choice","c-master-1","rin-c","1","BeamWidthBonus","-0.25","","","","","","","","","","","",""
"rin","Choice","c-master-1","rin-c","2","DamageMultiplier","1.8","","","","","","","","","","","",""
"rin","Choice","c-master-1","rin-c","3","KnockbackDistanceMultiplier","1.5","","","","","","","","","","","",""
"rin","Choice","c-master-1","rin-c","4","AdditionalDamage","0.6","","1","Lightning","HitTarget","","","","","","","",""
"rin","Choice","c-master-2","rin-c","1","BeamWidthBonus","0.60","","","","","","","","","","","",""
"rin","Choice","c-master-2","rin-c","2","DamageMultiplier","1.25","","","","","","","","","","","",""
"vega","Choice","b-trait-1","vega-b","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"vega","Choice","b-trait-2","vega-b","1","StatusDurationBonus","silence","1","","","","","","","","","","",""
"vega","Choice","b-trait-3","vega-b","1","CooldownMultiplier","0.8","","","","","","","","","","","",""
"vega","Choice","b-trait-4","vega-b","1","RadiusMultiplier","1.3","","","","","","","","","","","",""
"vega","Choice","b-master-2","vega-b","1","DamageMultiplier","1.7","","","","","","","","","","","",""
"vega","Choice","b-master-2","vega-b","2","RadiusMultiplier","0.75","","","","","","","","","","","",""
"vega","Choice","b-master-2","vega-b","3","ThresholdApplyStatus","name-mark","10","silence","","","","","","","","","",""
"sein","Choice","e-trait-1","sein-e","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"sein","Choice","e-trait-2","sein-e","1","CooldownMultiplier","0.8","","","","","","","","","","","",""
"sein","Choice","e-trait-4","sein-e","1","LineCastRepeatCountBonus","1","","","","","","","","","","","",""
"sein","Choice","e-trait-4","sein-e","2","DamageMultiplier","0.85","","","","","","","","","","","",""
"sein","Choice","e-trait-5","sein-e","1","ConditionalDamageMultiplier","sein-d-heat-stack","1","1.5","","","","","","","","","",""
"sein","Choice","e-master-1","sein-e","1","DamageMultiplier","1.8","","","","","","","","","","","",""
"sein","Choice","e-master-1","sein-e","2","CooldownMultiplier","1.25","","","","","","","","","","","",""
"eve","Trigger","b-master-2","eve-b","1","StatusModifier","","","","","","","","","","","","",""
"eve","Trigger","b-master-2","eve-b","2","SelectTargets","","EventTarget","","EffectTarget","AppliedTargets","","","","","","","",""
"eve","Trigger","b-master-2","eve-b","3","SetDuration","5","","","","","","","","","","","",""
"eve","Trigger","b-master-2","eve-b","4","StatusFlatElementResistReduction","10","Lightning","","","","","","","","","","",""
"eve","Trigger","b-master-2-trigger-effect-2","eve-b","1","StatusModifier","","","","","","","","","","","","",""
"eve","Trigger","b-master-2-trigger-effect-2","eve-b","2","SelectTargets","","EventTarget","","EffectTarget","AppliedTargets","","","","","","","",""
