"choice_name","skill_name","monster_name","target_skill_name","sort_order","title","description_text"
"name","string","string","string","int","string","string"
"ariel-f-trait-1","ariel-f","ariel","","0","특성 1","<color=#D97706>모든 아군 신성 피해 +6%</color>"
"ariel-f-trait-2","ariel-f","ariel","ariel-a","1","특성 2","<color=#D97706>심판의 빛 탄창 +2</color>"
"ariel-f-trait-3","ariel-f","ariel","","2","특성 3","<color=#D97706>신성 스킬을 보유한 아군의 치명타 확률 +8%</color>"
"ariel-g-trait-1","ariel-g","ariel","","0","특성 1","<color=#D97706>방어막량 증가 +8%</color>"
"ariel-g-trait-2","ariel-g","ariel","","1","특성 2","<color=#D97706>전투 시작 방어막 +40%</color>"
"ariel-g-trait-3","ariel-g","ariel","","2","특성 3","<color=#D97706>방어막을 가진 아군의 신성 피해 +10%</color>"
"ariel-h-trait-1","ariel-h","ariel","ariel-c","0","특성 1","<color=#D97706>신성 피해 증가량 +7%</color>"
"ariel-h-trait-2","ariel-h","ariel","ariel-c","1","특성 2","<color=#D97706>쿨타임 충전 속도 +5%</color>"
"ariel-h-trait-3","ariel-h","ariel","ariel-c","2","특성 3","<color=#D97706>축복의 파동 지속시간 +2초</color>"
"ariel-i-trait-1","ariel-i","ariel","","0","특성 1","<color=#D97706>받는 피해 증가량 +5%</color>"
"ariel-i-trait-2","ariel-i","ariel","ariel-d","1","특성 2","<color=#D97706>천상의 낙인 쿨타임 -20%</color>"
"ariel-i-trait-3","ariel-i","ariel","","2","특성 3","<color=#D97706>신성 노출 대상의 신성 저항 -8</color>"
"ariel-j-trait-1","ariel-j","ariel","ariel-e","0","특성 1","<color=#D97706>행동속도 증가량 +7%</color>"
"ariel-j-trait-2","ariel-j","ariel","ariel-e","1","특성 2","<color=#D97706>신성 피해 증가량 +10%</color>"
"ariel-j-trait-3","ariel-j","ariel","ariel-e","2","특성 3","<color=#D97706>대천사의 강림 쿨타임 -15%</color>"
"eve-f-trait-1","eve-f","eve","","0","특성 1","<color=#D97706>보호막 수치 +40%</color>"
"eve-f-trait-2","eve-f","eve","","1","특성 2","<color=#D97706>모든 아군이 감전 대상에게 주는 피해 +6%</color>"
"eve-f-trait-3","eve-f","eve","","2","특성 3","<color=#D97706>보호막이 유지되는 동안 대상의 행동속도 +12%</color>"
"eve-g-trait-1","eve-g","eve","","0","특성 1","<color=#D97706>프리즘 레이 자동 발동 확률 +3%</color>"
"eve-g-trait-2","eve-g","eve","","1","특성 2","<color=#D97706>모든 아군의 번개/얼음 피해 +5%</color>"
"eve-g-trait-3","eve-g","eve","eve-b","2","특성 3","<color=#D97706>프리즘 레이가 보호막 대상에게 300% 추가 피해</color>"
"eve-h-trait-1","eve-h","eve","","0","특성 1","<color=#D97706>모든 아군이 추위/빙결 대상에게 주는 피해 +6%</color>"
"eve-h-trait-2","eve-h","eve","","1","특성 2","<color=#D97706>빙결 지속시간 +1.0초</color>"
"eve-h-trait-3","eve-h","eve","","2","특성 3","<color=#D97706>빙결 해제 시 `16 + 주문력 * 1.0` 얼음 피해</color>"
"eve-i-trait-1","eve-i","eve","","0","특성 1","<color=#D97706>모든 아군이 감전 대상에게 주는 번개 피해 +8%</color>"
