"monster_id","owner_kind","owner_id","target_skill_id","node_order","node_type_id","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_id"
"string","enum","string","skill_id","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_id"
"ariel","Choice","ariel-f-trait-1","","1","StatusDamageBonusRate","0.06","","","","","","","","","","","",""
"ariel","Choice","ariel-f-trait-2","","1","MagazineBonus","2","","","","","","","","","","","",""
"ariel","Choice","ariel-g-trait-1","","1","StatusShieldReceivedBonus","0.08","","","","","","","","","","","",""
"ariel","Choice","ariel-g-trait-2","ariel-g","1","ShieldAmountMultiplier","1.4","","","","","","","","","","","",""
"ariel","Choice","ariel-h-trait-1","","1","StatusDamageBonusRate","0.07","","","","","","","","","","","",""
"ariel","Choice","ariel-h-trait-2","","1","StatusActionSpeedBonus","0.05","","","","","","","","","","","",""
"ariel","Choice","ariel-h-trait-3","","1","StatusDurationBonus","blessing","2","","","","","","","","","","",""
"ariel","Choice","ariel-i-trait-1","","1","StatusDamageTakenBonus","0.05","","","","","","","","","","","",""
"ariel","Choice","ariel-i-trait-2","","1","CooldownMultiplier","0.8","","","","","","","","","","","",""
"ariel","Choice","ariel-j-trait-1","ariel-j","1","StatusActionSpeedBonus","0.07","","","","","","","","","","","",""
"ariel","Choice","ariel-j-trait-2","","1","StatusDamageBonusRate","0.10","","","","","","","","","","","",""
"ariel","Choice","ariel-j-trait-3","","1","CooldownMultiplier","0.85","","","","","","","","","","","",""
"eve","Choice","eve-f-trait-1","eve-f","1","ShieldAmountMultiplier","1.4","","","","","","","","","","","",""
"eve","Choice","eve-g-trait-1","eve-g","1","TriggerProcChanceBonus","eve-g-auto-prism-ray","0.03","","","","","","","","","","",""
"eve","Choice","eve-g-trait-3","eve-b","1","ConditionalDamageMultiplier","shield","1","4.0","","","","","","","","","",""
"eve","Choice","eve-h-trait-2","eve-h","1","StatusDurationBonus","freeze","1","","","","","","","","","","",""
"eve","Choice","eve-i-trait-3","eve-d","1","RadiusMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","eve-j-trait-3","eve-e","1","ConditionalDamageMultiplier","vulnerable","5","1.75","","","","","","","","","",""
"sein","Choice","sein-f-trait-2","sein-a","1","MagazineBonus","3","","","","","","","","","","","",""
"sein","Choice","sein-h-trait-2","sein-c","1","RadiusMultiplier","1.25","","","","","","","","","","","",""
"sein","Choice","sein-i-base-shot-interval","sein-d","1","ShotIntervalMultiplier","0.8","","","","","","","","","","","",""
"sein","Choice","sein-i-trait-2","sein-d","1","DurationBonus","2","","","","","","","","","","","",""
"sein","Choice","sein-i-trait-3","sein-d","1","RadiusMultiplier","1.25","","","","","","","","","","","",""
"vega","Choice","vega-f-trait-3","vega-a","1","BurstStatusStacksBonus","0","1","","","","","","","","","","",""
"vega","Choice","vega-g-trait-2","vega-b","1","StatusDurationBonus","silence","1","","","","","","","","","","",""
"vega","Choice","vega-h-base-duration","vega-c","1","DurationMultiplier","1.2","","","","","","","","","","","",""
"ariel","Trigger","ariel-f-trait-3","ariel-f","1","StatusModifier","","","","","","","","","","","","",""
"ariel","Trigger","ariel-f-trait-3","ariel-f","2","SelectTargets","AllAllies","","","","","","","","","","","",""
"ariel","Trigger","ariel-f-trait-3","ariel-f","3","ConditionSkillAttribute","Holy","","","","","","","","","","","",""
"ariel","Trigger","ariel-f-trait-3","ariel-f","4","SetDuration","0.5","","","","","","","","","","","",""
