"choice_id","skill_id","monster_id","choice_group","sort_order","title","description_text"
"id","string","string","enum:PakuriCsvChoiceGroup","int","string","string"
"ariel-a-trait-1","ariel-a","ariel","ActiveEnhancement","0","특성 1","위력 +25%"
"ariel-a-trait-2","ariel-a","ariel","ActiveEnhancement","1","특성 2","탄창 +3"
"ariel-a-trait-3","ariel-a","ariel","ActiveEnhancement","2","특성 3","재장전 시간 -20%"
"ariel-a-trait-4","ariel-a","ariel","ActiveEnhancement","3","특성 4","관통 횟수 +1"
"ariel-a-trait-5","ariel-a","ariel","ActiveEnhancement","4","특성 5","방어막을 가진 아군 1명당 위력 +6%"
"ariel-a-master-1","ariel-a","ariel","ActiveMaster","0","백색 심판","마지막 탄환이 2회 폭발하며 범위 신성 피해를 준다"
"ariel-a-master-2","ariel-a","ariel","ActiveMaster","1","인도하는 빛","심판의 빛에 맞은 적에게 신성 노출 1스택 부여"
"eve-a-trait-1","eve-a","eve","ActiveEnhancement","0","특성 1","탄창 수 +4, 위력 +20%"
"eve-a-trait-2","eve-a","eve","ActiveEnhancement","1","특성 2","재장전 속도 +30%, 관통 수 +1"
"eve-a-trait-3","eve-a","eve","ActiveEnhancement","2","특성 3","추가 투사체 수 +1, 재장전 시간 +20%"
"eve-a-trait-4","eve-a","eve","ActiveEnhancement","3","특성 4","추가 투사체 수 +2, 발사 속도 -25%"
"eve-a-trait-5","eve-a","eve","ActiveEnhancement","4","특성 5","위력 +25%, 갈래 확률 +35%"
"eve-a-master-1","eve-a","eve","ActiveMaster","0","갈래 회로","갈래 확률 +60%, 위력 +35%, 탄창 수 +2"
"eve-a-master-2","eve-a","eve","ActiveMaster","1","과충전 일제사격","관통 수 +2, 추가 투사체 수 +2, 발사 속도 -20%, 위력 +45%, 적중 시 감전 2스택"
"rin-a-trait-1","rin-a","rin","ActiveEnhancement","0","특성 1","위력 +25%"
"rin-a-trait-2","rin-a","rin","ActiveEnhancement","1","특성 2","탄창 수 +4"
"rin-a-trait-3","rin-a","rin","ActiveEnhancement","2","특성 3","재장전 속도 +25%"
"rin-a-trait-4","rin-a","rin","ActiveEnhancement","3","특성 4","관통 수 +1, 위력 -10%"
"rin-a-trait-5","rin-a","rin","ActiveEnhancement","4","특성 5","치명타 확률 +10%, 치명타 피해 +25%"
"rin-a-master-1","rin-a","rin","ActiveMaster","0","철권 연사","탄창 수 +6, 발사 간격 -18%, 위력 +12%"
"rin-a-master-2","rin-a","rin","ActiveMaster","1","뇌격 건틀릿","적중 시 대상에게 40% 번개 추가 피해, 3번째 적중마다 대상 주변 2명에게 40% 번개 연쇄"
"sein-a-trait-1","sein-a","sein","ActiveEnhancement","0","특성 1","위력 +25%"
"sein-a-trait-2","sein-a","sein","ActiveEnhancement","1","특성 2","탄창 수 +4"
"sein-a-trait-3","sein-a","sein","ActiveEnhancement","2","특성 3","재장전 속도 +30%"
"sein-a-trait-4","sein-a","sein","ActiveEnhancement","3","특성 4","관통 수 +1, 위력 +10%"
"sein-a-trait-5","sein-a","sein","ActiveEnhancement","4","특성 5","발사 간격 -20%, 위력 -10%"
"sein-a-master-1","sein-a","sein","ActiveMaster","0","백열 화살","위력 +55%, 관통 수 +1"
"sein-a-master-2","sein-a","sein","ActiveMaster","1","폭염 화살","적중 시 작은 폭발 발생, 폭발은 50% 화염 피해"
"sein-b-trait-1","sein-b","sein","ActiveEnhancement","0","특성 1","탄환 수 +2"
"sein-b-trait-2","sein-b","sein","ActiveEnhancement","1","특성 2","위력 +25%"
"sein-b-trait-3","sein-b","sein","ActiveEnhancement","2","특성 3","재장전 속도 +30%"
"sein-b-trait-4","sein-b","sein","ActiveEnhancement","3","특성 4","발사 간격 -25%"
"sein-b-trait-5","sein-b","sein","ActiveEnhancement","4","특성 5","같은 대상에게 연속 적중 시 피해 +8%, 최대 +40%"
"sein-b-master-1","sein-b","sein","ActiveMaster","0","포화 사격","탄환 수 +4, 위력 -20%"
"sein-b-master-2","sein-b","sein","ActiveMaster","1","집중 사격","탄환 수 -2, 위력 +90%, 치명타 확률 +20%"
"sein-c-trait-1","sein-c","sein","ActiveEnhancement","0","특성 1","위력 +30%"
"sein-c-trait-2","sein-c","sein","ActiveEnhancement","1","특성 2","폭발 반경 +25%"
"sein-c-trait-3","sein-c","sein","ActiveEnhancement","2","특성 3","쿨타임 -20%"
"sein-c-trait-4","sein-c","sein","ActiveEnhancement","3","특성 4","지연 시간 -40%"
"sein-c-trait-5","sein-c","sein","ActiveEnhancement","4","특성 5","열풍 화살에 맞은 적에게 위력 +35%"
"sein-c-master-1","sein-c","sein","ActiveMaster","0","낙화 궤적","폭발 후 같은 위치에 2초 동안 작은 화염 지대 생성"
"sein-c-master-2","sein-c","sein","ActiveMaster","1","관통 궤도","화살 경로상의 적에게 40% 화염 피해 후 폭발"
"vega-a-trait-1","vega-a","vega","ActiveEnhancement","0","특성 1","위력 +20%"
"vega-a-trait-2","vega-a","vega","ActiveEnhancement","1","특성 2","탄창 수 +2"
"vega-a-trait-3","vega-a","vega","ActiveEnhancement","2","특성 3","재장전 속도 +25%"
"vega-a-trait-4","vega-a","vega","ActiveEnhancement","3","특성 4","마지막 탄환 피해 배율 +50%"
"vega-a-trait-5","vega-a","vega","ActiveEnhancement","4","특성 5","삼검난무가 이름표식 10스택 이상인 적에게 주는 피해 +25%"
"vega-a-master-1","vega-a","vega","ActiveMaster","0","검은 잔상","삼검난무 발사 후 같은 궤도에 잔상 검기 1개가 지연 발사된다. 잔상 검기는 45% 피해, 이름표식 1스택 부여"
"vega-a-master-2","vega-a","vega","ActiveMaster","1","단죄 연쇄","삼검난무로 적을 처치하면 가장 가까운 적 1명에게 이름표식 3스택을 이전하고 작은 참격 피해를 준다"
