"monster_name","owner_kind","owner_name","target_skill_name","node_order","node_type_name","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_name"
"string","enum","string","skill_name","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_name"
"ariel","Choice","a-trait-1","ariel-a","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"ariel","Choice","a-trait-2","","1","MagazineBonus","3","","","","","","","","","","","",""
"ariel","Choice","a-trait-3","","1","ReloadTimeMultiplier","0.8","","","","","","","","","","","",""
"ariel","Choice","a-trait-4","","1","PierceBonus","1","","","","","","","","","","","",""
"ariel","Choice","a-trait-5","","1","CountStatusDamageMultiplier","shield","AllAllies","0.06","","","","","","","","","",""
"eve","Choice","a-trait-1","eve-a","1","DamageMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","a-trait-1","eve-a","2","MagazineBonus","4","","","","","","","","","","","",""
"eve","Choice","a-trait-2","eve-a","1","ReloadTimeMultiplier","0.76923","","","","","","","","","","","",""
"eve","Choice","a-trait-2","eve-a","2","PierceBonus","1","","","","","","","","","","","",""
"eve","Choice","a-trait-3","eve-a","1","AdditionalProjectileBonus","1","","","","","","","","","","","",""
"eve","Choice","a-trait-3","eve-a","2","ReloadTimeMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","a-trait-4","eve-a","1","AdditionalProjectileBonus","2","","","","","","","","","","","",""
"eve","Choice","a-trait-4","eve-a","2","ShotIntervalMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","a-trait-5","eve-a","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","a-trait-5","eve-a","2","BranchDamage","0.35","2","0.7","","","","","","","","","",""
"eve","Choice","a-master-1","eve-a","1","DamageMultiplier","1.35","","","","","","","","","","","",""
"eve","Choice","a-master-1","eve-a","2","MagazineBonus","2","","","","","","","","","","","",""
"eve","Choice","a-master-1","eve-a","3","BranchDamage","0.6","2","0.7","4.5","","","","","","","","",""
"eve","Choice","a-master-2","eve-a","1","DamageMultiplier","1.45","","","","","","","","","","","",""
"eve","Choice","a-master-2","eve-a","2","PierceBonus","2","","","","","","","","","","","",""
"eve","Choice","a-master-2","eve-a","3","AdditionalProjectileBonus","2","","","","","","","","","","","",""
"eve","Choice","a-master-2","eve-a","4","ShotIntervalMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","a-master-2","eve-a","5","StatusStackAmountSet","shock","2","","","","","","","","","","",""
"rin","Choice","a-trait-1","rin-a","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"rin","Choice","a-trait-2","rin-a","1","MagazineBonus","4","","","","","","","","","","","",""
"rin","Choice","a-trait-3","rin-a","1","ReloadTimeMultiplier","0.8","","","","","","","","","","","",""
"rin","Choice","a-trait-4","rin-a","1","PierceBonus","1","","","","","","","","","","","",""
"rin","Choice","a-trait-4","rin-a","2","DamageMultiplier","0.9","","","","","","","","","","","",""
"rin","Choice","a-trait-5","rin-a","1","CritChanceBonus","0.10","","","","","","","","","","","",""
"rin","Choice","a-trait-5","rin-a","2","CritDamageBonus","0.25","","","","","","","","","","","",""
"rin","Choice","a-master-1","rin-a","1","MagazineBonus","6","","","","","","","","","","","",""
"rin","Choice","a-master-1","rin-a","2","ShotIntervalMultiplier","0.82","","","","","","","","","","","",""
"rin","Choice","a-master-1","rin-a","3","DamageMultiplier","1.12","","","","","","","","","","","",""
"rin","Choice","a-master-2","rin-a","1","AdditionalDamage","0.4","","1","Lightning","HitTarget","","","","","","","",""
"rin","Choice","a-master-2","rin-a","2","EveryNthHitChainDamage","3","0.4","4.5","2","Lightning","","","","","","","",""
"sein","Choice","a-trait-1","sein-a","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"sein","Choice","a-trait-2","sein-a","1","MagazineBonus","4","","","","","","","","","","","",""
"sein","Choice","a-trait-3","sein-a","1","ReloadTimeMultiplier","0.7692307692307692","","","","","","","","","","","",""
"sein","Choice","a-trait-4","sein-a","1","PierceBonus","1","","","","","","","","","","","",""
"sein","Choice","a-trait-4","sein-a","2","DamageMultiplier","1.1","","","","","","","","","","","",""
"sein","Choice","a-trait-5","sein-a","1","ShotIntervalMultiplier","0.8","","","","","","","","","","","",""
"sein","Choice","a-trait-5","sein-a","2","DamageMultiplier","0.9","","","","","","","","","","","",""
"sein","Choice","a-master-1","sein-a","1","DamageMultiplier","1.55","","","","","","","","","","","",""
"sein","Choice","a-master-1","sein-a","2","PierceBonus","1","","","","","","","","","","","",""
"sein","Choice","b-trait-1","sein-b","1","AdditionalProjectileBonus","2","","","","","","","","","","","",""
"sein","Choice","b-trait-2","sein-b","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"sein","Choice","b-trait-3","sein-b","1","ReloadTimeMultiplier","0.7692307692307692","","","","","","","","","","","",""
"sein","Choice","b-trait-4","sein-b","1","ShotIntervalMultiplier","0.75","","","","","","","","","","","",""
"sein","Choice","b-trait-5","sein-b","1","ConsecutiveHitDamageBonus","0.08","0.4","","","","","","","","","","",""
"sein","Choice","b-master-1","sein-b","1","AdditionalProjectileBonus","4","","","","","","","","","","","",""
"sein","Choice","b-master-1","sein-b","2","DamageMultiplier","0.8","","","","","","","","","","","",""
"sein","Choice","b-master-2","sein-b","1","AdditionalProjectileBonus","-2","","","","","","","","","","","",""
"sein","Choice","b-master-2","sein-b","2","DamageMultiplier","1.9","","","","","","","","","","","",""
"sein","Choice","b-master-2","sein-b","3","CritChanceBonus","0.2","","","","","","","","","","","",""
