"choice_name","skill_name","monster_name","choice_group","sort_order","title","description_text"
"name","string","string","enum:SkillChoiceGroup","int","string","string"
"ariel-c-trait-1","ariel-c","ariel","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +25%</color>"
"ariel-c-trait-2","ariel-c","ariel","ActiveEnhancement","1","특성 2","<color=#D97706>행동속도 증가량 +6%</color>"
"ariel-c-trait-3","ariel-c","ariel","ActiveEnhancement","2","특성 3","<color=#D97706>버프 지속시간 +2초</color>"
"ariel-c-trait-4","ariel-c","ariel","ActiveEnhancement","3","특성 4","<color=#D97706>파동 반경 +25%</color>"
"ariel-c-trait-5","ariel-c","ariel","ActiveEnhancement","4","특성 5","<color=#D97706>방어막을 가진 아군은 추가로 신성 피해 +10%</color>"
"ariel-c-master-1","ariel-c","ariel","ActiveMaster","0","찬란한 성가","<color=#D97706>행동속도 대신 모든 아군 주문력 +18% 추가</color>"
"ariel-c-master-2","ariel-c","ariel","ActiveMaster","1","전장의 축도","<color=#D97706>파동이 2회 발생하며 두 번째 파동의 위력은 60%</color>"
"ariel-d-trait-1","ariel-d","ariel","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +30%</color>"
"ariel-d-trait-2","ariel-d","ariel","ActiveEnhancement","1","특성 2","<color=#D97706>신성 노출 +8%</color>"
"ariel-d-trait-3","ariel-d","ariel","ActiveEnhancement","2","특성 3","<color=#D97706>지속시간 +3초</color>"
"ariel-d-trait-4","ariel-d","ariel","ActiveEnhancement","3","특성 4","<color=#D97706>대상 수 +1,</color>\n<color=#D97706>위력 -20%</color>"
"ariel-d-trait-5","ariel-d","ariel","ActiveEnhancement","4","특성 5","<color=#D97706>방어막을 가진 아군이 낙인 대상에게 주는 피해 +10%</color>"
"ariel-d-master-1","ariel-d","ariel","ActiveMaster","0","성흔 각인","<color=#D97706>낙인 대상이 받는 치명타 피해 +25%</color>"
"ariel-d-master-2","ariel-d","ariel","ActiveMaster","1","계시의 창","<color=#D97706>낙인이 끝날 때 누적 신성 피해의 20%만큼 추가 신성 피해</color>"
"ariel-e-trait-1","ariel-e","ariel","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +30%</color>"
"ariel-e-trait-2","ariel-e","ariel","ActiveEnhancement","1","특성 2","<color=#D97706>방어막량 +30%</color>"
"ariel-e-trait-3","ariel-e","ariel","ActiveEnhancement","2","특성 3","<color=#D97706>쿨타임 -20%</color>"
"ariel-e-trait-4","ariel-e","ariel","ActiveEnhancement","3","특성 4","<color=#D97706>신성 노출 대상에게 위력 +50%</color>"
"ariel-e-trait-5","ariel-e","ariel","ActiveEnhancement","4","특성 5","<color=#D97706>모든 아군의 현재 방어막 지속시간 +3초</color>"
"ariel-e-master-1","ariel-e","ariel","ActiveMaster","0","천상의 성역","<color=#D97706>강림 후 5초 동안 모든 아군이 받는 피해 -18%</color>"
"ariel-e-master-2","ariel-e","ariel","ActiveMaster","1","심판의 광휘","<color=#D97706>신성 피해 +70%,</color>\n<color=#D97706>방어막량 -30%</color>"
"eve-d-trait-1","eve-d","eve","ActiveEnhancement","0","특성 1","<color=#D97706>범위 +25%,</color>\n<color=#D97706>폭발 반경 +15%</color>"
"eve-d-trait-2","eve-d","eve","ActiveEnhancement","1","특성 2","<color=#D97706>스택당 피해 증가 +15%</color>"
"eve-d-trait-3","eve-d","eve","ActiveEnhancement","2","특성 3","<color=#D97706>쿨다운 -20%,</color>\n<color=#D97706>위력 +15%</color>"
"eve-d-trait-4","eve-d","eve","ActiveEnhancement","3","특성 4","<color=#D97706>폭발 후 감전 1스택 추가 부여</color>"
"eve-d-trait-5","eve-d","eve","ActiveEnhancement","4","특성 5","<color=#D97706>감전 3스택 이상 대상 폭발 위력 +50%</color>"
"eve-d-master-1","eve-d","eve","ActiveMaster","0","연쇄 과부하","<color=#D97706>폭발에 맞은 적이 감전 상태면 추가 폭발 1회 발생,</color>\n<color=#D97706>추가 폭발 피해 50%</color>"
"eve-d-master-2","eve-d","eve","ActiveMaster","1","전자기 붕괴","<color=#D97706>폭발 반경 +40%,</color>\n<color=#D97706>감전 스택당 피해 증가 +25%,</color>\n<color=#D97706>쿨다운 +20%</color>"
"rin-d-trait-1","rin-d","rin","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +30%</color>"
"rin-d-trait-2","rin-d","rin","ActiveEnhancement","1","특성 2","<color=#D97706>처형 기준 체력 +10%</color>"
"rin-d-trait-3","rin-d","rin","ActiveEnhancement","2","특성 3","<color=#D97706>처치 시 쿨다운 반환 +20%</color>"
"rin-d-trait-4","rin-d","rin","ActiveEnhancement","3","특성 4","<color=#D97706>치명타 피해 +40%</color>"
"rin-d-trait-5","rin-d","rin","ActiveEnhancement","4","특성 5","<color=#D97706>보스 대상 위력 +25%</color>"
"rin-d-master-1","rin-d","rin","ActiveMaster","0","확정 종결","<color=#D97706>처형 대상에게 치명타 확률 +50%,</color>\n처치 시 쿨다운 완전 초기화,\n<color=#D97706>처치 순간 대상 주변에 90% 신성 피해 폭발</color>"
"rin-d-master-2","rin-d","rin","ActiveMaster","1","파멸권","<color=#D97706>위력 +90%,</color>\n<color=#D97706>처형 기준 체력 -10%,</color>\n<color=#D97706>쿨다운 +25%,</color>\n<color=#D97706>70% 어둠 추가 피해</color>"
"rin-e-trait-1","rin-e","rin","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +30%</color>"
"rin-e-trait-2","rin-e","rin","ActiveEnhancement","1","특성 2","<color=#D97706>피해 범위 +25%</color>"
"rin-e-trait-3","rin-e","rin","ActiveEnhancement","2","특성 3","<color=#D97706>쿨다운 -20%</color>"
"rin-e-trait-4","rin-e","rin","ActiveEnhancement","3","특성 4","<color=#D97706>중심부 대상 위력 +50%</color>"
"rin-e-trait-5","rin-e","rin","ActiveEnhancement","4","특성 5","<color=#D97706>적중한 적 3명 이상이면 하울링 쿨다운 20% 반환</color>"
"rin-e-master-1","rin-e","rin","ActiveMaster","0","압살 지점","<color=#D97706>피해 범위 -20%,</color>\n<color=#D97706>위력 +100%,</color>\n<color=#D97706>중심부 적중 시 100% 화염 추가 피해</color>"
"rin-e-master-2","rin-e","rin","ActiveMaster","1","균열 확산","<color=#D97706>피해 범위 +50%,</color>\n<color=#D97706>위력 +35%,</color>\n<color=#D97706>적중한 적 이동 속도 2초간 -25%,</color>\n<color=#D97706>45% 어둠 추가 피해</color>"
"vega-d-trait-1","vega-d","vega","ActiveEnhancement","0","특성 1","<color=#D97706>위력 +25%</color>"
"vega-d-trait-2","vega-d","vega","ActiveEnhancement","1","특성 2","<color=#D97706>참격 반경 +25%</color>"
"vega-d-trait-3","vega-d","vega","ActiveEnhancement","2","특성 3","<color=#D97706>쿨타임 -20%</color>"
"vega-d-trait-4","vega-d","vega","ActiveEnhancement","3","특성 4","<color=#D97706>이름표식 10스택 이상인 적 위치의 참격 위력 +30%</color>"
"vega-d-trait-5","vega-d","vega","ActiveEnhancement","4","특성 5","<color=#D97706>검은 명부 개방에 피해를 받은 적에게 이름표식 1스택 부여</color>"
"vega-d-master-1","vega-d","vega","ActiveMaster","0","명부 난도질","<color=#D97706>각 표식 대상 위치에 범위 참격 2회 추가 발생,</color>\n<color=#D97706>각 참격 위력 -35%</color>"
"vega-d-master-2","vega-d","vega","ActiveMaster","1","흑색 처형장","<color=#D97706>참격 반경 +50%,</color>\n<color=#D97706>위력 +30%,</color>\n<color=#D97706>쿨타임 +20%</color>"
"vega-e-trait-1","vega-e","vega","ActiveEnhancement","0","특성 1","<color=#D97706>기본 위력 +25%</color>"
"vega-e-trait-2","vega-e","vega","ActiveEnhancement","1","특성 2","<color=#D97706>표식 1스택당 추가 피해 +25%</color>"
"vega-e-trait-3","vega-e","vega","ActiveEnhancement","2","특성 3","<color=#D97706>쿨타임 -20%</color>"
"vega-e-trait-4","vega-e","vega","ActiveEnhancement","3","특성 4","<color=#D97706>이름표식 20스택 이상인 대상에게 치명타 확률 +35%</color>"
"vega-e-trait-5","vega-e","vega","ActiveEnhancement","4","특성 5","<color=#D97706>최종선고로 적을 처치하면 소모한 이름표식의 25%를 주변 적에게 분배</color>"
"vega-e-master-1","vega-e","vega","ActiveMaster","0","이름 없는 죽음","<color=#D97706>표식 소모량 100%,</color>\n<color=#D97706>표식 1스택당 추가 피해 +80%</color>"
"vega-e-master-2","vega-e","vega","ActiveMaster","1","연속 선고","<color=#D97706>기본 위력 -20%,</color>\n<color=#D97706>처치 시 최종선고 쿨타임 70% 반환</color>"
