"monster_id","owner_kind","owner_id","target_skill_id","node_order","node_type_id","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_id"
"string","enum","string","skill_id","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_id"
"ariel","Choice","c-trait-1","","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"ariel","Choice","c-trait-2","","1","StatusActionSpeedBonus","0.06","blessing","","","","","","","","","","",""
"ariel","Choice","c-trait-3","","1","StatusDurationBonus","blessing","2","","","","","","","","","","",""
"ariel","Choice","c-trait-4","ariel-c","1","RadiusMultiplier","1.25","","","","","","","","","","","",""
"ariel","Choice","d-master-1","ariel-d","1","StatusCriticalDamageTakenBonus","0.25","","","","","","","","","","","",""
"ariel","Choice","d-trait-1","","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"ariel","Choice","d-trait-2","","1","StatusElementDamageTakenBonus","0.08","","","","","","","","","","","",""
"ariel","Choice","d-trait-3","","1","DurationBonus","3","","","","","","","","","","","",""
"ariel","Choice","d-trait-4","","1","DamageMultiplier","0.8","","","","","","","","","","","",""
"ariel","Choice","d-trait-4","ariel-d","1","HitTargetCountBonus","1","","","","","","","","","","","",""
"ariel","Choice","d-trait-5","","1","StatusConditionalDamageTakenBonus","shield","0.1","","","","","","","","","","",""
"ariel","Choice","e-master-2","ariel-e","1","ShieldAmountMultiplier","0.7","","","","","","","","","","","",""
"ariel","Choice","e-master-2","","1","DamageMultiplier","1.7","","","","","","","","","","","",""
"ariel","Choice","e-trait-1","","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"ariel","Choice","e-trait-2","ariel-e","1","ShieldAmountMultiplier","1.3","","","","","","","","","","","",""
"ariel","Choice","e-trait-3","","1","CooldownMultiplier","0.8","","","","","","","","","","","",""
"ariel","Choice","e-trait-5","","1","DurationBonus","3","","","","","","","","","","","",""
"eve","Skill","d","eve-d","1","StatusFilteredDeployment","shock","1","","","","","","","","","","",""
"eve","Skill","d","eve-d","2","TargetStatusStackDamage","shock","","3.5","","0.245","","","","","","","",""
"eve","Choice","d-trait-1","eve-d","1","RadiusMultiplier","1.15","","","","","","","","","","","",""
"eve","Choice","d-trait-2","eve-d","1","TargetStatusStackDamageRateBonus","shock","0.15","","","","","","","","","","",""
"eve","Choice","d-trait-3","eve-d","1","DamageMultiplier","1.15","","","","","","","","","","","",""
"eve","Choice","d-trait-3","eve-d","2","CooldownMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","d-trait-5","eve-d","1","ConditionalDamageMultiplier","shock","3","1.5","","","","","","","","","",""
"eve","Choice","d-master-1","eve-d","1","RepeatPerTarget","1","0","0.5","","","","","","","","","",""
"eve","Choice","d-master-2","eve-d","1","RadiusMultiplier","1.4","","","","","","","","","","","",""
"eve","Choice","d-master-2","eve-d","2","TargetStatusStackDamageRateBonus","shock","0.25","","","","","","","","","","",""
"eve","Choice","d-master-2","eve-d","3","CooldownMultiplier","1.2","","","","","","","","","","","",""
"rin","Skill","d","rin-d","1","TargetHealthRatioCondition","0.30","true","","","","","","","","","","",""
"rin","Skill","d","rin-d","2","ExecuteDamageMultiplier","1.8","TargetHealthRatioCondition","","","","","","","","","","",""
"rin","Skill","d","rin-d","3","CooldownRefund","0.35","","","","","","","","","","","",""
"rin","Choice","d-trait-1","rin-d","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"rin","Choice","d-trait-2","rin-d","1","TargetHealthRatioThresholdBonus","0.10","","","","","","","","","","","",""
"rin","Choice","d-trait-3","rin-d","1","CooldownRefundBonus","0.20","","","","","","","","","","","",""
"rin","Choice","d-trait-4","rin-d","1","CritDamageBonus","0.40","","","","","","","","","","","",""
