"node_type_name","param_order","param_key","value_type","required","allowed_values"
"string","int","string","enum","bool","string"
"ApplyShield","1","base_damage","float","false",""
"ApplyShield","2","spell_power_coefficient","float","false",""
"AdditionalProjectileBonus","1","bonus","int","true",""
"ApplyStatus","1","status_name","status_name","true",""
"BranchDamage","1","chance_bonus","float","false",""
"BranchDamage","2","count","int","false",""
"BranchDamage","3","damage_multiplier","float","false",""
"BranchDamage","4","search_radius","float","false",""
"BurstDamageRule","1","projectile_index","int","true",""
"BurstDamageRule","2","multiplier","float","true",""
"BurstStatusStacksBonus","1","projectile_index","int","true",""
"BurstStatusStacksBonus","2","bonus","int","true",""
"ConditionalDamageMultiplier","1","status_name","status_name","true",""
"ConditionalDamageMultiplier","2","min_stacks","int","true",""
"ConditionalDamageMultiplier","3","multiplier","float","true",""
"ConditionAnyStatus","1","status_ids","string","true",""
"ConditionAnyStatus","2","target_side","enum","false",""
"ConditionAnyStatus","3","source_skill_name","string","false",""
"ConditionAnyStatus","4","min_stacks","int","false",""
"ConditionSkillAttribute","1","attribute","enum","true",""
"ConditionStatus","1","status_name","status_name","true",""
"ConditionStatus","2","target_side","enum","false",""
"ConditionStatus","3","source_skill_name","string","false",""
"ConditionStatus","4","min_stacks","int","false",""
"ConditionStatusExpression","1","status_name","string","true",""
"ConditionStatusExpression","2","target_side","enum","false",""
"ConditionStatusExpression","3","source_skill_name","string","false",""
"ConditionStatusExpression","4","min_stacks","int","false",""
"CooldownMultiplier","1","multiplier","float","true",""
"CountStatusDamageMultiplier","1","status_name","status_name","true",""
"CountStatusDamageMultiplier","2","target_side","enum","true",""
"CountStatusDamageMultiplier","3","amount_per_count","float","true",""
"DamageMultiplier","1","multiplier","float","true",""
"DurationBonus","1","bonus_seconds","float","true",""
"DurationMultiplier","1","multiplier","float","true",""
"EffectDamage","1","attribute","enum","true",""
"EffectDamage","2","base_damage","float","false",""
"EffectDamage","3","spell_power_coefficient","float","false",""
"EffectDamage","4","damage_multiplier","float","false",""
"EffectDamage","5","radius","float","false",""
"EffectDamage","6","attack_power_coefficient","float","false",""
"EffectDamage","7","tick_interval_seconds","float","false",""
"EffectExtendStatusDuration","1","status_name","status_name","true",""
"EffectLifetime","1","duration_seconds","float","true",""
"EffectTarget","1","target_side","enum","false",""
"EffectTarget","2","target_selection","enum","false",""
"EffectTarget","3","target_shape","enum","false",""
"EffectTarget","4","center_mode","enum","false",""
"EffectTarget","5","visual_anchor_mode","enum","false",""
"EffectTarget","6","effect_timing","enum","false",""
"EffectTarget","7","delay_seconds","float","false",""
"EffectTarget","8","apply_once","bool","false",""
"EffectTarget","9","cover_all","bool","false",""
"EffectVisual","1","skill_effect_prefab_path","asset_path","true",""
"RuntimeEffectVisual","1","runtime_visual_sprite_path","asset_path","true",""
"RuntimeEffectVisual","2","runtime_visual_animator_controller_path","asset_path","false",""
"RuntimeEffectVisual","3","runtime_visual_scale","float","false",""
"RuntimeEffectVisual","4","runtime_visual_sorting_order","int","false",""
"RuntimeEffectVisual","5","runtime_hitbox_size_x","float","false",""
"RuntimeEffectVisual","6","runtime_hitbox_size_y","float","false",""
"HitTargetCountBonus","1","bonus","int","true",""
"MagazineBonus","1","bonus","int","true",""
"PierceBonus","1","bonus","int","true",""
"RadiusMultiplier","1","multiplier","float","true",""
"RecastZone","1","source_skill_name","skill_name","true",""
"RecastZone","2","delay_seconds","float","true",""
"RecastZone","3","duration_seconds","float","true",""
"RecastZone","4","radius_multiplier","float","true",""
"RecastZone","5","inherit_snapshot","bool","true",""
"RecastZone","6","max_generation","int","true",""
"ReloadTimeMultiplier","1","multiplier","float","true",""
"RepeatPerTarget","1","repeat_count","int","true",""
"RepeatPerTarget","2","repeat_interval_seconds","float","true",""
"RepeatPerTarget","3","repeat_damage_multiplier","float","true",""
"PullToCenter","1","distance_per_tick","float","true",""
"ShieldAmountMultiplier","1","multiplier","float","true",""
"StatusActionSpeedBonus","1","bonus","float","true",""
"StatusActionSpeedBonus","2","status_name","status_name","false",""
"StatusAilmentResistanceBonus","1","bonus","float","true",""
"StatusConditionalDamageTakenBonus","1","source_status_name","status_name","true",""
"StatusConditionalDamageTakenBonus","2","bonus","float","true",""
"StatusConditionalStatusChanceBonus","1","status_ids","string","true",""
"StatusConditionalStatusChanceBonus","2","bonus","float","true",""
"StatusCriticalChanceBonus","1","bonus","float","true",""
"StatusCriticalDamageTakenBonus","1","bonus","float","true",""
"StatusFilteredDeployment","1","status_name","status_name","true",""
"StatusFilteredDeployment","2","min_stacks","int","true",""
"StatusMaxStacksBonus","1","status_name","status_name","true",""
"StatusMaxStacksBonus","2","bonus","int","true",""
"StatusStackAmountBonus","1","status_name","status_name","true",""
"StatusStackAmountBonus","2","bonus","int","true",""
"StatusStackAmountSet","1","status_name","status_name","true",""
"StatusStackAmountSet","2","value","int","true",""
"StatusDamageBonusRate","1","bonus","float","true",""
"StatusDamageBonusRate","2","attribute","enum","false",""
"StatusDamageTakenBonus","1","bonus","float","true",""
"StatusDurationBonus","1","status_name","status_name","true",""
"StatusDurationBonus","2","bonus_seconds","float","true",""
"StatusElementDamageTakenBonus","1","bonus","float","true",""
"StatusElementDamageTakenBonus","2","attribute","enum","false",""
"StatusFlatElementResistReduction","1","bonus","float","true",""
"StatusFlatElementResistReduction","2","attribute","enum","false",""
"StatusShieldReceivedBonus","1","bonus","float","true",""
"StatusSpellPowerBonus","1","bonus","float","true",""
"StatusModifier","1","status_target_scope","string","false",""
"StatusModifier","2","status_merge_policy","string","false",""
"ShotIntervalMultiplier","1","multiplier","float","true",""
"TargetStatusStackDamage","1","status_name","status_name","true",""
"TargetStatusStackDamage","2","max_stacks","int","false",""
"TargetStatusStackDamage","3","base_damage","float","false",""
"TargetStatusStackDamage","4","attack_power_coefficient","float","false",""
"TargetStatusStackDamage","5","spell_power_coefficient","float","false",""
"TargetStatusStackDamage","6","multiplier","float","false",""
"TargetStatusStackDamageRateBonus","1","status_name","status_name","true",""
"TargetStatusStackDamageRateBonus","2","bonus_rate_per_stack","float","true",""
"TriggerProcChanceBonus","1","trigger_name","string","true",""
"TriggerProcChanceBonus","2","bonus","float","true",""
"CritChanceBonus","1","bonus","float","true",""
"CritDamageBonus","1","bonus","float","true",""
"BeamWidthBonus","1","bonus","float","true",""
"KnockbackDistanceMultiplier","1","multiplier","float","true",""
"ReloadReducePerHit","1","target_skill_name","skill_name","true",""
"ReloadReducePerHit","2","seconds_per_hit","float","true",""
"CoreDamageMultiplier","1","hitbox_name","string","true",""
"CoreDamageMultiplier","2","multiplier","float","true",""
"CoreAdditionalDamage","1","hitbox_name","string","true",""
"CoreAdditionalDamage","2","chance","float","true",""
"CoreAdditionalDamage","3","multiplier","float","true",""
"CoreAdditionalDamage","4","attribute","enum","true",""
"HitCountCooldownRefund","1","target_skill_name","skill_name","true",""
"HitCountCooldownRefund","2","min_targets","int","true",""
"HitCountCooldownRefund","3","ratio","float","true",""
"AdditionalDamage","1","multiplier","float","true",""
"AdditionalDamage","2","base_damage","float","false",""
"AdditionalDamage","3","chance","float","false",""
"AdditionalDamage","4","attribute","enum","false",""
"AdditionalDamage","5","target","string","false",""
"AdditionalDamage","6","target_side","enum","false",""
"EveryNthHitChainDamage","1","hit_count","int","true",""
"EveryNthHitChainDamage","2","multiplier","float","true",""
"EveryNthHitChainDamage","3","radius","float","false",""
"EveryNthHitChainDamage","4","max_targets","int","false",""
"EveryNthHitChainDamage","5","attribute","enum","false",""
"EveryNthHitChainDamage","6","target_side","enum","false",""
"TargetHealthRatioCondition","1","threshold","float","true",""
"TargetHealthRatioCondition","2","reject_if_missing_target","bool","false",""
"ExecuteDamageMultiplier","1","multiplier","float","true",""
"ExecuteDamageMultiplier","2","threshold_source","string","false",""
"TargetPredicateDamageMultiplier","1","predicate","enum","true","is_boss"
"TargetPredicateDamageMultiplier","2","multiplier","float","true",""
"CooldownRefund","1","ratio","float","true",""
"TargetHealthRatioThresholdBonus","1","threshold_bonus","float","true",""
"ExecuteCritChanceBonus","1","crit_chance_bonus","float","true",""
"CooldownReset","1","requires_execute","bool","false",""
"CooldownRefundBonus","1","ratio_bonus","float","true",""
"StatusMoveSpeedBonus","1","bonus","float","true",""
"StatusAttackPowerBonus","1","bonus","float","true",""
"StatusCriticalDamageBonus","1","bonus","float","true",""
"StatusElementResistReduction","1","bonus","float","true",""
"StatusElementResistReduction","2","attribute","enum","false",""
"StatusOutgoingAdditionalDamage","1","multiplier","float","true",""
"StatusOutgoingAdditionalDamage","2","trigger_attribute","enum","true",""
"StatusOutgoingAdditionalDamage","3","damage_attribute","enum","true",""
"ConditionHealthRatioMax","1","ratio","float","true",""
"ConditionHitCountMin","1","min_targets","int","true",""
"DamageDelayMultiplier","1","multiplier","float","true",""
"ConsecutiveHitDamageBonus","1","bonus_rate","float","true",""
"ConsecutiveHitDamageBonus","2","max_bonus","float","true",""
"AttachStatusPayload","1","status_name","status_name","true",""
"AttachStatusPayload","2","status_chance","float","false",""
"AttachStatusPayload","3","status_label","string","false",""
"AttachStatusPayload","4","status_duration_seconds","float","false",""
"AttachStatusPayload","5","status_max_stacks","int","false",""
"AttachStatusPayload","6","status_stack_amount","int","false",""
"AttachStatusPayload","7","status_merge_policy","string","false",""
"ConsumeTargetStatusRatioOverride","1","ratio","float","true",""
"FollowUpProjectile","1","count","int","true",""
"FollowUpProjectile","2","delay_seconds","float","true",""
"FollowUpProjectile","3","damage_multiplier","float","true",""
"RedistributeConsumedStatus","1","status_name","status_name","true",""
"RedistributeConsumedStatus","2","ratio","float","true",""
"RedistributeConsumedStatus","3","radius","float","false",""
"RedistributeConsumedStatus","4","stacks","int","false",""
"RedistributeConsumedStatus","5","target_count","int","false",""
