"node_type_name","handler_name","node_kind","runtime_support_state","runtime_support_notes"
"string","string","enum","string","string"
"ApplyShield","ApplyShield","Action","",""
"ApplyStatus","ApplyStatus","Action","",""
"AdditionalProjectileBonus","AdditionalProjectileBonus","Action","",""
"BranchDamage","BranchDamage","Action","",""
"BurstDamageRule","BurstDamageRule","DamageModifier","",""
"BurstStatusStacksBonus","BurstStatusStacksBonus","Action","",""
"ConditionalDamageMultiplier","ConditionalDamageMultiplier","DamageModifier","",""
"ConditionAnyStatus","ConditionAnyStatus","Action","",""
"ConditionSkillAttribute","ConditionSkillAttribute","Action","",""
"ConditionStatus","ConditionStatus","Action","",""
"ConditionStatusExpression","ConditionStatus","Action","",""
"CooldownMultiplier","CooldownMultiplier","Action","",""
"CooldownChargeSpeedBonus","CooldownChargeSpeedBonus","Action","",""
"CountStatusDamageMultiplier","CountStatusDamageMultiplier","DamageModifier","",""
"DamageMultiplier","DamageMultiplier","DamageModifier","",""
"DefenseModifier","DefenseModifier","Action","",""
"DurationBonus","DurationBonus","Action","",""
"DurationMultiplier","DurationMultiplier","Action","",""
"EffectDamage","EffectDamage","Action","",""
"EffectExtendStatusDuration","EffectExtendStatusDuration","Action","",""
"EffectLifetime","EffectLifetime","Action","",""
"EffectTarget","EffectTarget","Action","",""
"EffectVisual","EffectVisual","Action","",""
"RuntimeEffectVisual","RuntimeEffectVisual","Action","",""
"HitTargetCountBonus","HitTargetCountBonus","Action","",""
"MagazineBonus","MagazineBonus","Action","",""
"PierceBonus","PierceBonus","Action","",""
"RadiusMultiplier","RadiusMultiplier","Action","",""
"RecastZone","RecastZone","OnExpireAction","",""
"ReloadTimeMultiplier","ReloadTimeMultiplier","Action","",""
"RepeatPerTarget","RepeatPerTarget","Action","",""
"PullToCenter","PullToCenter","Action","",""
"ShieldAmountMultiplier","ShieldAmountMultiplier","Action","",""
"StatusActionSpeedBonus","StatusActionSpeedBonus","Action","",""
"StatusActionSpeedMultiplier","StatusActionSpeedMultiplier","Action","",""
"StatusAilmentResistanceBonus","StatusAilmentResistanceBonus","Action","",""
"StatusConditionalDamageTakenBonus","StatusConditionalDamageTakenBonus","Action","",""
"StatusConditionalStatusChanceBonus","StatusConditionalStatusChanceBonus","Action","",""
"StatusCriticalChanceBonus","StatusCriticalChanceBonus","Action","",""
"StatusCriticalDamageTakenBonus","StatusCriticalDamageTakenBonus","Action","",""
"StatusFilteredDeployment","StatusFilteredDeployment","Action","",""
"StatusMaxStacksBonus","StatusMaxStacksBonus","Action","",""
"StatusStackAmountBonus","StatusStackAmountBonus","Action","",""
"StatusStackAmountSet","StatusStackAmountSet","Action","",""
"StatusDamageBonusRate","StatusDamageBonusRate","Action","",""
"StatusDamageTakenBonus","StatusDamageTakenBonus","Action","",""
"StatusDurationBonus","StatusDurationBonus","Action","",""
"StatusElementDamageTakenBonus","StatusElementDamageTakenBonus","Action","",""
"StatusFlatElementResistReduction","StatusFlatElementResistReduction","Action","",""
"StatusModifier","StatusModifier","Action","",""
"StatusShieldReceivedBonus","StatusShieldReceivedBonus","Action","",""
"StatusSpellPowerBonus","StatusSpellPowerBonus","Action","",""
"ShotIntervalMultiplier","ShotIntervalMultiplier","Action","",""
"TargetStatusStackDamage","TargetStatusStackDamage","DamageModifier","",""
"TargetStatusStackDamageRateBonus","TargetStatusStackDamageRateBonus","DamageModifier","",""
"TargetStatusStackDamageMultiplierBonus","TargetStatusStackDamageMultiplierBonus","DamageModifier","",""
"TriggerProcChanceBonus","TriggerProcChanceBonus","Action","",""
"CritChanceBonus","CritChanceBonus","CritModifier","",""
"CritDamageBonus","CritDamageBonus","CritModifier","",""
"BeamWidthBonus","BeamWidthBonus","Action","",""
"KnockbackDistanceMultiplier","KnockbackDistanceMultiplier","Action","",""
"ReloadReducePerHit","ReloadReducePerHit","OnHitAction","",""
"CoreDamageMultiplier","CoreDamageMultiplier","DamageModifier","",""
"CoreAdditionalDamage","CoreAdditionalDamage","OnHitAction","",""
"HitCountCooldownRefund","HitCountCooldownRefund","OnHitAction","",""
"AdditionalDamage","AdditionalDamage","OnHitAction","",""
"EveryNthHitChainDamage","EveryNthHitChainDamage","OnHitAction","",""
"TargetHealthRatioCondition","TargetHealthRatioCondition","CastCondition","",""
"ExecuteDamageMultiplier","ExecuteDamageMultiplier","DamageModifier","",""
"TargetPredicateDamageMultiplier","TargetPredicateDamageMultiplier","DamageModifier","",""
"TargetPredicateFinalDamageModifier","TargetPredicateFinalDamageModifier","DamageModifier","",""
"CooldownRefund","CooldownRefund","OnKillAction","",""
"TargetHealthRatioThresholdBonus","TargetHealthRatioThresholdBonus","CastCondition","",""
"ExecuteCritChanceBonus","ExecuteCritChanceBonus","CritModifier","",""
"ExecuteEventSkill","ExecuteEventSkill","OnHitAction","",""
"CooldownReset","CooldownReset","OnKillAction","",""
"CooldownRefundBonus","CooldownRefundBonus","OnKillAction","",""
"StatusMoveSpeedBonus","StatusMoveSpeedBonus","Action","",""
"StatusAttackPowerBonus","StatusAttackPowerBonus","Action","",""
"StatusCriticalDamageBonus","StatusCriticalDamageBonus","Action","",""
"StatusElementResistReduction","StatusElementResistReduction","Action","",""
"StatusOutgoingAdditionalDamage","StatusOutgoingAdditionalDamage","Action","",""
"ConditionHealthRatioMax","ConditionHealthRatioMax","Action","",""
"ConditionHitCountMin","ConditionHitCountMin","Action","",""
"DamageDelayMultiplier","DamageDelayMultiplier","Action","",""
"ConsecutiveHitDamageBonus","ConsecutiveHitDamageBonus","Action","",""
"AttachStatusPayload","AttachStatusPayload","Action","",""
"ConsumeTargetStatusRatioOverride","ConsumeTargetStatusRatioOverride","Action","",""
"FollowUpProjectile","FollowUpProjectile","Action","",""
"RedistributeConsumedStatus","RedistributeConsumedStatus","OnKillAction","",""
"RequiredSourceStatus","RequiredSourceStatus","Action","",""
"StatusRuntimeKindFilter","StatusRuntimeKindFilter","Action","",""
"TargetStatusCritBonus","TargetStatusCritBonus","CritModifier","",""
"TargetHealthRatioCritBonus","TargetHealthRatioCritBonus","CritModifier","",""
"TargetBossCritBonus","TargetBossCritBonus","CritModifier","",""
"TargetHighestHealthCritBonus","TargetHighestHealthCritBonus","CritModifier","",""
"SkillRuntimeKindCritBonus","SkillRuntimeKindCritBonus","CritModifier","",""
"FateCoinCritChanceProgression","FateCoinCritChanceProgression","CritModifier","",""
"MagazineLastProjectileCritDamageBonus","MagazineLastProjectileCritDamageBonus","CritModifier","",""
"FinalDamageModifier","FinalDamageModifier","CritModifier","",""
"FinalDamageTakenMultiplier","FinalDamageTakenMultiplier","Action","",""
"CriticalFinalDamageModifier","CriticalFinalDamageModifier","CritModifier","",""
"TargetStatusStackDamageMultiplier","TargetStatusStackDamageMultiplier","DamageModifier","",""
"ThresholdApplyStatus","ThresholdApplyStatus","Action","",""
"LineCastRepeatCountBonus","LineCastRepeatCountBonus","Action","",""
"ApplyDamage","ApplyDamage","Action","",""
