"trigger_id","monster_id","source_skill_id","trigger_event","requires_active_choice_id","excludes_active_choice_id","required_source_status_id","required_source_status_min_stacks","condition_status_id","condition_status_source_skill_id","trigger_attribute","event_skill_id","event_skill_runtime_kinds","proc_chance","internal_cooldown_seconds","trigger_delay_seconds","trigger_every_count","event_source_scope","sort_order","repeat_count","repeat_interval_seconds","require_event_execute"
"id","string","string","enum:SkillTriggerEvent","string","string","string","int","string","string","string","string","string","float","float","float","int","string","int","int","float","bool"
"ariel-j-after-e-action-speed-trigger","ariel","ariel-j","OnSkillCast","","",,"","","","","ariel-e","","1","","","","owner","80","1","0",""
"eve-g-auto-prism-ray","eve","eve-g","OnOutgoingDamage","","",,"","","","Lightning;Ice","","","0.04","1.5","","","","10","1","",""
"eve-h-freeze-expire-burst","eve","eve-h","OnStatusExpire","eve-h-trait-3","",,"","freeze","","","","","1","0","","","","10","1","",""
"rin-i-execute-hit-rin-e-cooldown-trait3","rin","rin-i","OnOutgoingDamage","rin-i-trait-3","",,"","","","","rin-d","","1","0","0","0","owner","10","1","","true"
"rin-f-followup","rin","rin-f","OnOutgoingDamage","","rin-f-trait-2",,"","","","","rin-c;rin-d;rin-e","","1","0","0.3","0","owner","10","1","","false"
"rin-f-followup-trait2","rin","rin-f","OnOutgoingDamage","rin-f-trait-2","",,"","","","","rin-c;rin-d;rin-e","","1","0","0.3","0","owner","10","1","","false"
"rin-f-followup-lightning-trait3","rin","rin-f","OnOutgoingDamage","rin-f-trait-3","",,"","","","","rin-c;rin-d;rin-e","","1","0","0.3","0","owner","10","1","","false"
"rin-h-auto-shockwave-base-base","rin","rin-h","OnOutgoingDamage","","rin-h-trait-1;rin-h-trait-2",,"","","","","","","1","3","0","10","all_allies","10","1","","false"
"rin-h-auto-shockwave-lightning-base-base","rin","rin-h","OnOutgoingDamage","rin-h-trait-3","rin-h-trait-1;rin-h-trait-2",,"","","","","","","1","3","0","10","all_allies","10","1","","false"
"rin-h-auto-shockwave-base-t2","rin","rin-h","OnOutgoingDamage","rin-h-trait-2","rin-h-trait-1",,"","","","","","","1","3","0","10","all_allies","10","1","","false"
"rin-h-auto-shockwave-lightning-base-t2","rin","rin-h","OnOutgoingDamage","rin-h-trait-2;rin-h-trait-3","rin-h-trait-1",,"","","","","","","1","3","0","10","all_allies","10","1","","false"
"rin-h-auto-shockwave-t1-base","rin","rin-h","OnOutgoingDamage","rin-h-trait-1","rin-h-trait-2",,"","","","","","","1","3","0","8","all_allies","10","1","","false"
"rin-h-auto-shockwave-lightning-t1-base","rin","rin-h","OnOutgoingDamage","rin-h-trait-1;rin-h-trait-3","rin-h-trait-2",,"","","","","","","1","3","0","8","all_allies","10","1","","false"
"rin-h-auto-shockwave-t1-t2","rin","rin-h","OnOutgoingDamage","rin-h-trait-1;rin-h-trait-2","",,"","","","","","","1","3","0","8","all_allies","10","1","","false"
"rin-h-auto-shockwave-lightning-t1-t2","rin","rin-h","OnOutgoingDamage","rin-h-trait-1;rin-h-trait-2;rin-h-trait-3","",,"","","","","","","1","3","0","8","all_allies","10","1","","false"
"rin-g-howling-reload-rin-a-trait3","rin","rin-g","OnSkillCast","rin-g-trait-3","",,"","","","","rin-b","","1","0","0","0","owner","10","1","","false"
"rin-i-finishing-kill-action-speed","rin","rin-i","OnKill","","",,"","","","","rin-d","","1","0","0","0","owner","10","1","","false"
"rin-i-finishing-kill-crit-damage-trait2","rin","rin-i","OnKill","rin-i-trait-2","",,"","","","","rin-d","","1","0","0","0","owner","10","1","","false"
