"trigger_name","monster_name","source_skill_name","trigger_event","requires_active_choice_name","excludes_active_choice_name","required_source_status_name","required_source_status_min_stacks","condition_status_name","condition_status_source_skill_name","trigger_attribute","event_skill_name","event_skill_runtime_kinds","proc_chance","internal_cooldown_seconds","trigger_delay_seconds","trigger_every_count","event_source_scope","sort_order","repeat_count","repeat_interval_seconds","require_event_execute"
"name","string","string","enum:SkillTriggerEvent","string","string","string","int","string","string","string","string","string","float","float","float","int","string","int","int","float","bool"
"ariel-d-master2-mark-expire-burst","ariel","ariel-d","OnStatusExpire","ariel-d-master-2","",,,,"",,"",,"","","","","","1","1","0",""
"rin-d-master1-kill-burst","rin","rin-d","OnKill","rin-d-master-1","",,,,"",,"",,"","","","","","1","1","","true"
"ariel-c-master-1","ariel","ariel-c","OnCast","ariel-c-master-1","",,,,"",,"",,"1","","","","","1","1","",""
"ariel-c-master-2","ariel","ariel-c","OnCast","ariel-c-master-2","",,,,"",,"",,"1","","1","","","1","1","",""
"ariel-c-trait-5","ariel","ariel-c","OnCast","ariel-c-trait-5","",,,,"",,"",,"1","","","","","1","1","",""
"ariel-e-master-1","ariel","ariel-e","OnCast","ariel-e-master-1","",,,,"",,"",,"1","","","","","1","1","",""
"ariel-e-trait-4","ariel","ariel-e","OnCast","ariel-e-trait-4","",,,,"",,"",,"1","","","","","1","1","",""
"ariel-e-trait-5","ariel","ariel-e","OnCast","ariel-e-trait-5","",,,,"",,"",,"1","","","","","1","1","",""
"ariel-c-trigger-effect-1","ariel","ariel-c","OnCast","","ariel-c-master-1",,,,"",,"",,"1","","","","","1","1","",""
"ariel-e-trigger-effect-1","ariel","ariel-e","OnCast","","",,,,"",,"",,"1","","","","","1","1","",""
"eve-d-trait-4","eve","eve-d","OnHit","eve-d-trait-4","",,,,"",,"",,"1","","","","","1","1","",""
"rin-e-master-2","rin","rin-e","OnHit","rin-e-master-2","",,,,"",,"",,"1","","","","","1","1","",""
