id,enemy_id,sort_order
id,string,int
catalog-stage2-enemy-stage2-fire-dragon-slayer,stage2-fire-dragon-slayer,0
catalog-stage2-enemy-stage2-lightning-scout,stage2-lightning-scout,1
catalog-stage2-enemy-stage2-ice-guard,stage2-ice-guard,2
catalog-stage2-enemy-stage2-dark-assassin,stage2-dark-assassin,3
catalog-stage2-enemy-stage2-holy-priest,stage2-holy-priest,4
catalog-stage2-enemy-stage2-ethan,stage2-ethan,5
catalog-stage2-enemy-stage2-drake,stage2-drake,6
catalog-stage2-enemy-stage2-arsen,stage2-arsen,7
