"skill_id","skill_kind","slot","display_name","runtime_kind","implementation_state","is_default_learned","is_available_without_active_requirement","required_active_slot","skill_icon_path","description_text","summary","attribute","base_damage","attack_power_coefficient","spell_power_coefficient","radius","cooldown_seconds","magazine_capacity","reload_seconds","shot_interval_seconds","critical_allowed","status_effect_id","stage_one_skill","active_duration","flat_value","projectile_speed","projectile_lifetime","move_speed_multiplier","outgoing_damage_multiplier","source_status","source_notes"
"id","enum:PakuriCsvSkillKind","enum:SkillSlot","string","enum:SkillRuntimeKind","enum:SkillImplementationState","bool","bool","enum:SkillSlot","asset_path","string","string","enum:DamageAttribute","float","float","float","float","float","int","float","float","bool","string","enum:StageOneEnemySkillKind","float","float","float","float","float","float","string","string"
"Slash","Active","A","베기","AreaAttack","RuntimeImplemented","true","false","A","","Stage 1 swordsman melee slash.","Melee area hitbox damage.","Physical","0","1","0","1.4","2","0","0","0","true","","Slash","0","0","0","0","1","1","ReferenceDirect","Values migrated from stage_one_enemies.csv and EnemyStat.csv."
"ShieldUp","Active","A","방패 들기","Shield","RuntimeImplemented","true","false","A","","Stage 1 shieldbearer defensive stance.","Temporary incoming damage reduction.","Physical","0","0","0","0","8","0","0","0","true","","ShieldUp","4","0.25","0","0","1","1","ReferenceDirect","Values migrated from stage_one_enemies.csv and EnemyStat.csv."
"AimedShot","Active","A","조준 사격","CooldownProjectile","RuntimeImplemented","true","false","A","","Stage 1 archer aimed shot.","Source-only archer projectile skill.","Physical","0","1.5","0","7","5","0","0","0","true","","AimedShot","0","0","10","2.5","1","1","SourceOnly","Values migrated from source/stage_one_enemies.csv; archer is not present in active EnemyStat.csv."
"ShurikenThrow","Active","A","수리검 투척","CooldownProjectile","RuntimeImplemented","true","false","A","","Stage 1 rogue shuriken throw.","Projectile damage skill.","Physical","0","1.4","0","6","4","0","0","0","true","","ShurikenThrow","0","0","9","2.5","1","1","ReferenceDirect","Values migrated from stage_one_enemies.csv and EnemyStat.csv."
"Heal","Active","A","치유","Heal","RuntimeImplemented","true","false","A","","Stage 1 priest heal.","Restores the lowest-health enemy ally.","Holy","0","0","1.2","5","6","0","0","0","true","","Heal","0","50","0","0","1","1","ReferenceDirect","Values migrated from stage_one_enemies.csv and EnemyStat.csv."
"GuardianFlag","Active","A","수호의 깃발","Shield","RuntimeImplemented","true","false","A","","Stage 1 guardian captain flag.","Grants shield to nearby enemy allies.","Physical","0","0","0","4","10","0","0","0","true","","GuardianFlag","5","100","0","0","1","1","ReferenceDirect","Values migrated from stage_one_enemies.csv and EnemyStat.csv."
"ChargeCommand","Active","A","돌격 명령","Buff","RuntimeImplemented","true","false","A","","Stage 1 attack captain command.","Buffs nearby enemy allies from CSV-authored move speed and outgoing damage multipliers.","Physical","0","0","0","5","12","0","0","0","true","","ChargeCommand","6","0","0","0","1.2","1.15","ReferenceDirect","Values migrated from stage_one_enemies.csv and EnemyStat.csv."
"SacredSwordWave","Active","A","성검기","CooldownProjectile","RuntimeImplemented","true","false","A","","Stage 1 hero Karin sacred sword wave.","Projectile-based boss skill.","Physical","0","2.2","0","8","9","0","0","0","true","","SacredSwordWave","0","0","12","4","1","1","ReferenceDirect","Values migrated from stage_one_enemies.csv and EnemyStat.csv."
"FireDragonSlash","Active","A","화룡 참격","AreaAttack","RuntimeImplemented","true","false","A","","Stage 2 fire dragon soldier slash.","Short fire area slash.","Fire","0","1.2","0.4","2","5","0","0","0","true","","FireDragonSlash","0","0","0","0","1","1","RuntimeImplemented","Stage2 node-backed enemy skill."
"ChainLightning","Active","A","연쇄 번개","SingleAttack","RuntimeImplemented","true","false","A","","Stage 2 lightning scout chain lightning.","Primary lightning hit then delayed chain after 0.5 seconds.","Lightning","0","0","1.2","7","5.5","0","0","0","true","","ChainLightning","0","0","0","0","1","1","RuntimeImplemented","Stage2 node-backed enemy skill."
"FrostPressure","Active","A","빙결 압박","SingleAttack","RuntimeImplemented","true","false","A","","Stage 2 ice guard pressure.","Ice damage plus action speed down.","Ice","0","0.8","0.4","2","6","0","0","0","true","","FrostPressure","3","0","0","0","1","1","RuntimeImplemented","Stage2 node-backed enemy skill."
"DarkStab","Active","A","어둠 찌르기","SingleAttack","RuntimeImplemented","true","false","A","","Stage 2 dark assassin stab.","Darkness single target damage.","Darkness","0","1.6","0","1.4","6","0","0","0","true","","DarkStab","0","0","0","0","1","1","RuntimeImplemented","Stage2 node-backed enemy skill."
