"skill_id","node_id","param_key","param_value"
"id","id","string","string"
"AimedShot","aimed-shot-projectile","fallback_speed","10"
"AimedShot","aimed-shot-projectile","fallback_lifetime","2.5"
"ShurikenThrow","shuriken-projectile","fallback_speed","9"
"ShurikenThrow","shuriken-projectile","fallback_lifetime","2.5"
"SacredSwordWave","sacred-sword-wave-projectile","fallback_speed","12"
"SacredSwordWave","sacred-sword-wave-projectile","fallback_lifetime","4"
"FireDragonSlash","fire-dragon-slash-area","attribute","Fire"
"ChainLightning","chain-lightning-primary-and-delay","attribute","Lightning"
"ChainLightning","chain-lightning-primary-and-delay","delay","0.5"
"ChainLightning","chain-lightning-primary-and-delay","chain_multiplier","0.5"
"ChainLightning","chain-lightning-primary-and-delay","chain_radius","7"
"FrostPressure","frost-pressure-damage-slow","attribute","Ice"
"FrostPressure","frost-pressure-damage-slow","action_speed_bonus","-0.2"
"FrostPressure","frost-pressure-damage-slow","duration","3"
"DarkStab","dark-stab-damage","attribute","Darkness"
"HolySpearThrow","holy-spear-farthest-projectile","fallback_speed","14"
"HolySpearThrow","holy-spear-farthest-projectile","fallback_lifetime","3"
"OpeningCharge","opening-charge-combat-start","attribute","Physical"
"OpeningCharge","opening-charge-combat-start","target_max_health_ratio","1"
"OpeningCharge","opening-charge-combat-start","status_duration","5"
"Intimidation","intimidation-combat-start","multiplier","0.7"
