"skill_id","node_id","sort_order","trigger","target_selector","action_op","enabled"
"id","id","int","string","string","string","bool"
"Slash","slash-damage-area","10","","CurrentTarget","DamageArea","true"
"ShieldUp","shield-up-self-mitigation","10","","Self","ApplySelfIncomingDamageMultiplier","true"
"AimedShot","aimed-shot-projectile","10","","CurrentTarget","SpawnProjectile","true"
"ShurikenThrow","shuriken-projectile","10","","CurrentTarget","SpawnProjectile","true"
"Heal","heal-lowest-ally","10","","LowestHealthEnemyAlly","Heal","true"
"GuardianFlag","guardian-flag-shield-allies","10","","EnemyAlliesInRadius","GrantShieldToEnemyAllies","true"
"ChargeCommand","charge-command-buff-allies","10","","EnemyAlliesInRadius","ApplyAllyMoveAndDamageMultiplier","true"
"SacredSwordWave","sacred-sword-wave-projectile","10","","CurrentTarget","SpawnProjectile","true"
"FireDragonSlash","fire-dragon-slash-area","10","","CurrentTarget","DamageArea","true"
"ChainLightning","chain-lightning-primary-and-delay","10","","CurrentTarget","DamageThenDelayedChain","true"
"FrostPressure","frost-pressure-damage-slow","10","","CurrentTarget","DamageAndActionSpeedDebuff","true"
"DarkStab","dark-stab-damage","10","","CurrentTarget","Damage","true"
"HolyDragonHeal","holy-dragon-heal-lowest-ally","10","","LowestHealthEnemyAlly","Heal","true"
"HolySpearThrow","holy-spear-farthest-projectile","10","","FarthestTower","SpawnProjectile","true"
"OpeningCharge","opening-charge-combat-start","10","CombatStart","RandomTower","ChargeDamageStatus","true"
"Intimidation","intimidation-combat-start","10","CombatStart","AllTowers","ApplyOutgoingDamageMultiplierStatus","true"
