loadout_id,runtime_slot,skill_id,ai_role,priority,enabled
id,enum:SkillSlot,id,string,int,bool
stage1-swordsman-loadout,A,Slash,Basic,0,true
stage1-swordsman-loadout,B,Slash,Special,10,true
stage1-shieldbearer-loadout,A,Slash,Basic,0,true
stage1-shieldbearer-loadout,B,ShieldUp,Special,10,true
stage1-archer-loadout,A,AimedShot,Basic,0,true
stage1-archer-loadout,B,AimedShot,Special,10,true
stage1-rogue-loadout,A,AimedShot,Basic,0,true
stage1-rogue-loadout,B,ShurikenThrow,Special,10,true
stage1-priest-loadout,A,AimedShot,Basic,0,true
stage1-priest-loadout,B,Heal,Special,10,true
stage1-guardian-captain-loadout,A,Slash,Basic,0,true
stage1-guardian-captain-loadout,B,GuardianFlag,Special,10,true
stage1-attack-captain-loadout,A,Slash,Basic,0,true
stage1-attack-captain-loadout,B,ChargeCommand,Special,10,true
stage1-hero-karin-loadout,A,Slash,Basic,0,true
stage1-hero-karin-loadout,B,SacredSwordWave,Special,10,true
stage2-fire-dragon-slayer-loadout,A,Slash,Basic,0,true
stage2-fire-dragon-slayer-loadout,B,FireDragonSlash,Special,10,true
stage2-lightning-scout-loadout,A,Slash,Basic,0,true
stage2-lightning-scout-loadout,B,ChainLightning,Special,10,true
stage2-ice-guard-loadout,A,AimedShot,Basic,0,true
stage2-ice-guard-loadout,B,FrostPressure,Special,10,true
stage2-dark-assassin-loadout,A,AimedShot,Basic,0,true
stage2-dark-assassin-loadout,B,DarkStab,Special,10,true
stage2-holy-priest-loadout,A,AimedShot,Basic,0,true
stage2-holy-priest-loadout,B,HolyDragonHeal,Special,10,true
stage2-ethan-loadout,A,Slash,Basic,0,true
stage2-ethan-loadout,B,HolySpearThrow,Special,10,true
stage2-drake-loadout,A,Slash,Basic,0,true
stage2-drake-loadout,B,OpeningCharge,Opening,100,true
stage2-arsen-loadout,A,Slash,Basic,0,true
stage2-arsen-loadout,B,Intimidation,Opening,100,true
