"skill_id","monster_id","slot","display_name","runtime_kind","description_text","summary","attribute","base_damage","spell_power_coefficient","radius","hit_target_count","target_selection","cooldown_seconds","critical_allowed","status_effect_id","status_chance","status_effect_label","status_effect_prefab_path","status_duration_seconds","status_max_stacks","status_stack_amount","attack_power_coefficient","require_execute_threshold_to_cast","skill_effect_prefab_path","status_flat_element_resist_reduction","deployment_required_target_status_id","deployment_required_target_status_min_stacks","target_selection_status_id","target_selection_status_min_stacks","target_status_stack_status_id","target_status_stack_base_damage","target_status_stack_attack_power_coefficient","consume_target_status_id","consume_target_status_ratio"
"id","string","enum:SkillSlot","string","enum:SkillRuntimeKind","string","string","enum:DamageAttribute","float","float","float","string","enum:SkillTargetSelection","float","bool","string","float","string","asset_path","float","int","int","float","bool","asset_path","float","string","int","string","int","string","float","float","string","float"
"ariel-c","ariel","C","축복의 파동","SingleAttack","아군 전체를 강화하고, 가장 가까운 적 무리에는 신성 파동 피해를 준다.","아군 전체를 강화하고, 가장 가까운 적 무리에는 신성 파동 피해를 준다.","Holy","28","1.2","3","","","8","true","","0","축복","","0","0","0","","","","","","","","","","","","",""
"ariel-d","ariel","D","천상의 낙인","SingleAttack","가장 강한 적에게 신성 낙인을 새겨 파티의 집중 공격 대상으로 만든다.","가장 강한 적에게 신성 낙인을 새겨 파티의 집중 공격 대상으로 만든다.","Holy","40","1.8","0","","HighestHealth","10","true","holy-exposure","1","신성 노출","Assets/Prefab/Skill/Ariel/Ariel_D.prefab","6","1","1","","","","","","","","","","","","",""
"ariel-e","ariel","E","대천사의 강림","SingleAttack","전장에 신성한 빛을 내려 적에게 광역 피해를 주고 모든 아군에게 강한 방어막을 부여한다.","전장에 신성한 빛을 내려 적에게 광역 피해를 주고 모든 아군에게 강한 방어막을 부여한다.","Holy","58","2.4","0","global","","17","true","","0","방어막","","0","0","0","","","","","","","","","","","","",""
"eve-d","eve","D","스태틱 오버라이드","SingleAttack","감전된 대상과 연계되는 번개 범위 공격. 기본 피해 10, 주문력 계수 0.7. 반경 3.5, 폭발 반경 1.8, 쿨다운 7.0초. 감전 스택당 피해 +35%.","스태틱 오버라이드. 피해 10 + 주문력 x0.7. 반경 3.5, 쿨다운 7.0초.","Lightning","10","0.7","3.5","","","7","true","shock","1","감전","","","","1","","","","","","","","","","","","",""
"rin-d","rin","D","종결 일격","SingleAttack","체력이 낮아진 적을 거대한 충격권으로 마무리하는 처형형 물리 스킬.","체력이 낮아진 적을 거대한 충격권으로 마무리하는 처형형 물리 스킬.","","45","","0","","LowestHealth","9","true","","","","","","","","2.4","true","","","","","","","","","","",""
"rin-e","rin","E","붕괴 타격","SingleAttack","지정 범위에 거대한 주먹 충격을 떨어뜨려 강한 물리 피해를 1회 입히는 비탄창 스킬.","지정 범위에 거대한 주먹 충격을 떨어뜨려 강한 물리 피해를 1회 입히는 비탄창 스킬.","","40","","2.4","","","8","true","","","","","","","","2","","Assets/Prefab/Skill/Rin/Rin_E.prefab","","","","","","","","","",""
"sein-e","sein","E","종말의 사선","SingleAttack","디아블로의 종말 계열을 참고한 세인의 광역 결전기. 전장을 가로지르는 거대한 화염 사선을 떨어뜨린다.","디아블로의 종말 계열을 참고한 세인의 광역 결전기. 전장을 가로지르는 거대한 화염 사선을 떨어뜨린다.","Fire","70","","3","3","","16","true","fire-resist-down","1","화염 저항 감소","","5","1","1","3.2","","Assets/Prefab/Skill/Sein/Sein_E.prefab","10","","","","","","","","",""
"vega-d","vega","D","검은 명부 개방","SingleAttack","표식이 있는 모든 적에게 원거리 범위 참격을 발생시키는 비탄창 액티브 스킬.","표식이 있는 모든 적에게 원거리 범위 참격을 발생시키는 비탄창 액티브 스킬.","","18","","1.25","global","","11","true","","","이름표식 연계","","","","","0.85","","Assets/Prefab/Skill/Vega/Vega_D.prefab","","name-mark","1","","","","","","",""
"vega-e","vega","E","최종선고","SingleAttack","표식이 가장 많은 적 1개체에게 표식 스택에 비례한 막대한 단일 피해를 주는 비탄창 액티브 스킬.","표식이 가장 많은 적 1개체에게 표식 스택에 비례한 막대한 단일 피해를 주는 비탄창 액티브 스킬.","","55","","0","","HighestStacks","15","true","","","이름표식 연계","","","","","2","","Assets/Prefab/Skill/Vega/Vega_E.prefab","","","","name-mark","1","name-mark","6","0.18","name-mark","0.5"
