"choice_id","skill_id","monster_id","choice_group","sort_order","title","description_text","damage_multiplier","cooldown_multiplier","magazine_bonus","reload_time_multiplier","shot_interval_multiplier","radius_multiplier","duration_multiplier","branch_count","status_tag","status_stacks_bonus","status_critical_damage_taken_bonus","status_duration_bonus_status_id","status_duration_bonus","threshold_status_id","threshold_status_min_stacks","threshold_apply_status_id","status_max_stacks_bonus_status_id","status_max_stacks_bonus","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks"
"id","string","string","enum:PakuriCsvChoiceGroup","int","string","string","float","float","int","float","float","float","float","int","string","int","float","string","float","string","int","string","string","int","float","string","int"
"eve-c-trait-1","eve-c","eve","ActiveEnhancement","0","특성 1","범위 +25%, 지속시간 +15%","","","","","","","","","","","","","","","","","","","","",""
"eve-c-trait-2","eve-c","eve","ActiveEnhancement","1","특성 2","피해 주기 속도 +25%, 추위 부여량 +1","","","","","","","","","","","","","","","","","","","","",""
"eve-c-trait-3","eve-c","eve","ActiveEnhancement","2","특성 3","위력 +30%, 쿨다운 -15%","","","","","","","","","","","","","","","","","","","","",""
"eve-c-trait-4","eve-c","eve","ActiveEnhancement","3","특성 4","범위 -20%, 위력 +80%","","","","","","","","","","","","","","","","","","","","",""
"eve-c-trait-5","eve-c","eve","ActiveEnhancement","4","특성 5","빙결 지속시간 +1.0초, 얼음 피해 +20%","","","","","","","","","","","","","","","","","","","","",""
"eve-c-master-1","eve-c","eve","ActiveMaster","0","절대영도 구역","추위 4스택 이상 적을 즉시 빙결, 빙결 지속시간 +1.5초","","","","","","","","","","","","","","","","","","","","",""
"eve-c-master-2","eve-c","eve","ActiveMaster","1","결정 폭풍","필드 종료 시 범위 안 적에게 `24 + 주문력 * 1.5` 얼음 피해","","","","","","","","","","","","","","","","","","","","",""
"eve-e-trait-1","eve-e","eve","ActiveEnhancement","0","특성 1","범위 +25%, 지속시간 +20%","","","","","","","","","","","","","","","","","","","","",""
"eve-e-trait-2","eve-e","eve","ActiveEnhancement","1","특성 2","피해 주기 속도 +25%, 취약 부여량 +1","","","","","","","","","","","","","","","","","","","","",""
"eve-e-trait-3","eve-e","eve","ActiveEnhancement","2","특성 3","위력 +30%, 쿨다운 -15%","","","","","","","","","","","","","","","","","","","","",""
"eve-e-trait-4","eve-e","eve","ActiveEnhancement","3","특성 4","위력 +80%, 범위 -20%","","","","","","","","","","","","","","","","","","","","",""
"eve-e-trait-5","eve-e","eve","ActiveEnhancement","4","특성 5","취약 5스택 이상 대상 피해 +40%","","","","","","","","","","","","","","","","","","","","",""
"eve-e-master-1","eve-e","eve","ActiveMaster","0","플라즈마 붕괴","스킬 종료 자리에서 0.5초 후 반경 60%로 3초 동안 한 번 재시전","","","","","","","","","","","","","","","","","","","","",""
"eve-e-master-2","eve-e","eve","ActiveMaster","1","약점 고정","취약 최대 스택 +5, 취약 스택당 받는 치명타 피해 +1% 추가","","","","","","","","","","","","","","","","","","","","",""
"sein-d-trait-1","sein-d","sein","ActiveEnhancement","0","특성 1","지속시간 +25%","","","","","","","","","","","","","","","","","","","","",""
"sein-d-trait-2","sein-d","sein","ActiveEnhancement","1","특성 2","피해 주기 속도 +25%","","","","","","","","","","","","","","","","","","","","",""
"sein-d-trait-3","sein-d","sein","ActiveEnhancement","2","특성 3","범위 +30%","","","","","","","","","","","","","","","","","","","","",""
"sein-d-trait-4","sein-d","sein","ActiveEnhancement","3","특성 4","쿨타임 -20%","","","","","","","","","","","","","","","","","","","","",""
"sein-d-trait-5","sein-d","sein","ActiveEnhancement","4","특성 5","같은 대상에게 4회 이상 피해를 주면 이후 피해 +35%","","","","","","","","","","","","","","","","","","","","",""
"sein-d-master-1","sein-d","sein","ActiveMaster","0","열압 폭풍","피해 주기 속도 +50%, 범위 -20%","","","","","","","","","","","","","","","","","","","","",""
"sein-d-master-2","sein-d","sein","ActiveMaster","1","잔불 지대","초열 지대 종료 후 3초 동안 40% 피해의 잔불 지대 유지","","","","","","","","","","","","","","","","","","","","",""
