"choice_id","skill_id","target_skill_id","choice_group","sort_order","title","description_text"
"id","string","string","enum:PakuriCsvChoiceGroup","int","string","string"
"ariel-f-trait-1","ariel-f","","PassiveEnhancement","0","특성 1","모든 아군 신성 피해 +6%"
"ariel-f-trait-2","ariel-f","ariel-a","PassiveEnhancement","1","특성 2","심판의 빛 탄창 +2"
"ariel-f-trait-3","ariel-f","","PassiveEnhancement","2","특성 3","신성 스킬을 보유한 아군의 치명타 확률 +8%"
"ariel-g-trait-1","ariel-g","","PassiveEnhancement","0","특성 1","방어막량 증가 +8%"
"ariel-g-trait-2","ariel-g","","PassiveEnhancement","1","특성 2","전투 시작 방어막 +40%"
"ariel-g-trait-3","ariel-g","","PassiveEnhancement","2","특성 3","방어막을 가진 아군의 신성 피해 +10%"
"ariel-h-trait-1","ariel-h","ariel-c","PassiveEnhancement","0","특성 1","신성 피해 증가량 +7%"
"ariel-h-trait-2","ariel-h","ariel-c","PassiveEnhancement","1","특성 2","쿨타임 충전 속도 +5%"
"ariel-h-trait-3","ariel-h","ariel-c","PassiveEnhancement","2","특성 3","축복의 파동 지속시간 +2초"
"ariel-i-trait-1","ariel-i","","PassiveEnhancement","0","특성 1","받는 피해 증가량 +5%"
"ariel-i-trait-2","ariel-i","ariel-d","PassiveEnhancement","1","특성 2","천상의 낙인 쿨타임 -20%"
"ariel-i-trait-3","ariel-i","","PassiveEnhancement","2","특성 3","신성 노출 대상의 신성 저항 -8"
"ariel-j-trait-1","ariel-j","ariel-e","PassiveEnhancement","0","특성 1","행동속도 증가량 +7%"
"ariel-j-trait-2","ariel-j","ariel-e","PassiveEnhancement","1","특성 2","신성 피해 증가량 +10%"
"ariel-j-trait-3","ariel-j","ariel-e","PassiveEnhancement","2","특성 3","대천사의 강림 쿨타임 -15%"
