"choice_id","skill_id","choice_group","sort_order","title","description_text"
"id","string","enum:PakuriCsvChoiceGroup","int","string","string"
"ariel-c-trait-1","ariel-c","ActiveEnhancement","0","특성 1","위력 +25%"
"ariel-c-trait-2","ariel-c","ActiveEnhancement","1","특성 2","행동속도 증가량 +6%"
"ariel-c-trait-3","ariel-c","ActiveEnhancement","2","특성 3","버프 지속시간 +2초"
"ariel-c-trait-4","ariel-c","ActiveEnhancement","3","특성 4","파동 반경 +25%"
"ariel-c-trait-5","ariel-c","ActiveEnhancement","4","특성 5","방어막을 가진 아군은 추가로 신성 피해 +10%"
"ariel-c-master-1","ariel-c","ActiveMaster","0","찬란한 성가","행동속도 대신 모든 아군 주문력 +18% 추가"
"ariel-c-master-2","ariel-c","ActiveMaster","1","전장의 축도","파동이 2회 발생하며 두 번째 파동의 위력은 60%"
"ariel-d-trait-1","ariel-d","ActiveEnhancement","0","특성 1","위력 +30%"
"ariel-d-trait-2","ariel-d","ActiveEnhancement","1","특성 2","신성 노출 +8%"
"ariel-d-trait-3","ariel-d","ActiveEnhancement","2","특성 3","지속시간 +3초"
"ariel-d-trait-4","ariel-d","ActiveEnhancement","3","특성 4","대상 수 +1, 위력 -20%"
"ariel-d-trait-5","ariel-d","ActiveEnhancement","4","특성 5","방어막을 가진 아군이 낙인 대상에게 주는 피해 +10%"
"ariel-d-master-1","ariel-d","ActiveMaster","0","성흔 각인","낙인 대상이 받는 치명타 피해 +25%"
"ariel-d-master-2","ariel-d","ActiveMaster","1","계시의 창","낙인이 끝날 때 누적 신성 피해의 20%만큼 추가 신성 피해"
"ariel-e-trait-1","ariel-e","ActiveEnhancement","0","특성 1","위력 +30%"
"ariel-e-trait-2","ariel-e","ActiveEnhancement","1","특성 2","방어막량 +30%"
"ariel-e-trait-3","ariel-e","ActiveEnhancement","2","특성 3","쿨타임 -20%"
"ariel-e-trait-4","ariel-e","ActiveEnhancement","3","특성 4","신성 노출 대상에게 위력 +50%"
"ariel-e-trait-5","ariel-e","ActiveEnhancement","4","특성 5","모든 아군의 현재 방어막 지속시간 +3초"
"ariel-e-master-1","ariel-e","ActiveMaster","0","천상의 성역","강림 후 5초 동안 모든 아군이 받는 피해 -18%"
"ariel-e-master-2","ariel-e","ActiveMaster","1","심판의 광휘","신성 피해 +70%, 방어막량 -30%"
