"monster_id","owner_kind","owner_id","graph_kind","graph_index","target_skill_id","node_order","node_type_id","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_id"
"string","enum","string","enum","int","skill_id","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_id"
"ariel","Choice","ariel-b-master-1","Plan","0","","1","StatusAilmentResistanceBonus","0.3","","","","","","","","","","","",""
"ariel","Choice","ariel-b-master-1","Plan","0","","2","ShieldAmountMultiplier","1.5","","","","","","","","","","","",""
"ariel","Choice","ariel-b-trait-1","Plan","0","","1","ShieldAmountMultiplier","1.3","","","","","","","","","","","",""
"ariel","Choice","ariel-b-trait-2","Plan","0","","1","DurationBonus","2","","","","","","","","","","","",""
"ariel","Choice","ariel-b-trait-3","Plan","0","ariel-b","1","CooldownMultiplier","0.8","","","","","","","","","","","",""
"ariel","Choice","ariel-b-trait-5","Effect","0","ariel-b","1","StatusModifier","","","","","","","","","","","","",""
"ariel","Choice","ariel-b-trait-5","Effect","0","ariel-b","2","EffectTarget","AllAllies","Owner","Battlefield","Caster","AppliedTargets","","","","","","","",""
"ariel","Choice","ariel-b-trait-5","Effect","0","ariel-b","3","ConditionStatus","shield","AllAllies","","1","","","","","","","","",""
"ariel","Choice","ariel-b-trait-5","Effect","0","ariel-b","4","EffectLifetime","5","","","","","","","","","","","",""
"ariel","Choice","ariel-b-trait-5","Effect","0","ariel-b","5","StatusDamageBonusRate","0.12","Holy","","","","","","","","","","",""
