"choice_id","skill_id","choice_group","sort_order","title","description_text","damage_multiplier","cooldown_multiplier","magazine_bonus","reload_time_multiplier","shot_interval_multiplier","radius_multiplier","duration_multiplier","branch_count","status_tag","status_stacks_bonus","status_critical_damage_taken_bonus","status_duration_bonus_status_id","status_duration_bonus","threshold_status_id","threshold_status_min_stacks","threshold_apply_status_id","status_max_stacks_bonus_status_id","status_max_stacks_bonus","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks"
"id","string","enum:PakuriCsvChoiceGroup","int","string","string","float","float","int","float","float","float","float","int","string","int","float","string","float","string","int","string","string","int","float","string","int"
"eve-c-trait-1","eve-c","ActiveEnhancement","0","특성 1","범위 +25%, 지속시간 +15%","","","","","","1.25","1.15","","","","","","","","","","","","","",""
"eve-c-trait-2","eve-c","ActiveEnhancement","1","특성 2","피해 주기 속도 +25%, 추위 부여량 +1","1.25","","","","0.8","","","","異붿쐞","1","","","","","","","","","","",""
"eve-c-trait-3","eve-c","ActiveEnhancement","2","특성 3","위력 +30%, 쿨다운 -15%","1.3","0.85","","","","","","","","","","","","","","","","","","",""
"eve-c-trait-4","eve-c","ActiveEnhancement","3","특성 4","범위 -20%, 위력 +80%","1.8","","","","","0.8","","","","","","","","","","","","","","",""
"eve-c-trait-5","eve-c","ActiveEnhancement","4","특성 5","빙결 지속시간 +1.0초, 얼음 피해 +20%","1.2","","","","","","","","","","","freeze","1","","","","","","","",""
"eve-c-master-1","eve-c","ActiveMaster","0","절대영도 구역","추위 4스택 이상 적을 즉시 빙결, 빙결 지속시간 +1.5초","","","","","","","","","","","","freeze","1.5","chill","4","freeze","","","","",""
"eve-c-master-2","eve-c","ActiveMaster","1","결정 폭풍","필드 종료 시 범위 안 적에게 `24 + 주문력 * 1.5` 얼음 피해","","","","","","","","","","","","","","","","","","","","",""
"eve-e-trait-1","eve-e","ActiveEnhancement","0","특성 1","탄창 수 +1, 드론 지속시간 +20%","","","1","","","","1.2","","","","","","","","","","","","","",""
"eve-e-trait-2","eve-e","ActiveEnhancement","1","특성 2","공격 주기 속도 +25%, 취약 부여량 +1","","","","","0.8","","","","vulnerable","1","","","","","","","","","","",""
"eve-e-trait-3","eve-e","ActiveEnhancement","2","특성 3","위력 +30%","1.3","","","","","","","","","","","","","","","","","","","",""
"eve-e-trait-4","eve-e","ActiveEnhancement","3","특성 4","재장전 속도 +30%, 플라즈마 필드 동시 전개 수 +1","","","","0.76923","","","","1","","","","","","","","","","","","",""
"eve-e-trait-5","eve-e","ActiveEnhancement","4","특성 5","취약 5스택 이상 대상 번개 피해 +40%","","","","","","","","","","","","","","","","","","","1.4","vulnerable","5"
"eve-e-master-1","eve-e","ActiveMaster","0","감시 드론망","플라즈마 필드 동시 전개 수 +2, 공격 주기 속도 +30%","","","","","0.76923","","","2","","","","","","","","","","","","",""
"eve-e-master-2","eve-e","ActiveMaster","1","약점 고정","취약 최대 스택 +5, 취약 스택당 받는 치명타 피해 +1% 추가","","","","","","","","","","","0.01","","","","","","vulnerable","5","","",""
