"choice_id","skill_id","target_skill_id","choice_group","sort_order","title","description_text","damage_multiplier","radius_multiplier","status_tag","status_stacks_bonus","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks"
"id","string","string","enum:PakuriCsvChoiceGroup","int","string","string","float","float","string","int","float","string","int"
"eve-f-trait-1","eve-f","","PassiveEnhancement","0","특성 1","보호막 수치 +40%","","","","","","",""
"eve-f-trait-2","eve-f","","PassiveEnhancement","1","특성 2","모든 아군이 감전 대상에게 주는 피해 +6%","1.06","","","","","",""
"eve-f-trait-3","eve-f","","PassiveEnhancement","2","특성 3","보호막이 유지되는 동안 대상의 행동속도 +12%","","","","","","",""
"eve-g-trait-1","eve-g","","PassiveEnhancement","0","특성 1","프리즘 레이 자동 발동 확률 +3%","","","","","","",""
"eve-g-trait-2","eve-g","","PassiveEnhancement","1","특성 2","모든 아군의 번개/얼음 피해 +5%","1.05","","","","","",""
"eve-g-trait-3","eve-g","eve-b","PassiveEnhancement","2","특성 3","프리즘 레이가 보호막 대상에게 300% 추가 피해","","","","","4","shield","1"
"eve-h-trait-1","eve-h","","PassiveEnhancement","0","특성 1","모든 아군이 추위/빙결 대상에게 주는 피해 +6%","1.06","","","","","",""
"eve-h-trait-2","eve-h","","PassiveEnhancement","1","특성 2","빙결 지속시간 +1.0초","","","","","","",""
"eve-h-trait-3","eve-h","","PassiveEnhancement","2","특성 3","빙결 해제 시 `16 + 주문력 * 1.0` 얼음 피해","","","","","","",""
"eve-i-trait-1","eve-i","","PassiveEnhancement","0","특성 1","모든 아군이 감전 대상에게 주는 번개 피해 +8%","1.08","","","","","",""
"eve-i-trait-2","eve-i","","PassiveEnhancement","1","특성 2","감전 5스택 대상의 번개 저항 추가 -6","","","shock","5","","",""
"eve-i-trait-3","eve-i","eve-d","PassiveEnhancement","2","특성 3","스태틱 오버라이드 폭발 반경 +25%","","1.25","","","","",""
"eve-j-trait-1","eve-j","","PassiveEnhancement","0","특성 1","모든 아군이 취약 대상에게 주는 피해 +6%","1.06","","","","","",""
"eve-j-trait-2","eve-j","","PassiveEnhancement","1","특성 2","취약 대상의 모든 저항 추가 -4","","","","","","",""
"eve-j-trait-3","eve-j","eve-e","PassiveEnhancement","2","특성 3","플라즈마 필드가 취약 5스택 이상 대상에게 주는 피해 +75%","1.75","","vulnerable","5","","",""
