"choice_id","skill_id","monster_id","choice_group","sort_order","title","description_text","damage_multiplier","cooldown_multiplier","shot_interval_multiplier","duration_multiplier","beam_width_bonus","on_hit_additional_damage_chance","on_hit_additional_damage_multiplier","on_hit_additional_damage_attribute","on_hit_additional_damage_target","knockback_distance_multiplier","reload_reduce_target_skill_id","reload_reduce_seconds_per_hit","radius_multiplier","status_duration_bonus_status_id","status_duration_bonus","threshold_status_id","threshold_status_min_stacks","threshold_apply_status_id"
"id","string","string","enum:PakuriCsvChoiceGroup","int","string","string","float","float","float","float","float","float","float","enum:DamageAttribute","string","float","string","float","float","string","float","string","int","string"
"eve-b-trait-1","eve-b","eve","ActiveEnhancement","0","특성 1","위력 +25%, 피해 주기 속도 +25%","","","","","","","","","","","","","","","","","",""
"eve-b-trait-2","eve-b","eve","ActiveEnhancement","1","특성 2","위력 +30%, 광선 폭 +30%","","","","","","","","","","","","","","","","","",""
"eve-b-trait-3","eve-b","eve","ActiveEnhancement","2","특성 3","충전 속도 +35%, 지속시간 +15%","","","","","","","","","","","","","","","","","",""
"eve-b-trait-4","eve-b","eve","ActiveEnhancement","3","특성 4","위력 +100%, 지속시간 -50%","","","","","","","","","","","","","","","","","",""
"eve-b-trait-5","eve-b","eve","ActiveEnhancement","4","특성 5","충전 속도 +30%, 피해 주기 속도 +20%","","","","","","","","","","","","","","","","","",""
"eve-b-master-1","eve-b","eve","ActiveMaster","0","초집중 레이","지속시간 -45%, 위력 +75%, 피해 주기 속도 +75%","","","","","","","","","","","","","","","","","",""
"eve-b-master-2","eve-b","eve","ActiveMaster","1","분해 스펙트럼","프리즘 레이에 맞은 적의 번개 저항과 얼음 저항이 5초 동안 10 감소","","","","","","","","","","","","","","","","","",""
"rin-c-trait-1","rin-c","rin","ActiveEnhancement","0","특성 1","위력 +25%","1.25","","","","","","","","","","","","","","","","",""
"rin-c-trait-2","rin-c","rin","ActiveEnhancement","1","특성 2","충격파 폭 +25%","","","","","0.25","","","","","","","","","","","","",""
"rin-c-trait-3","rin-c","rin","ActiveEnhancement","2","특성 3","넉백 거리 +40%","","","","","","","","","","1.4","","","","","","","",""
"rin-c-trait-4","rin-c","rin","ActiveEnhancement","3","특성 4","쿨다운 -20%","","0.8","","","","","","","","","","","","","","","",""
"rin-c-trait-5","rin-c","rin","ActiveEnhancement","4","특성 5","적중한 적 1명당 파쇄권 재장전 시간 0.25초 감소","","","","","","","","","","","rin-a","0.25","","","","","",""
"rin-c-master-1","rin-c","rin","ActiveMaster","0","압축 충격파","폭 -25%, 위력 +80%, 넉백 거리 +50%, 60% 번개 추가 피해","1.8","","","","-0.25","1","0.6","Lightning","HitTarget","1.5","","","","","","","",""
"rin-c-master-2","rin-c","rin","ActiveMaster","1","광역 진탕","폭 +60%, 위력 +25%, 적중한 적에게 1.5초간 이동 속도 -20%","1.25","","","","0.6","","","","","","","","","","","","",""
"vega-b-trait-1","vega-b","vega","ActiveEnhancement","0","특성 1","위력 +25%","1.25","","","","","","","","","","","","","","","","",""
"vega-b-trait-2","vega-b","vega","ActiveEnhancement","1","특성 2","침묵 지속시간 +1초","","","","","","","","","","","","","","silence","1","","",""
"vega-b-trait-3","vega-b","vega","ActiveEnhancement","2","특성 3","쿨타임 -20%","","0.8","","","","","","","","","","","","","","","",""
"vega-b-trait-4","vega-b","vega","ActiveEnhancement","3","특성 4","참격 폭 +30%","","","","","","","","","","","","","1.3","","","","",""
"vega-b-trait-5","vega-b","vega","ActiveEnhancement","4","특성 5","침묵의 대태도에 맞은 적에게 이름표식 2스택 부여","","","","","","","","","","","","","","","","","",""
"vega-b-master-1","vega-b","vega","ActiveMaster","0","두 번째 봉인","침묵의 대태도 사용 후 0.4초 뒤 같은 경로에 2차 참격 발생. 2차 참격은 45% 피해, 침묵 1초","","","","","","","","","","","","","","","","","",""
"vega-b-master-2","vega-b","vega","ActiveMaster","1","단두대 참격","위력 +70%, 참격 폭 -25%, 이름표식 10스택 이상인 적에게 침묵 지속시간 +1초","1.7","","","","","","","","","","","","0.75","","","name-mark","10","silence"
