choice_id,monster_id,skill_id,target_skill_id,choice_group,sort_order,title,description_text,runtime_support_state,runtime_support_notes,damage_multiplier,cooldown_multiplier,magazine_bonus,reload_time_multiplier,shot_interval_multiplier,radius_multiplier,duration_multiplier,branch_count,status_tag,status_stacks_bonus,status_critical_damage_taken_bonus,status_duration_bonus_status_id,status_duration_bonus,threshold_status_id,threshold_status_min_stacks,threshold_apply_status_id,status_max_stacks_bonus_status_id,status_max_stacks_bonus,conditional_damage_multiplier,conditional_target_status_id,conditional_target_status_min_stacks
id,string,string,string,enum:PakuriCsvChoiceGroup,int,string,string,string,string,float,float,int,float,float,float,float,int,string,int,float,string,float,string,int,string,string,int,float,string,int
sein-d-trait-1,sein,sein-d,sein-d,ActiveEnhancement,0,특성 1,지속시간 +25%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,1.25,,,,,,,,,,,,,,
sein-d-trait-2,sein,sein-d,sein-d,ActiveEnhancement,1,특성 2,피해 주기 속도 +25%,ReferenceDirect,Tick speed +25% mapped as interval * 0.8.,,,,,0.8,,,,,,,,,,,,,,,,
sein-d-trait-3,sein,sein-d,sein-d,ActiveEnhancement,2,특성 3,범위 +30%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,1.3,,,,,,,,,,,,,,,
sein-d-trait-4,sein,sein-d,sein-d,ActiveEnhancement,3,특성 4,쿨타임 -20%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,0.8,,,,,,,,,,,,,,,,,,,
sein-d-trait-5,sein,sein-d,sein-d,ActiveEnhancement,4,특성 5,같은 대상에게 4회 이상 피해를 주면 이후 피해 +35%,ReferenceDirect,Conditional damage after same target accumulates 4 zone-hit stacks.,,,,,,,,,,,,,,,,,,,1.35,sein-d-heat-stack,4
sein-d-master-1,sein,sein-d,sein-d,ActiveMaster,0,열압 폭풍,"피해 주기 속도 +50%, 범위 -20%",ReferenceDirect,"Tick speed +50% mapped as interval * 0.6666667, radius -20%.",,,,,0.6666667,0.8,,,,,,,,,,,,,,,
sein-d-master-2,sein,sein-d,sein-d,ActiveMaster,1,잔불 지대,초열 지대 종료 후 3초 동안 40% 피해의 잔불 지대 유지,SharedExtension,Zone on-expire residual ember zone handled by shared multi-effect zone runtime.,,,,,,,,,,,,,,,,,,,,,
eve-c-trait-1,eve,eve-c,eve-c,ActiveEnhancement,0,특성 1,"범위 +25%, 지속시간 +15%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV. | legacy: Frost Field trait 1.,,,,,,1.25,1.15,,,,,,,,,,,,,,
eve-c-trait-2,eve,eve-c,eve-c,ActiveEnhancement,1,특성 2,"피해 주기 속도 +25%, 추위 부여량 +1",ReferenceDirect,Reference numeric effect mapped into unified choice CSV. | legacy: Frost Field trait 2.,1.25,,,,0.8,,,,異붿쐞,1,,,,,,,,,,,
eve-c-trait-3,eve,eve-c,eve-c,ActiveEnhancement,2,특성 3,"위력 +30%, 쿨다운 -15%",ReferenceDirect,Cooldown -15% is normalized to cooldown multiplier x0.85 on the shared snapshot path. | legacy: Frost Field trait 3.,1.3,0.85,,,,,,,,,,,,,,,,,,,
eve-c-trait-4,eve,eve-c,eve-c,ActiveEnhancement,3,특성 4,"범위 -20%, 위력 +80%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV. | legacy: Frost Field trait 4.,1.8,,,,,0.8,,,,,,,,,,,,,,,
eve-c-trait-5,eve,eve-c,eve-c,ActiveEnhancement,4,특성 5,"빙결 지속시간 +1.0초, 얼음 피해 +20%",RuntimeImplemented,Trait 5 adds Ice damage +20% and freeze-only duration bonus +1s through the shared choice status-duration path. | legacy: Frost Field trait 5.,1.2,,,,,,,,,,,freeze,1,,,,,,,,
eve-c-master-1,eve,eve-c,eve-c,ActiveMaster,0,절대영도 구역,"추위 4스택 이상 적을 즉시 빙결, 빙결 지속시간 +1.5초",RuntimeImplemented,"Master 1 now uses the shared threshold-status rule: chill stacks >= 4 immediately applies freeze, and freeze duration gains +1.5s from the shared targeted status-duration bonus path. | legacy: Absolute Zero Zone.",,,,,,,,,,,,freeze,1.5,chill,4,freeze,,,,,
