choice_id,monster_id,skill_id,target_skill_id,choice_group,sort_order,title,description_text,runtime_support_state,runtime_support_notes,cooldown_multiplier,reload_time_multiplier,duration_multiplier,duration_bonus,status_stacks_bonus,conditional_damage_multiplier,conditional_target_status_id,conditional_target_status_min_stacks,runtime_target_skill_ids,required_source_status_id,required_source_status_min_stacks,status_action_speed_bonus,status_attack_power_bonus
id,string,string,string,enum:PakuriCsvChoiceGroup,int,string,string,string,string,float,float,float,float,int,float,string,int,string,string,int,float,float
ariel-b-trait-1,ariel,ariel-b,ariel-b,ActiveEnhancement,0,특성 1,방어막량 +30%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DamageMultiplier.,,,,,,,,,,,,,
ariel-b-trait-2,ariel,ariel-b,ariel-b,ActiveEnhancement,1,특성 2,지속시간 +2초,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DurationBonus.,,,,,,,,,,,,,
ariel-b-trait-3,ariel,ariel-b,ariel-b,ActiveEnhancement,2,특성 3,쿨타임 -20%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,,,,,,,
ariel-b-trait-4,ariel,ariel-b,ariel-b,ActiveEnhancement,3,특성 4,방어막이 사라질 때 주변 적에게 방어막량의 60% 신성 피해,ReferenceDirect,monster_skill_triger.csv OnShieldExpire trigger calls ariel-b-trait-4-expire with applied shield amount x60% using prefab hitbox.,,,,,,,,,,,,,
ariel-b-trait-5,ariel,ariel-b,ariel-b,ActiveEnhancement,4,특성 5,"방어막을 받은 아군의 신성 피해 +12%, 5초",ReferenceDirect,Shielded allies receive +12% Holy damage for 5s through shield-triggered multi-effect row.,,,,,,,,,,,,,
ariel-b-master-1,ariel,ariel-b,ariel-b,ActiveMaster,0,순백의 장벽,"방어막량 +50%, 방어막이 유지되는 동안 상태이상 저항 +30%",RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler StatusAilmentResistanceBonus.,,,,,,,,,,,,,
ariel-b-master-2,ariel,ariel-b,ariel-b,ActiveMaster,1,반사의 성광,방어막이 피해를 흡수할 때 공격자에게 흡수량의 35% 신성 피해,RuntimeImplemented,monster_skill_triger.csv OnShieldAbsorb trigger routes absorbed shield amount x35% Holy damage to the event attacker.,,,,,,,,,,,,,
rin-b-trait-1,rin,rin-b,rin-b,ActiveEnhancement,0,특성 1,지속시간 +25%,RuntimeImplemented,Rin-B trait 1 scales buff duration by 25% through duration_multiplier.,,,1.25,,,,,,,,,,
rin-b-trait-2,rin,rin-b,rin-b,ActiveEnhancement,1,특성 2,행동속도 증가 +10%,RuntimeImplemented,Rin-B trait 2 implemented through monster_skill_effects OnCast ally status.,,,,,,,,,,,,,
