choice_id,monster_id,skill_id,target_skill_id,choice_group,sort_order,title,description_text,runtime_support_state,runtime_support_notes,damage_multiplier,cooldown_multiplier,shot_interval_multiplier,radius_multiplier,duration_multiplier,beam_width_bonus,status_duration_bonus_status_id,status_duration_bonus,threshold_status_id,threshold_status_min_stacks,threshold_apply_status_id,on_hit_additional_damage_chance,on_hit_additional_damage_multiplier,on_hit_additional_damage_attribute,on_hit_additional_damage_target,knockback_distance_multiplier,reload_reduce_target_skill_id,reload_reduce_seconds_per_hit
id,string,string,string,enum:PakuriCsvChoiceGroup,int,string,string,string,string,float,float,float,float,float,float,string,float,string,int,string,float,float,enum:DamageAttribute,string,float,string,float
rin-c-trait-1,rin,rin-c,rin-c,ActiveEnhancement,0,특성 1,위력 +25%,RuntimeImplemented,Reference numeric effect mapped into unified choice CSV.,1.25,,,,,,,,,,,,,,,,,
rin-c-trait-2,rin,rin-c,rin-c,ActiveEnhancement,1,특성 2,충격파 폭 +25%,RuntimeImplemented,Rin-C trait 2 scales beam width by 25% through beam_width_bonus.,,,,,,0.25,,,,,,,,,,,,
rin-c-trait-3,rin,rin-c,rin-c,ActiveEnhancement,2,특성 3,넉백 거리 +40%,RuntimeImplemented,Rin-C trait 3 scales knockback distance by 40% through knockback_distance_multiplier.,,,,,,,,,,,,,,,,1.4,,
rin-c-trait-4,rin,rin-c,rin-c,ActiveEnhancement,3,특성 4,쿨다운 -20%,RuntimeImplemented,Rin-C trait 4 scales cooldown by 20% through cooldown_multiplier.,,0.8,,,,,,,,,,,,,,,,
rin-c-trait-5,rin,rin-c,rin-c,ActiveEnhancement,4,특성 5,적중한 적 1명당 파쇄권 재장전 시간 0.25초 감소,RuntimeImplemented,Rin-C trait 5 reduces Rin-A reload remaining by 0.25s per hit target.,,,,,,,,,,,,,,,,,rin-a,0.25
rin-c-master-1,rin,rin-c,rin-c,ActiveMaster,0,압축 충격파,"폭 -25%, 위력 +80%, 넉백 거리 +50%, 60% 번개 추가 피해",RuntimeImplemented,"Rin-C master 1 compresses width, scales knockback, and adds 60% lightning follow-up damage on hit.",1.8,,,,,-0.25,,,,,,1,0.6,Lightning,HitTarget,1.5,,
rin-c-master-2,rin,rin-c,rin-c,ActiveMaster,1,광역 진탕,"폭 +60%, 위력 +25%, 적중한 적에게 1.5초간 이동 속도 -20%",RuntimeImplemented,Rin-C master 2 widens the beam and applies slow through monster_skill_effects OnHit status.,1.25,,,,,0.6,,,,,,,,,,,,
vega-b-trait-1,vega,vega-b,vega-b,ActiveEnhancement,0,특성 1,위력 +25%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,1.25,,,,,,,,,,,,,,,,,
vega-b-trait-2,vega,vega-b,vega-b,ActiveEnhancement,1,특성 2,침묵 지속시간 +1초,RuntimeImplemented,Shared status duration bonus now extends Vega-B silence by +1 second.,,,,,,,silence,1,,,,,,,,,,
vega-b-trait-3,vega,vega-b,vega-b,ActiveEnhancement,2,특성 3,쿨타임 -20%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,0.8,,,,,,,,,,,,,,,,
vega-b-trait-4,vega,vega-b,vega-b,ActiveEnhancement,3,특성 4,참격 폭 +30%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,1.3,,,,,,,,,,,,,,
vega-b-trait-5,vega,vega-b,vega-b,ActiveEnhancement,4,특성 5,침묵의 대태도에 맞은 적에게 이름표식 2스택 부여,DataOnlyUnsupported,침묵의 대태도에 맞은 적에게 이름표식 2스택 부여 -> special-case logic required,,,,,,,,,,,,,,,,,,
vega-b-master-1,vega,vega-b,vega-b,ActiveMaster,0,두 번째 봉인,"침묵의 대태도 사용 후 0.4초 뒤 같은 경로에 2차 참격 발생. 2차 참격은 45% 피해, 침묵 1초",DataOnlyUnsupported,침묵의 대태도 사용 후 0.4초 뒤 같은 경로에 2차 참격 발생. 2차 참격은 45% 피해 -> special-case logic required; 침묵 1초 -> special-case logic required,,,,,,,,,,,,,,,,,,
