choice_id,monster_id,skill_id,target_skill_id,choice_group,sort_order,title,description_text,runtime_support_state,runtime_support_notes,skill_effect_prefab_path,damage_multiplier,cooldown_multiplier,magazine_bonus,additional_projectile_bonus,pierce_bonus,reload_time_multiplier,shot_interval_multiplier,burst_damage_projectile_index,burst_damage_multiplier,follow_up_projectile_count,follow_up_projectile_delay_seconds,follow_up_projectile_damage_multiplier,radius_multiplier,damage_delay_multiplier,branch_chance_bonus,branch_count,branch_damage_multiplier,branch_search_radius,status_tag,crit_chance_bonus,crit_damage_bonus,status_stacks_set,conditional_damage_multiplier,conditional_target_status_id,conditional_target_status_min_stacks,on_hit_additional_damage_visual,consecutive_hit_bonus_rate,consecutive_hit_max
id,string,string,string,enum:PakuriCsvChoiceGroup,int,string,string,string,string,asset_path,float,float,int,int,int,float,float,int,float,int,float,float,float,,float,int,float,float,string,float,float,int,float,string,int,string,float,float
ariel-a-trait-1,ariel,ariel-a,ariel-a,ActiveEnhancement,0,특성 1,위력 +25%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-a-trait-2,ariel,ariel-a,ariel-a,ActiveEnhancement,1,특성 2,탄창 +3,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler MagazineBonus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-a-trait-3,ariel,ariel-a,ariel-a,ActiveEnhancement,2,특성 3,재장전 시간 -20%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler ReloadTimeMultiplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-a-trait-4,ariel,ariel-a,ariel-a,ActiveEnhancement,3,특성 4,관통 횟수 +1,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler PierceBonus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-a-trait-5,ariel,ariel-a,ariel-a,ActiveEnhancement,4,특성 5,방어막을 가진 아군 1명당 위력 +6%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler CountStatusDamageMultiplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-a-master-1,ariel,ariel-a,ariel-a,ActiveMaster,0,백색 심판,마지막 탄환이 2회 폭발하며 범위 신성 피해를 준다,ReferenceDirect,monster_skill_triger.csv OnMagazineLastProjectileHit trigger calls ariel-a-master-1-explosion twice at 0.5s interval using Ariel_C prefab hitbox.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-a-master-2,ariel,ariel-a,ariel-a,ActiveMaster,1,인도하는 빛,심판의 빛에 맞은 적에게 신성 노출 1스택 부여,RuntimeImplemented,Ariel A master2 holy exposure now routes through trigger/effect object plus normalized status modifier node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-a-trait-1,rin,rin-a,rin-a,ActiveEnhancement,0,특성 1,위력 +25%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-a-trait-2,rin,rin-a,rin-a,ActiveEnhancement,1,특성 2,탄창 수 +4,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
rin-a-trait-3,rin,rin-a,rin-a,ActiveEnhancement,2,특성 3,재장전 속도 +25%,DerivedFromReference,Reference numeric effect mapped into unified choice CSV.,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,
rin-a-trait-4,rin,rin-a,rin-a,ActiveEnhancement,3,특성 4,"관통 수 +1, 위력 -10%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV. | legacy: Shattering Fist trait 4 pierce bonus; damage scalar moved to split monster_skill_choices_*.csv.,,0.9,,,,1,,,,,,,,,,,,,,,,,,,,,,,
rin-a-trait-5,rin,rin-a,rin-a,ActiveEnhancement,4,특성 5,"치명타 확률 +10%, 치명타 피해 +25%",RuntimeImplemented,Uses shared projectile critical bonus fields crit_chance_bonus and crit_damage_bonus.,,,,,,,,,,,,,,,,,,,,,0.1,0.25,,,,,,,
rin-a-master-1,rin,rin-a,rin-a,ActiveMaster,0,철권 연사,"탄창 수 +6, 발사 간격 -18%, 위력 +12%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,1.12,,6,,,,0.8200000000000001,,,,,,,,,,,,,,,,,,,,,
rin-a-master-2,rin,rin-a,rin-a,ActiveMaster,1,뇌격 건틀릿,"적중 시 대상에게 40% 번개 추가 피해, 3번째 적중마다 대상 주변 2명에게 40% 번개 연쇄",RuntimeImplemented,Uses shared on-hit additional damage for Lightning 40% damage to the hit target and every third primary hit chains Lightning 40% damage to two nearby enemies.,Assets/Prefab/Skill/Rin/Rin_A.prefab,,,,,,,,,,,,,,,,,,,,,,,,,,none,,
sein-a-trait-1,sein,sein-a,sein-a,ActiveEnhancement,0,특성 1,위력 +25%,RuntimeImplemented,Shared projectile choice damage_multiplier applies Sein-A trait 1.,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-a-trait-2,sein,sein-a,sein-a,ActiveEnhancement,1,특성 2,탄창 수 +4,RuntimeImplemented,Shared projectile choice magazine_bonus applies Sein-A trait 2.,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
sein-a-trait-3,sein,sein-a,sein-a,ActiveEnhancement,2,특성 3,재장전 속도 +30%,RuntimeImplemented,Shared projectile choice reload_time_multiplier applies Sein-A trait 3.,,,,,,,0.7692307692307692,,,,,,,,,,,,,,,,,,,,,,
sein-a-trait-4,sein,sein-a,sein-a,ActiveEnhancement,3,특성 4,"관통 수 +1, 위력 +10%",RuntimeImplemented,Shared projectile choice damage_multiplier and pierce_bonus apply Sein-A trait 4.,,1.1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
sein-a-trait-5,sein,sein-a,sein-a,ActiveEnhancement,4,특성 5,"발사 간격 -20%, 위력 -10%",RuntimeImplemented,Shared projectile choice damage_multiplier and shot_interval_multiplier apply Sein-A trait 5.,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,
sein-a-master-1,sein,sein-a,sein-a,ActiveMaster,0,백열 화살,"위력 +55%, 관통 수 +1",RuntimeImplemented,Shared projectile choice damage_multiplier and pierce_bonus apply Sein-A master 1.,,1.55,,,,1,,,,,,,,,,,,,,,,,,,,,,,
sein-a-master-2,sein,sein-a,sein-a,ActiveMaster,1,폭염 화살,"적중 시 작은 폭발 발생, 폭발은 50% 화염 피해",RuntimeImplemented,Shared OnOutgoingDamage SingleAttack trigger applies 50% Fire explosion using Assets/Prefab/Skill/Sein/Sein_A_Master-2.prefab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-b-trait-1,sein,sein-b,sein-b,ActiveEnhancement,0,특성 1,탄환 수 +2,RuntimeImplemented,탄환 수 +2 -> shared burst projectile count modifier.,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
