choice_id,monster_id,skill_id,target_skill_id,choice_group,sort_order,title,description_text,runtime_support_state,runtime_support_notes,skill_effect_prefab_path,damage_multiplier,cooldown_multiplier,radius_multiplier,branch_count,branch_damage_multiplier,branch_search_radius,status_tag,hit_target_count_bonus,crit_damage_bonus,status_stacks_bonus,status_stacks_set,conditional_damage_multiplier,conditional_target_status_id,conditional_target_status_min_stacks,on_hit_additional_damage_chance,on_hit_additional_damage_multiplier,on_hit_additional_damage_attribute,on_hit_additional_damage_target,execute_health_ratio_bonus,kill_cooldown_refund_ratio_bonus,kill_resets_cooldown,kill_resets_cooldown_requires_execute,core_hitbox_name,core_damage_multiplier,core_on_hit_additional_damage_chance,core_on_hit_additional_damage_multiplier,core_on_hit_additional_damage_attribute,hit_count_cooldown_refund_target_skill_id,hit_count_cooldown_refund_min_targets,hit_count_cooldown_refund_ratio,target_status_stack_damage_multiplier,consume_target_status_ratio_override
id,string,string,string,enum:PakuriCsvChoiceGroup,int,string,string,string,string,asset_path,float,float,float,int,float,float,string,int,float,int,int,float,string,int,float,float,enum:DamageAttribute,string,float,float,bool,bool,string,float,float,float,enum:DamageAttribute,string,int,float,float,float
ariel-c-trait-1,ariel,ariel-c,ariel-c,ActiveEnhancement,0,특성 1,위력 +25%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DamageMultiplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-c-trait-2,ariel,ariel-c,ariel-c,ActiveEnhancement,1,특성 2,행동속도 증가량 +6%,ReferenceDirect,Implemented by ariel-c-blessing-action-trait2 multi-effect rows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-c-trait-3,ariel,ariel-c,ariel-c,ActiveEnhancement,2,특성 3,버프 지속시간 +2초,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DurationBonus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-c-trait-4,ariel,ariel-c,ariel-c,ActiveEnhancement,3,특성 4,파동 반경 +25%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-c-trait-5,ariel,ariel-c,ariel-c,ActiveEnhancement,4,특성 5,방어막을 가진 아군은 추가로 신성 피해 +10%,ReferenceDirect,Implemented by Ariel-C shielded Holy damage multi-effect rows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-c-master-1,ariel,ariel-c,ariel-c,ActiveMaster,0,찬란한 성가,행동속도 대신 모든 아군 주문력 +18% 추가,ReferenceDirect,Implemented by Ariel-C spell-power buff multi-effect rows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-c-master-2,ariel,ariel-c,ariel-c,ActiveMaster,1,전장의 축도,파동이 2회 발생하며 두 번째 파동의 위력은 60%,ReferenceDirect,Implemented by Ariel-C delayed second-wave multi-effect row.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-d-trait-1,ariel,ariel-d,ariel-d,ActiveEnhancement,0,특성 1,위력 +30%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DamageMultiplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-d-trait-2,ariel,ariel-d,ariel-d,ActiveEnhancement,1,특성 2,신성 노출 +8%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler StatusElementDamageTakenBonus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-d-trait-3,ariel,ariel-d,ariel-d,ActiveEnhancement,2,특성 3,지속시간 +3초,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DurationBonus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-d-trait-4,ariel,ariel-d,ariel-d,ActiveEnhancement,3,특성 4,"대상 수 +1, 위력 -20%",RuntimeImplemented,Ariel plan-node migration: hit target count bonus now routes through HitTargetCountBonus node; damage multiplier remains a normalized node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-d-trait-5,ariel,ariel-d,ariel-d,ActiveEnhancement,4,특성 5,방어막을 가진 아군이 낙인 대상에게 주는 피해 +10%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler StatusConditionalDamageTakenBonus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-d-master-1,ariel,ariel-d,ariel-d,ActiveMaster,0,성흔 각인,낙인 대상이 받는 치명타 피해 +25%,RuntimeImplemented,Ariel plan-node migration: critical damage taken bonus now routes through StatusCriticalDamageTakenBonus node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-d-master-2,ariel,ariel-d,ariel-d,ActiveMaster,1,계시의 창,낙인이 끝날 때 누적 신성 피해의 20%만큼 추가 신성 피해,RuntimeImplemented,monster_skill_triger.csv OnStatusExpire trigger uses tracked Holy incoming damage x20% on the expired mark owner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-e-trait-1,ariel,ariel-e,ariel-e,ActiveEnhancement,0,특성 1,위력 +30%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DamageMultiplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-e-trait-2,ariel,ariel-e,ariel-e,ActiveEnhancement,1,특성 2,방어막량 +30%,ReferenceDirect,Ariel-E shield amount +30% implemented by choice-gated shield multi-effect rows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-e-trait-3,ariel,ariel-e,ariel-e,ActiveEnhancement,2,특성 3,쿨타임 -20%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler CooldownMultiplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-e-trait-4,ariel,ariel-e,ariel-e,ActiveEnhancement,3,특성 4,신성 노출 대상에게 위력 +50%,ReferenceDirect,Conditional +50% damage against Holy Exposure targets implemented by multi-effect row.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-e-trait-5,ariel,ariel-e,ariel-e,ActiveEnhancement,4,특성 5,모든 아군의 현재 방어막 지속시간 +3초,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DurationBonus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-e-master-1,ariel,ariel-e,ariel-e,ActiveMaster,0,천상의 성역,강림 후 5초 동안 모든 아군이 받는 피해 -18%,ReferenceDirect,All allies incoming damage -18% for 5s implemented by multi-effect status row.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ariel-e-master-2,ariel,ariel-e,ariel-e,ActiveMaster,1,심판의 광휘,"신성 피해 +70%, 방어막량 -30%",RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DamageMultiplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-d-trait-1,rin,rin-d,rin-d,ActiveEnhancement,0,특성 1,위력 +30%,RuntimeImplemented,Shared SingleAttack choice damage_multiplier support now applies Rin-D trait 1 directly.,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-d-trait-2,rin,rin-d,rin-d,ActiveEnhancement,1,특성 2,처형 기준 체력 +10%,RuntimeImplemented,Shared execute-threshold bonus support raises Rin-D execute range by 10 percentage points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-d-trait-3,rin,rin-d,rin-d,ActiveEnhancement,2,특성 3,처치 시 쿨다운 반환 +20%,RuntimeImplemented,Shared kill cooldown refund bonus support adds +20% refund on Rin-D kills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-d-trait-4,rin,rin-d,rin-d,ActiveEnhancement,3,특성 4,치명타 피해 +40%,RuntimeImplemented,Shared crit_damage_bonus support now applies Rin-D trait 4 directly.,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,
rin-d-trait-5,rin,rin-d,rin-d,ActiveEnhancement,4,특성 5,보스 대상 위력 +25%,RuntimeImplemented,Shared boss-target damage support now applies Rin-D trait 5 to boss and midboss enemies only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-d-master-1,rin,rin-d,rin-d,ActiveMaster,0,확정 종결,"처형 대상에게 치명타 확률 +50%, 처치 시 쿨다운 완전 초기화, 처치 순간 대상 주변에 90% 신성 피해 폭발",RuntimeImplemented,"Shared execute crit bonus, kill cooldown reset, and OnKill trigger wiring now implement Rin-D master 1.",,,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,,,,
rin-d-master-2,rin,rin-d,rin-d,ActiveMaster,1,파멸권,"위력 +90%, 처형 기준 체력 -10%, 쿨다운 +25%, 70% 어둠 추가 피해",RuntimeImplemented,"Shared execute-threshold bonus, cooldown multiplier, and on-hit additional damage support now implement Rin-D master 2.",,1.9,1.25,,,,,,,,,,,,,1,0.7,Darkness,HitTarget,-0.1,,,,,,,,,,,,,
rin-e-trait-1,rin,rin-e,rin-e,ActiveEnhancement,0,특성 1,위력 +30%,RuntimeImplemented,Damage +30% mapped to shared damage multiplier.,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-e-trait-2,rin,rin-e,rin-e,ActiveEnhancement,1,특성 2,피해 범위 +25%,RuntimeImplemented,Radius +25% mapped to shared radius multiplier.,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-e-trait-3,rin,rin-e,rin-e,ActiveEnhancement,2,특성 3,쿨다운 -20%,RuntimeImplemented,Cooldown -20% mapped to shared cooldown multiplier.,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin-e-trait-4,rin,rin-e,rin-e,ActiveEnhancement,3,특성 4,중심부 대상 위력 +50%,RuntimeImplemented,Center target damage +50% mapped to prefab CoreHitBox damage multiplier.,,,,,,,,,,,,,,,,,,,,,,,,CoreHitBox,1.5,,,,,,,,
rin-e-trait-5,rin,rin-e,rin-e,ActiveEnhancement,4,특성 5,적중한 적 3명 이상이면 하울링 쿨다운 20% 반환,RuntimeImplemented,"If 3+ enemies are hit, reduce Howling/rin-b cooldown by 20% of its effective cooldown.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,rin-b,3,0.2,,
rin-e-master-1,rin,rin-e,rin-e,ActiveMaster,0,압살 지점,"피해 범위 -20%, 위력 +100%, 중심부 적중 시 100% 화염 추가 피해",RuntimeImplemented,"Radius -20%, damage +100%, and CoreHitBox hit applies 100% Fire additional damage.",,2,,0.8,,,,,,,,,,,,,,,,,,,,CoreHitBox,,1,1,Fire,,,,,
rin-e-master-2,rin,rin-e,rin-e,ActiveMaster,1,균열 확산,"피해 범위 +50%, 위력 +35%, 적중한 적 이동 속도 2초간 -25%, 45% 어둠 추가 피해",RuntimeImplemented,"Radius +50%, damage +35%, 45% Darkness on-hit additional damage, and slow is authored in monster_skill_effects.csv.",,1.35,,1.5,,,,,,,,,,,,1,0.45,Darkness,HitTarget,,,,,,,,,,,,,,
sein-e-trait-1,sein,sein-e,sein-e,ActiveEnhancement,0,특성 1,위력 +30%,RuntimeImplemented,Shared SingleAttack damage multiplier path applies this Sein-E enhancement.,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-e-trait-2,sein,sein-e,sein-e,ActiveEnhancement,1,특성 2,쿨타임 -20%,RuntimeImplemented,Shared cooldown multiplier path applies this Sein-E enhancement.,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-e-trait-3,sein,sein-e,sein-e,ActiveEnhancement,2,특성 3,화염 저항 감소 +8,RuntimeImplemented,Sein-E trait-3 adds a second fire-resist-down OnHit status effect through shared SingleAttack multi-effect status routing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-e-trait-4,sein,sein-e,sein-e,ActiveEnhancement,3,특성 4,"타격 줄 수 +1, 위력 -15%",RuntimeImplemented,SingleAttack multi-deployment uses hit_target_count_bonus as an extra deployment-count bonus on Sein-E prefab-hitbox casts.,,0.85,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
sein-e-trait-5,sein,sein-e,sein-e,ActiveEnhancement,4,특성 5,초열 지대 안의 적에게 위력 +50%,RuntimeImplemented,Shared conditional target-status damage path now checks the superheated-zone presence status.,,,,,,,,,,,,,1.5,sein-d-superheated-presence,1,,,,,,,,,,,,,,,,,,
sein-e-master-1,sein,sein-e,sein-e,ActiveMaster,0,붉은 종말,"위력 +80%, 쿨타임 +25%",RuntimeImplemented,Shared damage and cooldown multiplier paths apply this Sein-E master choice.,,1.8,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-e-master-2,sein,sein-e,sein-e,ActiveMaster,1,잿빛 하늘,종말의 사선 이후 전장에 3초 동안 초열 지대 3개 생성,RuntimeImplemented,SingleAttack OnDeploymentCast follow-up effects now spawn Sein-D companion zones at each Sein-E deployment center.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-d-trait-1,vega,vega-d,vega-d,ActiveEnhancement,0,특성 1,위력 +25%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-d-trait-2,vega,vega-d,vega-d,ActiveEnhancement,1,특성 2,참격 반경 +25%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-d-trait-3,vega,vega-d,vega-d,ActiveEnhancement,2,특성 3,쿨타임 -20%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-d-trait-4,vega,vega-d,vega-d,ActiveEnhancement,3,특성 4,이름표식 10스택 이상인 적 위치의 참격 위력 +30%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,,,,,,,1.3,name-mark,10,,,,,,,,,,,,,,,,,,
vega-d-trait-5,vega,vega-d,vega-d,ActiveEnhancement,4,특성 5,검은 명부 개방에 피해를 받은 적에게 이름표식 1스택 부여,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,,name-mark,,,,1,,,,,,,,,,,,,,,,,,,,,
vega-d-master-1,vega,vega-d,vega-d,ActiveMaster,0,명부 난도질,"각 표식 대상 위치에 범위 참격 2회 추가 발생, 각 참격 위력 -35%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-d-master-2,vega,vega-d,vega-d,ActiveMaster,1,흑색 처형장,"참격 반경 +50%, 위력 +30%, 쿨타임 +20%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,1.3,1.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-e-trait-1,vega,vega-e,vega-e,ActiveEnhancement,0,특성 1,기본 위력 +25%,RuntimeImplemented,Shared SingleAttack damage_multiplier.,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-e-trait-2,vega,vega-e,vega-e,ActiveEnhancement,1,특성 2,표식 1스택당 추가 피해 +25%,RuntimeImplemented,Shared target-status-stack damage multiplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,
vega-e-trait-3,vega,vega-e,vega-e,ActiveEnhancement,2,특성 3,쿨타임 -20%,RuntimeImplemented,Shared SingleAttack cooldown_multiplier.,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-e-trait-4,vega,vega-e,vega-e,ActiveEnhancement,3,특성 4,이름표식 20스택 이상인 대상에게 치명타 확률 +35%,RuntimeImplemented,Shared conditional crit chance bonus versus target status stacks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-e-trait-5,vega,vega-e,vega-e,ActiveEnhancement,4,특성 5,최종선고로 적을 처치하면 소모한 이름표식의 25%를 주변 적에게 분배,RuntimeImplemented,Shared consumed-status redistribution runtime with user-provided search radius 100 and target count 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-e-master-1,vega,vega-e,vega-e,ActiveMaster,0,이름 없는 죽음,"표식 소모량 100%, 표식 1스택당 추가 피해 +80%",RuntimeImplemented,Shared consume override plus target-status-stack damage multiplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1
vega-e-master-2,vega,vega-e,vega-e,ActiveMaster,1,연속 선고,"기본 위력 -20%, 처치 시 최종선고 쿨타임 70% 반환",RuntimeImplemented,Shared SingleAttack damage_multiplier plus kill cooldown refund bonus.,,0.8,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,
eve-d-trait-1,eve,eve-d,eve-d,ActiveEnhancement,0,특성 1,"범위 +25%, 폭발 반경 +15%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV. | legacy: Static Override trait 1.,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
