"choice_id","skill_id","monster_id","choice_group","sort_order","title","description_text","damage_multiplier","magazine_bonus","additional_projectile_bonus","pierce_bonus","reload_time_multiplier","shot_interval_multiplier","branch_chance_bonus","branch_count","branch_damage_multiplier","branch_search_radius","status_tag","status_stacks_set","skill_effect_prefab_path","crit_chance_bonus","crit_damage_bonus","on_hit_additional_damage_visual","cooldown_multiplier","radius_multiplier","damage_delay_multiplier","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks","consecutive_hit_bonus_rate","consecutive_hit_max","burst_damage_multiplier","follow_up_projectile_count","follow_up_projectile_damage_multiplier"
"id","string","string","enum:PakuriCsvChoiceGroup","int","string","string","float","int","int","int","float","float","float","int","float","float","string","int","asset_path","float","float","string","float","float","","float","string","int","float","float","float","int","float"
"ariel-a-trait-1","ariel-a","ariel","ActiveEnhancement","0","특성 1","위력 +25%","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-trait-2","ariel-a","ariel","ActiveEnhancement","1","특성 2","탄창 +3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-trait-3","ariel-a","ariel","ActiveEnhancement","2","특성 3","재장전 시간 -20%","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-trait-4","ariel-a","ariel","ActiveEnhancement","3","특성 4","관통 횟수 +1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-trait-5","ariel-a","ariel","ActiveEnhancement","4","특성 5","방어막을 가진 아군 1명당 위력 +6%","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-master-1","ariel-a","ariel","ActiveMaster","0","백색 심판","마지막 탄환이 2회 폭발하며 범위 신성 피해를 준다","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-master-2","ariel-a","ariel","ActiveMaster","1","인도하는 빛","심판의 빛에 맞은 적에게 신성 노출 1스택 부여","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-a-trait-1","eve-a","eve","ActiveEnhancement","0","특성 1","탄창 수 +4, 위력 +20%","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-a-trait-2","eve-a","eve","ActiveEnhancement","1","특성 2","재장전 속도 +30%, 관통 수 +1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-a-trait-3","eve-a","eve","ActiveEnhancement","2","특성 3","추가 투사체 수 +1, 재장전 시간 +20%","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-a-trait-4","eve-a","eve","ActiveEnhancement","3","특성 4","추가 투사체 수 +2, 발사 속도 -25%","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-a-trait-5","eve-a","eve","ActiveEnhancement","4","특성 5","위력 +25%, 갈래 확률 +35%","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-a-master-1","eve-a","eve","ActiveMaster","0","갈래 회로","갈래 확률 +60%, 위력 +35%, 탄창 수 +2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-a-master-2","eve-a","eve","ActiveMaster","1","과충전 일제사격","관통 수 +2, 추가 투사체 수 +2, 발사 속도 -20%, 위력 +45%, 적중 시 감전 2스택","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-1","rin-a","rin","ActiveEnhancement","0","특성 1","위력 +25%","1.25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-2","rin-a","rin","ActiveEnhancement","1","특성 2","탄창 수 +4","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-3","rin-a","rin","ActiveEnhancement","2","특성 3","재장전 속도 +25%","","","","","0.8","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-4","rin-a","rin","ActiveEnhancement","3","특성 4","관통 수 +1, 위력 -10%","0.9","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-5","rin-a","rin","ActiveEnhancement","4","특성 5","치명타 확률 +10%, 치명타 피해 +25%","","","","","","","","","","","","","","0.1","0.25","","","","","","","","","","","",""
"rin-a-master-1","rin-a","rin","ActiveMaster","0","철권 연사","탄창 수 +6, 발사 간격 -18%, 위력 +12%","1.12","6","","","","0.8200000000000001","","","","","","","","","","","","","","","","","","","","",""
"rin-a-master-2","rin-a","rin","ActiveMaster","1","뇌격 건틀릿","적중 시 대상에게 40% 번개 추가 피해, 3번째 적중마다 대상 주변 2명에게 40% 번개 연쇄","","","","","","","","","","","","","Assets/Prefab/Skill/Rin/Rin_A.prefab","","","none","","","","","","","","","","",""
"sein-a-trait-1","sein-a","sein","ActiveEnhancement","0","특성 1","위력 +25%","1.25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-a-trait-2","sein-a","sein","ActiveEnhancement","1","특성 2","탄창 수 +4","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-a-trait-3","sein-a","sein","ActiveEnhancement","2","특성 3","재장전 속도 +30%","","","","","0.7692307692307692","","","","","","","","","","","","","","","","","","","","","",""
"sein-a-trait-4","sein-a","sein","ActiveEnhancement","3","특성 4","관통 수 +1, 위력 +10%","1.1","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"sein-a-trait-5","sein-a","sein","ActiveEnhancement","4","특성 5","발사 간격 -20%, 위력 -10%","0.9","","","","","0.8","","","","","","","","","","","","","","","","","","","","",""
"sein-a-master-1","sein-a","sein","ActiveMaster","0","백열 화살","위력 +55%, 관통 수 +1","1.55","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"sein-a-master-2","sein-a","sein","ActiveMaster","1","폭염 화살","적중 시 작은 폭발 발생, 폭발은 50% 화염 피해","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-b-trait-1","sein-b","sein","ActiveEnhancement","0","특성 1","탄환 수 +2","","","2","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-b-trait-2","sein-b","sein","ActiveEnhancement","1","특성 2","위력 +25%","1.25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-b-trait-3","sein-b","sein","ActiveEnhancement","2","특성 3","재장전 속도 +30%","","","","","0.7692307692307692","","","","","","","","","","","","","","","","","","","","","",""
"sein-b-trait-4","sein-b","sein","ActiveEnhancement","3","특성 4","발사 간격 -25%","","","","","","0.75","","","","","","","","","","","","","","","","","","","","",""
"sein-b-trait-5","sein-b","sein","ActiveEnhancement","4","특성 5","같은 대상에게 연속 적중 시 피해 +8%, 최대 +40%","","","","","","","","","","","","","","","","","","","","","","","0.08","0.4","","",""
"sein-b-master-1","sein-b","sein","ActiveMaster","0","포화 사격","탄환 수 +4, 위력 -20%","0.8","","4","","","","","","","","","","","","","","","","","","","","","","","",""
