"monster_id","owner_kind","owner_id","graph_kind","graph_index","target_skill_id","node_order","node_type_id","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_id"
"string","enum","string","enum","int","skill_id","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_id"
"ariel","Choice","ariel-a-master-2","Effect","0","ariel-a","1","ApplyStatus","holy-exposure","","","","","","","","","","","",""
"ariel","Choice","ariel-a-master-2","Effect","0","ariel-a","2","EffectTarget","","EventTarget","","EffectTarget","AppliedTargets","","","","","","","",""
"ariel","Choice","ariel-a-trait-1","Plan","0","ariel-a","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"ariel","Choice","ariel-a-trait-2","Plan","0","","1","MagazineBonus","3","","","","","","","","","","","",""
"ariel","Choice","ariel-a-trait-3","Plan","0","","1","ReloadTimeMultiplier","0.8","","","","","","","","","","","",""
"ariel","Choice","ariel-a-trait-4","Plan","0","","1","PierceBonus","1","","","","","","","","","","","",""
"ariel","Choice","ariel-a-trait-5","Plan","0","","1","CountStatusDamageMultiplier","shield","AllAllies","0.06","","","","","","","","","",""
"eve","Choice","eve-a-trait-1","Plan","0","eve-a","1","DamageMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","eve-a-trait-1","Plan","0","eve-a","2","MagazineBonus","4","","","","","","","","","","","",""
"eve","Choice","eve-a-trait-2","Plan","0","eve-a","1","ReloadTimeMultiplier","0.76923","","","","","","","","","","","",""
"eve","Choice","eve-a-trait-2","Plan","0","eve-a","2","PierceBonus","1","","","","","","","","","","","",""
"eve","Choice","eve-a-trait-3","Plan","0","eve-a","1","AdditionalProjectileBonus","1","","","","","","","","","","","",""
"eve","Choice","eve-a-trait-3","Plan","0","eve-a","2","ReloadTimeMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","eve-a-trait-4","Plan","0","eve-a","1","AdditionalProjectileBonus","2","","","","","","","","","","","",""
"eve","Choice","eve-a-trait-4","Plan","0","eve-a","2","ShotIntervalMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","eve-a-trait-5","Plan","0","eve-a","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","eve-a-trait-5","Plan","0","eve-a","2","BranchProjectile","0.35","2","0.7","","","","","","","","","",""
"eve","Choice","eve-a-master-1","Plan","0","eve-a","1","DamageMultiplier","1.35","","","","","","","","","","","",""
"eve","Choice","eve-a-master-1","Plan","0","eve-a","2","MagazineBonus","2","","","","","","","","","","","",""
"eve","Choice","eve-a-master-1","Plan","0","eve-a","3","BranchProjectile","0.6","2","0.7","4.5","","","","","","","","",""
"eve","Choice","eve-a-master-2","Plan","0","eve-a","1","DamageMultiplier","1.45","","","","","","","","","","","",""
"eve","Choice","eve-a-master-2","Plan","0","eve-a","2","PierceBonus","2","","","","","","","","","","","",""
"eve","Choice","eve-a-master-2","Plan","0","eve-a","3","AdditionalProjectileBonus","2","","","","","","","","","","","",""
"eve","Choice","eve-a-master-2","Plan","0","eve-a","4","ShotIntervalMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","eve-a-master-2","Plan","0","eve-a","5","StatusStackAmountSet","shock","2","","","","","","","","","","",""
"rin","Choice","rin-a-trait-1","Plan","0","rin-a","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"rin","Choice","rin-a-trait-2","Plan","0","rin-a","1","MagazineBonus","4","","","","","","","","","","","",""
"rin","Choice","rin-a-trait-3","Plan","0","rin-a","1","ReloadTimeMultiplier","0.8","","","","","","","","","","","",""
"rin","Choice","rin-a-trait-4","Plan","0","rin-a","1","PierceBonus","1","","","","","","","","","","","",""
"rin","Choice","rin-a-trait-4","Plan","0","rin-a","2","DamageMultiplier","0.9","","","","","","","","","","","",""
"rin","Choice","rin-a-trait-5","Plan","0","rin-a","1","CritChanceBonus","0.10","","","","","","","","","","","",""
"rin","Choice","rin-a-trait-5","Plan","0","rin-a","2","CritDamageBonus","0.25","","","","","","","","","","","",""
"rin","Choice","rin-a-master-1","Plan","0","rin-a","1","MagazineBonus","6","","","","","","","","","","","",""
"rin","Choice","rin-a-master-1","Plan","0","rin-a","2","ShotIntervalMultiplier","0.82","","","","","","","","","","","",""
"rin","Choice","rin-a-master-1","Plan","0","rin-a","3","DamageMultiplier","1.12","","","","","","","","","","","",""
"rin","Choice","rin-a-master-2","Plan","0","rin-a","1","AdditionalDamage","0.4","","1","Lightning","HitTarget","","","","","","","",""
"rin","Choice","rin-a-master-2","Plan","0","rin-a","2","EveryNthHitChainDamage","3","0.4","4.5","2","Lightning","","","","","","","",""
