"choice_id","skill_id","target_skill_id","choice_group","sort_order","title","description_text"
"id","string","string","enum:PakuriCsvChoiceGroup","int","string","string"
"rin-f-trait-1","rin-f","","PassiveEnhancement","0","특성 1","모든 아군의 물리 피해 +6%"
"rin-f-trait-2","rin-f","","PassiveEnhancement","1","특성 2","추가타 피해 +15%"
"rin-f-trait-3","rin-f","","PassiveEnhancement","2","특성 3","추가타에 30% 번개 추가 피해 적용"
"rin-g-trait-1","rin-g","","PassiveEnhancement","0","특성 1","하울링 중 모든 아군의 공격력 +8%"
"rin-g-trait-2","rin-g","","PassiveEnhancement","1","특성 2","하울링 중 모든 아군의 치명타 확률 +6%"
"rin-g-trait-3","rin-g","rin-b","PassiveEnhancement","2","특성 3","하울링 발동 시 린의 파쇄권 재장전 시간 25% 감소"
"rin-h-trait-1","rin-h","","PassiveEnhancement","0","특성 1","자동 발동에 필요한 물리 피해 누적 횟수 -2"
"rin-h-trait-2","rin-h","","PassiveEnhancement","1","특성 2","자동 발동 충격파 위력 +20%"
"rin-h-trait-3","rin-h","","PassiveEnhancement","2","특성 3","충격파 자동 발동 시 30% 번개 추가 피해 적용"
"rin-i-trait-1","rin-i","","PassiveEnhancement","0","특성 1","낮은 체력 대상 피해 증가 +8%"
"rin-i-trait-2","rin-i","","PassiveEnhancement","1","특성 2","종결 일격 처치 시 모든 아군의 치명타 피해 +25%, 4.0초"
"rin-i-trait-3","rin-i","","PassiveEnhancement","2","특성 3","종결 일격이 처형 기준 대상을 적중하면 붕괴 타격 쿨다운 12% 충전"
"rin-j-trait-1","rin-j","rin-e","PassiveEnhancement","0","특성 1","물리 방어력 감소량 +8%"
"rin-j-trait-2","rin-j","rin-e","PassiveEnhancement","1","특성 2","붕괴 타격이 3명 이상 적중하면 모든 아군의 공격력 +15%, 3.0초"
"rin-j-trait-3","rin-j","rin-e","PassiveEnhancement","2","특성 3","방어력이 감소한 적 처치 시 종결 일격 쿨다운 15% 충전"
