"choice_id","skill_id","choice_group","sort_order","title","description_text","damage_multiplier","cooldown_multiplier","radius_multiplier","crit_damage_bonus","on_hit_additional_damage_chance","on_hit_additional_damage_multiplier","on_hit_additional_damage_attribute","on_hit_additional_damage_target","execute_health_ratio_bonus","core_hitbox_name","core_damage_multiplier","core_on_hit_additional_damage_chance","core_on_hit_additional_damage_attribute","hit_count_cooldown_refund_target_skill_id","hit_count_cooldown_refund_min_targets","hit_count_cooldown_refund_ratio"
"id","string","enum:PakuriCsvChoiceGroup","int","string","string","float","float","float","float","float","float","enum:DamageAttribute","string","float","string","float","float","enum:DamageAttribute","string","int","float"
"rin-d-trait-1","rin-d","ActiveEnhancement","0","특성 1","위력 +30%","1.3","","","","","","","","","","","","","","",""
"rin-d-trait-2","rin-d","ActiveEnhancement","1","특성 2","처형 기준 체력 +10%","","","","","","","","","","","","","","","",""
"rin-d-trait-3","rin-d","ActiveEnhancement","2","특성 3","처치 시 쿨다운 반환 +20%","","","","","","","","","","","","","","","",""
"rin-d-trait-4","rin-d","ActiveEnhancement","3","특성 4","치명타 피해 +40%","","","","0.4","","","","","","","","","","","",""
"rin-d-trait-5","rin-d","ActiveEnhancement","4","특성 5","보스 대상 위력 +25%","","","","","","","","","","","","","","","",""
"rin-d-master-1","rin-d","ActiveMaster","0","확정 종결","처형 대상에게 치명타 확률 +50%, 처치 시 쿨다운 완전 초기화, 처치 순간 대상 주변에 90% 신성 피해 폭발","","","","","","","","","","","","","","","",""
"rin-d-master-2","rin-d","ActiveMaster","1","파멸권","위력 +90%, 처형 기준 체력 -10%, 쿨다운 +25%, 70% 어둠 추가 피해","1.9","1.25","","","1","0.7","Darkness","HitTarget","-0.1","","","","","","",""
"rin-e-trait-1","rin-e","ActiveEnhancement","0","특성 1","위력 +30%","1.3","","","","","","","","","","","","","","",""
"rin-e-trait-2","rin-e","ActiveEnhancement","1","특성 2","피해 범위 +25%","","","1.25","","","","","","","","","","","","",""
"rin-e-trait-3","rin-e","ActiveEnhancement","2","특성 3","쿨다운 -20%","","0.8","","","","","","","","","","","","","",""
"rin-e-trait-4","rin-e","ActiveEnhancement","3","특성 4","중심부 대상 위력 +50%","","","","","","","","","","CoreHitBox","1.5","","","","",""
"rin-e-trait-5","rin-e","ActiveEnhancement","4","특성 5","적중한 적 3명 이상이면 하울링 쿨다운 20% 반환","","","","","","","","","","","","","","rin-b","3","0.2"
"rin-e-master-1","rin-e","ActiveMaster","0","압살 지점","피해 범위 -20%, 위력 +100%, 중심부 적중 시 100% 화염 추가 피해","2","","0.8","","","","","","","CoreHitBox","","1","Fire","","",""
"rin-e-master-2","rin-e","ActiveMaster","1","균열 확산","피해 범위 +50%, 위력 +35%, 적중한 적 이동 속도 2초간 -25%, 45% 어둠 추가 피해","1.35","","1.5","","1","0.45","Darkness","HitTarget","","","","","","","",""
