"choice_id","skill_id","target_skill_id","choice_group","sort_order","title","description_text","magazine_bonus","shot_interval_multiplier","radius_multiplier","duration_bonus"
"id","string","string","enum:PakuriCsvChoiceGroup","int","string","string","int","float","float","float"
"sein-f-trait-1","sein-f","","PassiveEnhancement","0","특성 1","모든 아군의 화염 피해 +6%","","","",""
"sein-f-trait-2","sein-f","sein-a","PassiveEnhancement","1","특성 2","열풍 화살 탄창 수 +3","3","","",""
"sein-f-trait-3","sein-f","","PassiveEnhancement","2","특성 3","화염 스킬 보유 아군의 치명타 피해 +20%","","","",""
"sein-g-trait-1","sein-g","","PassiveEnhancement","0","특성 1","자동 발동 확률 +3%","","","",""
"sein-g-trait-2","sein-g","","PassiveEnhancement","1","특성 2","자동 발동 작열 난사 위력 +20%","","","",""
"sein-g-trait-3","sein-g","","PassiveEnhancement","2","특성 3","자동 발동 시 열풍 화살 재장전 시간 10% 감소","","","",""
"sein-h-trait-1","sein-h","sein-c","PassiveEnhancement","0","특성 1","화염 저항 감소 추가 -6","","","",""
"sein-h-trait-2","sein-h","sein-c","PassiveEnhancement","1","특성 2","화염궤도 폭발 반경 +25%","","","1.25",""
"sein-h-trait-3","sein-h","sein-c","PassiveEnhancement","2","특성 3","화염궤도에 맞은 적에게 모든 아군 화염 피해 +10%, 5초","","","",""
"sein-i-base-shot-interval","sein-i","sein-d","PassiveBase","0","기본 효과","초열 지대 피해 주기 속도 +20%","","0.8","",""
"sein-i-trait-1","sein-i","sein-d","PassiveEnhancement","0","특성 1","모든 아군 화염 피해 증가량 +7%","","","",""
"sein-i-trait-2","sein-i","sein-d","PassiveEnhancement","1","특성 2","효과 지속시간 +2초","","","","2"
"sein-i-trait-3","sein-i","sein-d","PassiveEnhancement","2","특성 3","초열 지대 범위 +25%","","","1.25",""
"sein-j-trait-1","sein-j","sein-e","PassiveEnhancement","0","특성 1","모든 아군 화염 피해 증가량 +10%","","","",""
"sein-j-trait-2","sein-j","sein-e","PassiveEnhancement","1","특성 2","처치 시 쿨타임 충전 +10%","","","",""
"sein-j-trait-3","sein-j","sein-e","PassiveEnhancement","2","특성 3","종말의 사선 화염 저항 감소 +8","","","",""
