"choice_id","skill_id","monster_id","choice_group","sort_order","title","description_text","skill_effect_prefab_path","damage_multiplier","cooldown_multiplier","radius_multiplier","branch_count","branch_damage_multiplier","branch_search_radius","status_tag","status_stacks_bonus","crit_damage_bonus","on_hit_additional_damage_chance","on_hit_additional_damage_multiplier","on_hit_additional_damage_attribute","on_hit_additional_damage_target","execute_health_ratio_bonus","core_hitbox_name","core_damage_multiplier","core_on_hit_additional_damage_chance","core_on_hit_additional_damage_attribute","hit_count_cooldown_refund_target_skill_id","hit_count_cooldown_refund_min_targets","hit_count_cooldown_refund_ratio","hit_target_count_bonus","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks","status_stacks_set","kill_cooldown_refund_ratio_bonus","target_status_stack_damage_multiplier","consume_target_status_ratio_override"
"id","string","string","enum:PakuriCsvChoiceGroup","int","string","string","asset_path","float","float","float","int","float","float","string","int","float","float","float","enum:DamageAttribute","string","float","string","float","float","enum:DamageAttribute","string","int","float","int","float","string","int","int","float","float","float"
"ariel-c-trait-1","ariel-c","ariel","ActiveEnhancement","0","특성 1","위력 +25%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-trait-2","ariel-c","ariel","ActiveEnhancement","1","특성 2","행동속도 증가량 +6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-trait-3","ariel-c","ariel","ActiveEnhancement","2","특성 3","버프 지속시간 +2초","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-trait-4","ariel-c","ariel","ActiveEnhancement","3","특성 4","파동 반경 +25%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-trait-5","ariel-c","ariel","ActiveEnhancement","4","특성 5","방어막을 가진 아군은 추가로 신성 피해 +10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-master-1","ariel-c","ariel","ActiveMaster","0","찬란한 성가","행동속도 대신 모든 아군 주문력 +18% 추가","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-master-2","ariel-c","ariel","ActiveMaster","1","전장의 축도","파동이 2회 발생하며 두 번째 파동의 위력은 60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-1","ariel-d","ariel","ActiveEnhancement","0","특성 1","위력 +30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-2","ariel-d","ariel","ActiveEnhancement","1","특성 2","신성 노출 +8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-3","ariel-d","ariel","ActiveEnhancement","2","특성 3","지속시간 +3초","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-4","ariel-d","ariel","ActiveEnhancement","3","특성 4","대상 수 +1, 위력 -20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-5","ariel-d","ariel","ActiveEnhancement","4","특성 5","방어막을 가진 아군이 낙인 대상에게 주는 피해 +10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-master-1","ariel-d","ariel","ActiveMaster","0","성흔 각인","낙인 대상이 받는 치명타 피해 +25%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-master-2","ariel-d","ariel","ActiveMaster","1","계시의 창","낙인이 끝날 때 누적 신성 피해의 20%만큼 추가 신성 피해","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-1","ariel-e","ariel","ActiveEnhancement","0","특성 1","위력 +30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-2","ariel-e","ariel","ActiveEnhancement","1","특성 2","방어막량 +30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-3","ariel-e","ariel","ActiveEnhancement","2","특성 3","쿨타임 -20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-4","ariel-e","ariel","ActiveEnhancement","3","특성 4","신성 노출 대상에게 위력 +50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-5","ariel-e","ariel","ActiveEnhancement","4","특성 5","모든 아군의 현재 방어막 지속시간 +3초","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-master-1","ariel-e","ariel","ActiveMaster","0","천상의 성역","강림 후 5초 동안 모든 아군이 받는 피해 -18%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-master-2","ariel-e","ariel","ActiveMaster","1","심판의 광휘","신성 피해 +70%, 방어막량 -30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-d-trait-1","eve-d","eve","ActiveEnhancement","0","특성 1","범위 +25%, 폭발 반경 +15%","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-d-trait-2","eve-d","eve","ActiveEnhancement","1","특성 2","스택당 피해 증가 +15%","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-d-trait-3","eve-d","eve","ActiveEnhancement","2","특성 3","쿨다운 -20%, 위력 +15%","","1.15","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eve-d-trait-4","eve-d","eve","ActiveEnhancement","3","특성 4","폭발 후 감전 1스택 추가 부여","","","","","","","","shock","1","","","","","","","","","","","","","","","","","","","","",""
