"choice_id","skill_id","choice_group","sort_order","title","description_text","damage_multiplier","duration_multiplier","status_duration_bonus_status_id","status_duration_bonus","runtime_target_skill_ids","burst_status_projectile_index","burst_status_stacks_bonus"
"id","string","enum:PakuriCsvChoiceGroup","int","string","string","float","float","string","float","string","",""
"vega-f-trait-1","vega-f","PassiveEnhancement","0","특성 1","모든 아군이 이름표식 대상에게 주는 피해 +5%","1.05","","","","","",""
"vega-f-trait-2","vega-f","PassiveEnhancement","1","특성 2","이름표식 10스택 이상 대상의 물리 저항 추가 -4","","","","","","",""
"vega-f-trait-3","vega-f","PassiveEnhancement","2","특성 3","삼검난무 마지막 탄환 이름표식 부여량 +1스택","","","","","vega-a","0","1"
"vega-g-trait-1","vega-g","PassiveEnhancement","0","특성 1","모든 아군이 침묵 대상에게 주는 피해 +6%","1.06","","","","","",""
"vega-g-trait-2","vega-g","PassiveEnhancement","1","특성 2","침묵 지속시간 +1초","","","silence","1","vega-b","",""
"vega-g-trait-3","vega-g","PassiveEnhancement","2","특성 3","침묵 대상이 이름표식을 보유하면 모든 아군 치명타 확률 +10%","","","","","","",""
"vega-h-trait-1","vega-h","PassiveEnhancement","0","특성 1","몰살 허가 중 모든 아군의 행동속도 +6%","","","","","","",""
"vega-h-trait-2","vega-h","PassiveEnhancement","1","특성 2","몰살 허가 중 모든 아군의 공격력 +8%","","","","","","",""
"vega-h-trait-3","vega-h","PassiveEnhancement","2","특성 3","몰살 허가 중 모든 아군이 이름표식 대상에게 주는 피해 +10%","1.1","","","","","",""
"vega-i-trait-1","vega-i","PassiveEnhancement","0","특성 1","모든 아군 범위 피해 증가량 +7%","","","","","","",""
"vega-i-trait-2","vega-i","PassiveEnhancement","1","특성 2","효과 지속시간 +2초","","","","","","",""
"vega-i-trait-3","vega-i","PassiveEnhancement","2","특성 3","이름표식 10스택 이상 대상은 모든 아군 범위 피해를 추가로 +10% 받음","","","","","","",""
"vega-j-trait-1","vega-j","PassiveEnhancement","0","특성 1","최종선고 처치 시 모든 아군 쿨타임 충전 +10%","","","","","","",""
"vega-j-trait-2","vega-j","PassiveEnhancement","1","특성 2","최종선고 대상이 생존할 때 모든 아군 피해 증가량 +5%","","","","","","",""
"vega-j-trait-3","vega-j","PassiveEnhancement","2","특성 3","최종선고로 적을 처치하면 검은 명부 개방 쿨타임 20% 감소","","","","","","",""
"vega-h-base-duration","vega-h","PassiveBase","0","기본 효과","몰살 허가 지속시간 +20%","","1.2","","","vega-c","",""
