"choice_id","skill_id","choice_group","sort_order","title","description_text","damage_multiplier","cooldown_multiplier","radius_multiplier","status_tag","status_stacks_set","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks","kill_cooldown_refund_ratio_bonus","target_status_stack_damage_multiplier","consume_target_status_ratio_override"
"id","string","enum:PakuriCsvChoiceGroup","int","string","string","float","float","float","string","int","float","string","int","float","float","float"
"vega-d-trait-1","vega-d","ActiveEnhancement","0","특성 1","위력 +25%","1.25","","","","","","","","","",""
"vega-d-trait-2","vega-d","ActiveEnhancement","1","특성 2","참격 반경 +25%","","","1.25","","","","","","","",""
"vega-d-trait-3","vega-d","ActiveEnhancement","2","특성 3","쿨타임 -20%","","0.8","","","","","","","","",""
"vega-d-trait-4","vega-d","ActiveEnhancement","3","특성 4","이름표식 10스택 이상인 적 위치의 참격 위력 +30%","","","","","","1.3","name-mark","10","","",""
"vega-d-trait-5","vega-d","ActiveEnhancement","4","특성 5","검은 명부 개방에 피해를 받은 적에게 이름표식 1스택 부여","","","","name-mark","1","","","","","",""
"vega-d-master-1","vega-d","ActiveMaster","0","명부 난도질","각 표식 대상 위치에 범위 참격 2회 추가 발생, 각 참격 위력 -35%","","","","","","","","","","",""
"vega-d-master-2","vega-d","ActiveMaster","1","흑색 처형장","참격 반경 +50%, 위력 +30%, 쿨타임 +20%","1.3","1.2","1.5","","","","","","","",""
"vega-e-trait-1","vega-e","ActiveEnhancement","0","특성 1","기본 위력 +25%","1.25","","","","","","","","","",""
"vega-e-trait-2","vega-e","ActiveEnhancement","1","특성 2","표식 1스택당 추가 피해 +25%","","","","","","","","","","1.25",""
"vega-e-trait-3","vega-e","ActiveEnhancement","2","특성 3","쿨타임 -20%","","0.8","","","","","","","","",""
"vega-e-trait-4","vega-e","ActiveEnhancement","3","특성 4","이름표식 20스택 이상인 대상에게 치명타 확률 +35%","","","","","","","","","","",""
"vega-e-trait-5","vega-e","ActiveEnhancement","4","특성 5","최종선고로 적을 처치하면 소모한 이름표식의 25%를 주변 적에게 분배","","","","","","","","","","",""
"vega-e-master-1","vega-e","ActiveMaster","0","이름 없는 죽음","표식 소모량 100%, 표식 1스택당 추가 피해 +80%","","","","","","","","","","1.8","1"
"vega-e-master-2","vega-e","ActiveMaster","1","연속 선고","기본 위력 -20%, 처치 시 최종선고 쿨타임 70% 반환","0.8","","","","","","","","0.7","",""
