"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","requires_active_choice_id","apply_once","condition_status_id","condition_target_side","attribute","base_damage","spell_power_coefficient","damage_multiplier","radius","cover_all","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","shield_amount_refresh_policy","status_action_speed_bonus","status_damage_bonus_rate","status_damage_taken_bonus","status_element_damage_taken_bonus","skill_effect_prefab_path","runtime_support_state","condition_skill_attribute","status_flat_element_resist_reduction","status_conditional_target_status_id","status_conditional_status_chance_bonus","status_applied_status_duration_bonus_status_id","status_applied_status_duration_bonus"
"id","string","int","enum:SkillMultiEffectKind","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:SkillMultiEffectVisualAnchorMode","enum:SkillMultiEffectTiming","string","bool","string","enum:SkillMultiEffectTargetSide","enum:DamageAttribute","float","float","float","float","bool","string","float","string","float","int","int","string","string","string","float","float","float","float","asset_path","string","string","float","string","float","string","float"
"eve-b-master2-lightning-resist","eve-b","10","Status","Enemy","Nearest","Battlefield","PrimarySkillCenter","Center","OnHit","eve-b-master-2","false","","Enemy","Lightning","0","0","1","0","true","passive-buff","1","??? ?? ?? ?? ??","5","1","1","","same_source_take_highest","","","","","","","RuntimeImplemented","","10","","","",""
"eve-b-master2-ice-resist","eve-b","11","Status","Enemy","Nearest","Battlefield","PrimarySkillCenter","Center","OnHit","eve-b-master-2","false","","Enemy","Ice","0","0","1","0","true","passive-buff","1","??? ?? ?? ?? ??","5","1","1","","same_source_take_highest","","","","","","","RuntimeImplemented","","10","","","",""
"eve-c-master2-expire-burst","eve-c","20","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","OnExpire","eve-c-master-2","true","","Enemy","Ice","24","1.5","1","3.2","false","","","","","","","","","","","","","","Assets/Prefab/Skill/Eve/Eve_c-master-2.prefab","RuntimeImplemented","","","","","",""
"eve-f-start-shield","eve-f","10","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","","true","","AllAllies","Lightning","0","1.2","1","0","true","shield","1","Eve F Start Shield","12","1","1","all_allies","same_source_refresh","take_highest","","","","","","RuntimeImplemented","Lightning","","","","",""
"eve-f-start-shield-trait1","eve-f","11","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","eve-f-trait-1","true","","AllAllies","Lightning","0","1.2","0.4","0","true","shield","1","Eve F Start Shield Trait 1","12","1","1","all_allies","same_source_refresh","take_highest","","","","","","RuntimeImplemented","Lightning","","","","",""
"eve-f-shocked-damage-taken","eve-f","20","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","shock","Enemy","Physical","0","0","1","0","true","passive-buff","1","Eve F Shocked Damage Taken","0.5","1","1","","same_source_refresh","","","","0.10","","","RuntimeImplemented","","","","","",""
"eve-f-shocked-damage-taken-trait2","eve-f","21","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-f-trait-2","false","shock","Enemy","Physical","0","0","1","0","true","passive-buff","1","Eve F Shocked Damage Taken Trait 2","0.5","1","1","","same_source_refresh","","","","0.06","","","RuntimeImplemented","","","","","",""
"eve-f-shielded-action-speed-trait3","eve-f","30","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","eve-f-trait-3","false","shield","AllAllies","Physical","0","0","1","0","true","passive-buff","1","Eve F Shielded Action Speed","0.5","1","1","all_allies","same_source_refresh","","0.12","","","","","RuntimeImplemented","","","","","",""
"eve-g-lightning-damage","eve-g","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","","false","","AllAllies","Lightning","0","0","1","0","true","passive-buff","1","Eve G Lightning Damage","0.5","1","1","all_allies","same_source_refresh","","","0.08","","","","RuntimeImplemented","","","","","",""
