"effect_id","skill_id","monster_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","requires_active_choice_id","apply_once","condition_status_id","condition_target_side","attribute","base_damage","spell_power_coefficient","damage_multiplier","radius","cover_all","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","shield_amount_refresh_policy","status_action_speed_bonus","status_damage_bonus_rate","status_damage_taken_bonus","status_element_damage_taken_bonus","skill_effect_prefab_path","runtime_support_state","condition_skill_attribute","status_flat_element_resist_reduction","status_conditional_target_status_id","status_conditional_status_chance_bonus","status_applied_status_duration_bonus_status_id","status_applied_status_duration_bonus","requires_passive_skill_id","status_move_speed_bonus","status_attack_power_bonus","status_element_resist_reduction","status_critical_chance_bonus","status_outgoing_additional_damage_multiplier","status_outgoing_additional_damage_attribute","condition_health_ratio_max","condition_hit_count_min","status_critical_damage_bonus","attack_power_coefficient","active_duration_seconds","tick_interval_seconds","status_critical_resistance_bonus","required_source_status_id","required_source_status_min_stacks","status_conditional_incoming_skill_runtime_kinds"
"id","string","string","int","enum:SkillMultiEffectKind","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:SkillMultiEffectVisualAnchorMode","enum:SkillMultiEffectTiming","string","bool","string","enum:SkillMultiEffectTargetSide","enum:DamageAttribute","float","float","float","float","bool","string","float","string","float","int","int","string","string","string","float","float","float","float","asset_path","string","string","float","string","float","string","float","string","float","float","float","float","float","enum:DamageAttribute","float","int","float","float","","","float","string","int","string"
"sein-f-fire-damage","sein-f","sein","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","","false","","","Fire","0","","1","0","true","passive-buff","1","Sein F Fire Damage","0.5","1","1","all_allies","same_source_refresh","","","0.12","","","","RuntimeImplemented","","","","","","","","","","","","","","","","","0","","","","","",""
"sein-f-fire-skill-crit","sein-f","sein","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","","false","","","Fire","0","","1","0","true","passive-buff","1","Sein F Fire Skill Crit","0.5","1","1","all_allies","same_source_refresh","","","","","","","RuntimeImplemented","Fire","","","","","","","","","","0.08","","","","","","0","","","","","",""
"sein-f-fire-damage-trait1","sein-f","sein","20","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","sein-f-trait-1","false","","","Fire","0","","1","0","true","passive-buff","1","Sein F Fire Damage Trait 1","0.5","1","1","all_allies","same_source_refresh","","","0.06","","","","RuntimeImplemented","","","","","","","","","","","","","","","","","0","","","","","",""
"sein-f-fire-skill-crit-damage-trait3","sein-f","sein","21","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","sein-f-trait-3","false","","","Fire","0","","1","0","true","passive-buff","1","Sein F Fire Skill Crit Damage Trait 3","0.5","1","1","all_allies","same_source_refresh","","","","","","","RuntimeImplemented","Fire","","","","","","","","","","","","","","","0.20","0","","","","","",""
"vega-f-name-mark-damage-base","vega-f","vega","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","name-mark","Enemy","","","","","","true","passive-buff","1","Vega F Name Mark Damage","0.5","1","1","","same_source_refresh","","0","","0.10","","","RuntimeImplemented","","0","","","","","","","0","","","","","","","","0","","","0","","0",""
"vega-f-name-mark-damage-trait1","vega-f","vega","11","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","vega-f-trait-1","false","name-mark","Enemy","","","","","","true","passive-buff","1","Vega F Name Mark Damage Trait 1","0.5","1","1","","same_source_refresh","","0","","0.05","","","RuntimeImplemented","","0","","","","","","","0","","","","","","","","0","","","0","","0",""
"vega-f-name-mark-resist-base","vega-f","vega","20","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","name-mark:10","Enemy","","","","","","true","passive-buff","1","Vega F Name Mark Physical Resist","0.5","1","1","","same_source_refresh","","0","","0","","","RuntimeImplemented","","8","","","","","","","0","","","","","","","","0","","","0","","0",""
"vega-f-name-mark-resist-trait2","vega-f","vega","21","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","vega-f-trait-2","false","name-mark:10","Enemy","","","","","","true","passive-buff","1","Vega F Name Mark Physical Resist Trait 2","0.5","1","1","","same_source_refresh","","0","","0","","","RuntimeImplemented","","4","","","","","","","0","","","","","","","","0","","","0","","0",""
"vega-g-silence-damage-base","vega-g","vega","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","silence","Enemy","","","","","","true","passive-buff","1","Vega G Silence Damage","0.5","1","1","","same_source_refresh","","0","","0.14","","","RuntimeImplemented","","0","","","","","","","0","","","","","","","","0","","","0","","0",""
