"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","requires_active_choice_id","requires_passive_skill_id","apply_once","condition_target_side","attribute","base_damage","attack_power_coefficient","damage_multiplier","radius","cover_all","active_duration_seconds","tick_interval_seconds","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","status_damage_bonus_rate","status_element_damage_taken_bonus","skill_effect_prefab_path","runtime_support_state","runtime_support_notes","condition_skill_attribute","status_flat_element_resist_reduction","status_critical_chance_bonus","status_critical_damage_bonus"
"id","string","int","enum:SkillMultiEffectKind","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:SkillMultiEffectVisualAnchorMode","enum:SkillMultiEffectTiming","string","string","bool","enum:SkillMultiEffectTargetSide","enum:DamageAttribute","float","float","float","float","bool","","","string","float","string","float","int","int","string","string","float","float","asset_path","string","string","string","float","float","float"
"sein-c-master2-contact","sein-c","10","Damage","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-c-master-2","","true","","Fire","38","1.8","0.4","0","false","","","","","","","","","","","","","Assets/Prefab/Skill/Sein/Sein_C_Master-2.prefab","SharedExtension","Projectile contact follow-up damage at event target through shared OnHit effect path.","","","",""
"sein-c-master1-zone","sein-c","20","Damage","Enemy","Nearest","Circle","EffectTarget","Center","OnExpire","sein-c-master-1","","","","Fire","38","1.8","0.25","1.2","false","1.5","0.5","","","","","","","","","","","Assets/Prefab/Skill/Sein/Sein_C_Master_1.prefab","SharedExtension","Projectile explosion follow-up residual flame zone. Radius and tick interval are inferred to match the provided small-zone request.","","","",""
"sein-d-zone-presence","sein-d","5","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","OnCast","","","","","Fire","0","0","1","3.2","false","4","0.5","sein-d-superheated-presence","1","초열 지대 노출","0.75","1","1","","","","","","SharedExtension","Companion zero-damage zone keeps the Sein-D superheated-zone presence status refreshed through shared OnCast persistent-zone routing.","","","",""
"sein-d-master2-zone","sein-d","10","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","OnExpire","sein-d-master-2","","","","Fire","12","0.55","0.4","3.2","false","3","0.5","","","","","","","","","","","Assets/Prefab/Skill/Sein/Sein_D_Master_2.prefab","SharedExtension","Zone expiration follow-up ember zone. Radius and tick interval reuse base D values as the nearest inspected runtime authority.","","","",""
"sein-e-trait3-fire-resist-bonus","sein-e","5","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-e-trait-3","","true","","Fire","0","0","1","0","false","","","fire-resist-down","1","화염 저항 감소 추가","5","1","1","","same_source_refresh","","","","SharedExtension","SingleAttack OnHit status effect adds the extra +8 flat fire resist reduction for Sein-E trait-3.","","8","",""
"sein-e-master2-zone-damage","sein-e","10","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","OnDeploymentCast","sein-e-master-2","","","","Fire","12","0.55","1","3.2","false","3","0.5","sein-d-heat-stack","1","초열 타격","1","99","1","","","","","Assets/Prefab/Skill/Sein/Sein_D.prefab","SharedExtension","Each Sein-E deployment center spawns a Sein-D-style damage zone through the shared OnDeploymentCast persistent-zone path.","","","",""
"sein-e-master2-zone-presence","sein-e","11","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","OnDeploymentCast","sein-e-master-2","","","","Fire","0","0","1","3.2","false","3","0.5","sein-d-superheated-presence","1","초열 지대 노출","0.75","1","1","","","","","","SharedExtension","Invisible companion zone keeps the superheated-zone presence status refreshed for Sein-E trait-5 and Sein-E master-2 follow-up zones.","","","",""
"sein-f-fire-damage","sein-f","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","","","false","","Fire","0","0","1","0","true","","","passive-buff","1","Sein F Fire Damage","0.5","1","1","all_allies","same_source_refresh","0.12","","","RuntimeImplemented","Sein-F refreshes all allies Fire damage +12% while learned.","","","",""
"sein-f-fire-skill-crit","sein-f","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","","","false","","Fire","0","0","1","0","true","","","passive-buff","1","Sein F Fire Skill Crit","0.5","1","1","all_allies","same_source_refresh","","","","RuntimeImplemented","Sein-F grants crit chance +8% to allies with a Fire active skill.","Fire","","0.08",""
