"effect_id","skill_id","monster_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","requires_active_choice_id","requires_passive_skill_id","condition_status_id","condition_target_side","attribute","cover_all","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","shield_amount_refresh_policy","status_action_speed_bonus","status_move_speed_bonus","status_attack_power_bonus","status_damage_bonus_rate","status_damage_taken_bonus","status_element_resist_reduction","runtime_support_state","status_critical_chance_bonus","status_outgoing_additional_damage_multiplier","status_outgoing_additional_damage_attribute","condition_health_ratio_max","condition_hit_count_min","status_critical_damage_bonus","apply_once","base_damage","attack_power_coefficient","damage_multiplier","radius","active_duration_seconds","tick_interval_seconds","status_element_damage_taken_bonus","skill_effect_prefab_path","condition_skill_attribute","status_flat_element_resist_reduction","status_critical_resistance_bonus","required_source_status_id","required_source_status_min_stacks","status_conditional_incoming_skill_runtime_kinds"
"id","string","string","int","enum:SkillMultiEffectKind","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:SkillMultiEffectVisualAnchorMode","enum:SkillMultiEffectTiming","string","string","string","enum:SkillMultiEffectTargetSide","enum:DamageAttribute","bool","string","float","string","float","int","int","string","string","string","float","float","float","float","float","float","string","float","float","enum:DamageAttribute","float","int","float","bool","float","float","float","float","","","float","asset_path","string","float","float","string","int","string"
"sein-e-trait3-fire-resist-bonus","sein-e","sein","5","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-e-trait-3","","","","Fire","false","fire-resist-down","1","화염 저항 감소 추가","5","1","1","","same_source_refresh","","","","","","","","SharedExtension","","","","","","","true","0","0","1","0","","","","","","8","","","",""
"sein-e-master2-zone-damage","sein-e","sein","10","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","OnDeploymentCast","sein-e-master-2","","","","Fire","false","sein-d-heat-stack","1","초열 타격","1","99","1","","","","","","","","","","SharedExtension","","","","","","","","12","0.55","1","3.2","3","0.5","","Assets/Prefab/Skill/Sein/Sein_D.prefab","","","","","",""
"sein-e-master2-zone-presence","sein-e","sein","11","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","OnDeploymentCast","sein-e-master-2","","","","Fire","false","sein-d-superheated-presence","1","초열 지대 노출","0.75","1","1","","","","","","","","","","SharedExtension","","","","","","","","0","0","1","3.2","3","0.5","","","","","","","",""
"sein-e-passive-j-fire-exposure","sein-e","sein","20","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","","sein-j","","","Fire","false","fire-exposure","1","Sein J Fire Exposure","5","1","1","","same_source_refresh","","","","","","","","RuntimeImplemented","","","","","","","true","0","0","1","0","","","0.20","","","","","","",""
"sein-e-passive-j-fire-exposure-trait1","sein-e","sein","21","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-j-trait-1","sein-j","","","Fire","false","fire-exposure","1","Sein J Fire Exposure Trait 1","5","1","1","","same_source_refresh","","","","","","","","RuntimeImplemented","","","","","","","true","0","0","1","0","","","0.10","","","","","","",""
"sein-e-passive-j-fire-resist-down-trait3","sein-e","sein","22","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-j-trait-3","sein-j","","","Fire","false","fire-resist-down","1","Sein J Fire Resist Down Trait 3","5","1","1","","same_source_refresh","","","","","","","","RuntimeImplemented","","","","","","","true","0","0","1","0","","","","","","8","","","",""
"vega-d-i-area-vulnerability-base","vega-d","vega","90","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","","","Enemy","","false","passive-buff","1","Vega I Area Vulnerability","4","1","1","","same_source_refresh","","0","","0","","0.15","","RuntimeImplemented","","","","","","","false","","0","","","","","","","","0","0","","0","Area"
"vega-d-i-area-vulnerability-trait2","vega-d","vega","91","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","","","Enemy","","false","passive-buff","1","Vega I Area Vulnerability Trait 2","6","1","1","","same_source_refresh","","0","","0","","0.15","","RuntimeImplemented","","","","","","","false","","0","","","","","","","","0","0","","0","Area"
"vega-d-i-area-vulnerability-trait1","vega-d","vega","92","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","","","Enemy","","false","passive-buff","1","Vega I Area Vulnerability Trait 1","4","1","1","","same_source_refresh","","0","","0","","0.07","","RuntimeImplemented","","","","","","","false","","0","","","","","","","","0","0","","0","Area"
