"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","requires_active_choice_id","apply_once","condition_status_id","condition_target_side","attack_power_coefficient","cover_all","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","status_action_speed_bonus","status_attack_power_bonus","status_damage_taken_bonus","status_critical_resistance_bonus","skill_effect_prefab_path","runtime_support_state","status_flat_element_resist_reduction","required_source_status_id","required_source_status_min_stacks","status_conditional_incoming_skill_runtime_kinds"
"id","string","int","enum:SkillMultiEffectKind","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:SkillMultiEffectVisualAnchorMode","enum:SkillMultiEffectTiming","string","bool","string","enum:SkillMultiEffectTargetSide","float","bool","string","float","string","float","int","int","string","string","float","float","float","float","asset_path","string","float","string","int","string"
"vega-b-trait5-name-mark","vega-b","10","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","vega-b-trait-5","true","","Enemy","0","false","name-mark","1","이름표식","0","0","2","","same_source_refresh","","","","","","RuntimeImplemented","","","",""
"vega-b-master1-second-silence","vega-b","20","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","","true","","Enemy","0","false","silence","1","침묵","1","1","1","","","","","","","","RuntimeImplemented","","","",""
"vega-a-master2-transfer-mark","vega-a","90","Damage","Enemy","Nearest","Single","NearestEnemy","AppliedTargets","OnCast","vega-a-master-2","false","","Enemy","0.5","false","name-mark","1","이름표식","0","0","3","","","0","0","0","0","Assets/Prefab/Skill/Vega/Vega_A_Master_2.prefab","RuntimeImplemented","0","","",""
"vega-f-name-mark-damage-base","vega-f","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","name-mark","Enemy","0","true","passive-buff","1","Vega F Name Mark Damage","0.5","1","1","","same_source_refresh","0","0","0.10","0","","RuntimeImplemented","0","","0",""
"vega-f-name-mark-damage-trait1","vega-f","11","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","vega-f-trait-1","false","name-mark","Enemy","0","true","passive-buff","1","Vega F Name Mark Damage Trait 1","0.5","1","1","","same_source_refresh","0","0","0.05","0","","RuntimeImplemented","0","","0",""
"vega-f-name-mark-resist-base","vega-f","20","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","name-mark:10","Enemy","0","true","passive-buff","1","Vega F Name Mark Physical Resist","0.5","1","1","","same_source_refresh","0","0","0","0","","RuntimeImplemented","8","","0",""
"vega-f-name-mark-resist-trait2","vega-f","21","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","vega-f-trait-2","false","name-mark:10","Enemy","0","true","passive-buff","1","Vega F Name Mark Physical Resist Trait 2","0.5","1","1","","same_source_refresh","0","0","0","0","","RuntimeImplemented","4","","0",""
"vega-g-silence-damage-base","vega-g","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","silence","Enemy","0","true","passive-buff","1","Vega G Silence Damage","0.5","1","1","","same_source_refresh","0","0","0.14","0","","RuntimeImplemented","0","","0",""
"vega-g-silence-damage-trait1","vega-g","11","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","vega-g-trait-1","false","silence","Enemy","0","true","passive-buff","1","Vega G Silence Damage Trait 1","0.5","1","1","","same_source_refresh","0","0","0.06","0","","RuntimeImplemented","0","","0",""
