"node_id","param_key","value_type","value"
"string","string","enum","string"
"ariel-a-trait-1-damage-multiplier","multiplier","float","1.25"
"ariel-b-trait-3-cooldown-multiplier","multiplier","float","0.8"
"ariel-c-trait-4-radius-multiplier","multiplier","float","1.25"
"ariel-a-trait-2-magazine-bonus","bonus","int","3"
"ariel-a-trait-3-reload-time-multiplier","multiplier","float","0.8"
"ariel-a-trait-4-pierce-bonus","bonus","int","1"
"ariel-a-trait-5-count-shield-damage","status_id","status_id","shield"
"ariel-a-trait-5-count-shield-damage","target_side","enum","AllAllies"
"ariel-a-trait-5-count-shield-damage","amount_per_count","float","0.06"
"ariel-b-trait-1-shield-amount-multiplier","multiplier","float","1.3"
"ariel-b-trait-2-duration-bonus","bonus_seconds","float","2"
"ariel-b-master-1-shield-amount-multiplier","multiplier","float","1.5"
"ariel-b-master-1-ailment-resistance","bonus","float","0.3"
"ariel-c-trait-1-damage-multiplier","multiplier","float","1.25"
"ariel-c-trait-3-duration-bonus","bonus_seconds","float","2"
"ariel-d-trait-1-damage-multiplier","multiplier","float","1.3"
"ariel-d-trait-2-status-element-damage-taken","bonus","float","0.08"
"ariel-d-trait-3-duration-bonus","bonus_seconds","float","3"
"ariel-d-trait-4-damage-multiplier","multiplier","float","0.8"
"ariel-d-trait-5-shield-source-damage-taken","source_status_id","status_id","shield"
"ariel-d-trait-5-shield-source-damage-taken","bonus","float","0.1"
"ariel-e-trait-1-damage-multiplier","multiplier","float","1.3"
"ariel-e-trait-3-cooldown-multiplier","multiplier","float","0.8"
"ariel-e-trait-5-duration-bonus","bonus_seconds","float","3"
"ariel-e-master-2-damage-multiplier","multiplier","float","1.7"
"ariel-f-trait-1-holy-damage-bonus","bonus","float","0.06"
"ariel-f-trait-2-magazine-bonus","bonus","int","2"
"ariel-h-trait-1-blessed-holy-damage-bonus","bonus","float","0.07"
"ariel-h-trait-2-blessed-action-speed-bonus","bonus","float","0.05"
"ariel-h-trait-3-duration-bonus","bonus_seconds","float","2"
"ariel-i-trait-1-exposure-damage-taken-bonus","bonus","float","0.05"
"ariel-i-trait-2-cooldown-multiplier","multiplier","float","0.8"
"ariel-j-trait-2-shielded-holy-damage-bonus","bonus","float","0.10"
"ariel-j-trait-3-cooldown-multiplier","multiplier","float","0.85"
"ariel-c-trait-2-blessing-action-speed","status_id","status_id","blessing"
"ariel-c-trait-2-blessing-action-speed","bonus","float","0.06"
"ariel-e-trait-2-shield-amount-multiplier","multiplier","Float","1.3"
"ariel-e-master-2-shield-amount-multiplier","multiplier","Float","0.7"
"ariel-g-trait-1-shield-received-bonus","bonus","float","0.08"
"ariel-g-trait-2-start-shield-amount-multiplier","multiplier","float","1.4"
"ariel-j-trait-1-after-e-action-speed-bonus","bonus","float","0.07"
"ariel-d-trait-4-hit-target-count-bonus","bonus","int","1"
"ariel-d-master-1-status-critical-damage-taken","bonus","float","0.25"
"ariel-a-master-2-holy-exposure-on-hit-apply-status","status_id","status_id","holy-exposure"
"ariel-a-master-2-holy-exposure-on-hit-effect-target","target_selection","enum","EventTarget"
"ariel-a-master-2-holy-exposure-on-hit-effect-target","center_mode","enum","EffectTarget"
"ariel-a-master-2-holy-exposure-on-hit-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-b-shielded-holy-trait5-effect-target","target_side","enum","AllAllies"
"ariel-b-shielded-holy-trait5-effect-target","target_selection","enum","Owner"
"ariel-b-shielded-holy-trait5-effect-target","target_shape","enum","Battlefield"
"ariel-b-shielded-holy-trait5-effect-target","center_mode","enum","Caster"
"ariel-b-shielded-holy-trait5-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-b-shielded-holy-trait5-condition-status","status_id","status_id","shield"
"ariel-b-shielded-holy-trait5-condition-status","target_side","enum","AllAllies"
"ariel-b-shielded-holy-trait5-condition-status","min_stacks","int","1"
"ariel-b-shielded-holy-trait5-effect-lifetime","duration_seconds","float","5"
"ariel-b-shielded-holy-trait5-status-damage-bonus-rate","bonus","float","0.12"
"ariel-b-shielded-holy-trait5-status-damage-bonus-rate","attribute","enum","Holy"
"ariel-c-blessing-action-default-apply-status","status_id","status_id","blessing"
"ariel-c-blessing-action-default-effect-target","target_side","enum","AllAllies"
"ariel-c-blessing-action-default-effect-target","target_selection","enum","Owner"
"ariel-c-blessing-action-default-effect-target","target_shape","enum","Battlefield"
"ariel-c-blessing-action-default-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-blessing-action-default-effect-visual","skill_effect_prefab_path","asset_path","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab"
"ariel-c-blessing-action-default-effect-lifetime","duration_seconds","float","4"
"ariel-c-blessing-action-default-status-action-speed-bonus","bonus","float","0.12"
"ariel-c-blessing-action-trait3-apply-status","status_id","status_id","blessing"
"ariel-c-blessing-action-trait3-effect-target","target_side","enum","AllAllies"
"ariel-c-blessing-action-trait3-effect-target","target_selection","enum","Owner"
"ariel-c-blessing-action-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-c-blessing-action-trait3-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-blessing-action-trait3-effect-visual","skill_effect_prefab_path","asset_path","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab"
"ariel-c-blessing-action-trait3-effect-lifetime","duration_seconds","float","6"
"ariel-c-blessing-action-trait3-status-action-speed-bonus","bonus","float","0.12"
"ariel-c-blessing-action-trait2-apply-status","status_id","status_id","blessing"
"ariel-c-blessing-action-trait2-effect-target","target_side","enum","AllAllies"
"ariel-c-blessing-action-trait2-effect-target","target_selection","enum","Owner"
"ariel-c-blessing-action-trait2-effect-target","target_shape","enum","Battlefield"
"ariel-c-blessing-action-trait2-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-blessing-action-trait2-effect-lifetime","duration_seconds","float","4"
"ariel-c-blessing-action-trait2-status-action-speed-bonus","bonus","float","0.06"
"ariel-c-blessing-action-trait2-trait3-apply-status","status_id","status_id","blessing"
"ariel-c-blessing-action-trait2-trait3-effect-target","target_side","enum","AllAllies"
"ariel-c-blessing-action-trait2-trait3-effect-target","target_selection","enum","Owner"
"ariel-c-blessing-action-trait2-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-c-blessing-action-trait2-trait3-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-blessing-action-trait2-trait3-effect-lifetime","duration_seconds","float","6"
"ariel-c-blessing-action-trait2-trait3-status-action-speed-bonus","bonus","float","0.06"
"ariel-c-blessing-action-h-trait3-apply-status","status_id","status_id","blessing"
"ariel-c-blessing-action-h-trait3-effect-target","target_side","enum","AllAllies"
"ariel-c-blessing-action-h-trait3-effect-target","target_selection","enum","Owner"
"ariel-c-blessing-action-h-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-c-blessing-action-h-trait3-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-blessing-action-h-trait3-effect-visual","skill_effect_prefab_path","asset_path","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab"
"ariel-c-blessing-action-h-trait3-effect-lifetime","duration_seconds","float","6"
"ariel-c-blessing-action-h-trait3-status-action-speed-bonus","bonus","float","0.12"
"ariel-c-shielded-holy-trait5-apply-status","status_id","status_id","blessing"
"ariel-c-shielded-holy-trait5-effect-target","target_side","enum","AllAllies"
"ariel-c-shielded-holy-trait5-effect-target","target_selection","enum","Owner"
"ariel-c-shielded-holy-trait5-effect-target","target_shape","enum","Battlefield"
"ariel-c-shielded-holy-trait5-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-shielded-holy-trait5-condition-status","status_id","status_id","shield"
"ariel-c-shielded-holy-trait5-condition-status","target_side","enum","AllAllies"
"ariel-c-shielded-holy-trait5-condition-status","min_stacks","int","1"
"ariel-c-shielded-holy-trait5-effect-lifetime","duration_seconds","float","4"
"ariel-c-shielded-holy-trait5-status-damage-bonus-rate","bonus","float","0.1"
"ariel-c-shielded-holy-trait5-status-damage-bonus-rate","attribute","enum","Holy"
"ariel-c-blessing-action-trait3-h-trait3-apply-status","status_id","status_id","blessing"
"ariel-c-blessing-action-trait3-h-trait3-effect-target","target_side","enum","AllAllies"
"ariel-c-blessing-action-trait3-h-trait3-effect-target","target_selection","enum","Owner"
"ariel-c-blessing-action-trait3-h-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-c-blessing-action-trait3-h-trait3-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-blessing-action-trait3-h-trait3-effect-visual","skill_effect_prefab_path","asset_path","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab"
"ariel-c-blessing-action-trait3-h-trait3-effect-lifetime","duration_seconds","float","8"
"ariel-c-blessing-action-trait3-h-trait3-status-action-speed-bonus","bonus","float","0.12"
"ariel-c-shielded-holy-trait5-trait3-apply-status","status_id","status_id","blessing"
"ariel-c-shielded-holy-trait5-trait3-effect-target","target_side","enum","AllAllies"
"ariel-c-shielded-holy-trait5-trait3-effect-target","target_selection","enum","Owner"
"ariel-c-shielded-holy-trait5-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-c-shielded-holy-trait5-trait3-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-shielded-holy-trait5-trait3-condition-status","status_id","status_id","shield"
"ariel-c-shielded-holy-trait5-trait3-condition-status","target_side","enum","AllAllies"
"ariel-c-shielded-holy-trait5-trait3-condition-status","min_stacks","int","1"
"ariel-c-shielded-holy-trait5-trait3-effect-lifetime","duration_seconds","float","6"
"ariel-c-shielded-holy-trait5-trait3-status-damage-bonus-rate","bonus","float","0.1"
"ariel-c-shielded-holy-trait5-trait3-status-damage-bonus-rate","attribute","enum","Holy"
"ariel-c-blessing-action-trait2-h-trait3-apply-status","status_id","status_id","blessing"
"ariel-c-blessing-action-trait2-h-trait3-effect-target","target_side","enum","AllAllies"
"ariel-c-blessing-action-trait2-h-trait3-effect-target","target_selection","enum","Owner"
"ariel-c-blessing-action-trait2-h-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-c-blessing-action-trait2-h-trait3-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-blessing-action-trait2-h-trait3-effect-lifetime","duration_seconds","float","6"
"ariel-c-blessing-action-trait2-h-trait3-status-action-speed-bonus","bonus","float","0.06"
"ariel-c-blessing-action-trait2-trait3-h-trait3-apply-status","status_id","status_id","blessing"
"ariel-c-blessing-action-trait2-trait3-h-trait3-effect-target","target_side","enum","AllAllies"
"ariel-c-blessing-action-trait2-trait3-h-trait3-effect-target","target_selection","enum","Owner"
"ariel-c-blessing-action-trait2-trait3-h-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-c-blessing-action-trait2-trait3-h-trait3-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-blessing-action-trait2-trait3-h-trait3-effect-lifetime","duration_seconds","float","8"
"ariel-c-blessing-action-trait2-trait3-h-trait3-status-action-speed-bonus","bonus","float","0.06"
"ariel-c-master1-spell-apply-status","status_id","status_id","blessing"
"ariel-c-master1-spell-effect-target","target_side","enum","AllAllies"
"ariel-c-master1-spell-effect-target","target_selection","enum","Owner"
"ariel-c-master1-spell-effect-target","target_shape","enum","Battlefield"
"ariel-c-master1-spell-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-master1-spell-effect-visual","skill_effect_prefab_path","asset_path","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab"
"ariel-c-master1-spell-effect-lifetime","duration_seconds","float","4"
"ariel-c-master1-spell-status-spell-power-bonus","bonus","float","0.18"
"ariel-c-master1-spell-trait3-apply-status","status_id","status_id","blessing"
"ariel-c-master1-spell-trait3-effect-target","target_side","enum","AllAllies"
"ariel-c-master1-spell-trait3-effect-target","target_selection","enum","Owner"
"ariel-c-master1-spell-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-c-master1-spell-trait3-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-master1-spell-trait3-effect-visual","skill_effect_prefab_path","asset_path","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab"
"ariel-c-master1-spell-trait3-effect-lifetime","duration_seconds","float","6"
"ariel-c-master1-spell-trait3-status-spell-power-bonus","bonus","float","0.18"
"ariel-c-master2-second-wave-effect-damage","attribute","enum","Holy"
"ariel-c-master2-second-wave-effect-damage","base_damage","float","28"
"ariel-c-master2-second-wave-effect-damage","spell_power_coefficient","float","1.2"
"ariel-c-master2-second-wave-effect-damage","damage_multiplier","float","0.6"
