"node_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order"
"string","enum","string","string","enum","string","int"
"ariel-a-trait-1-damage-multiplier","Choice","ariel-a-trait-1","ariel-a","DamageModifier","DamageMultiplier","200"
"ariel-a-master-2-holy-exposure-element-damage-taken","Choice","ariel-a-master-2","ariel-a","Action","StatusElementDamageTakenBonus","210"
"ariel-b-trait-3-cooldown-multiplier","Choice","ariel-b-trait-3","ariel-b","Action","CooldownMultiplier","200"
"ariel-c-trait-4-radius-multiplier","Choice","ariel-c-trait-4","ariel-c","Action","RadiusMultiplier","200"
"ariel-a-trait-2-magazine-bonus","Choice","ariel-a-trait-2","","Action","MagazineBonus","200"
"ariel-a-trait-3-reload-time-multiplier","Choice","ariel-a-trait-3","","Action","ReloadTimeMultiplier","200"
"ariel-a-trait-4-pierce-bonus","Choice","ariel-a-trait-4","","Action","PierceBonus","200"
"ariel-a-trait-5-count-shield-damage","Choice","ariel-a-trait-5","","DamageModifier","CountStatusDamageMultiplier","200"
"ariel-b-trait-1-shield-amount-multiplier","Choice","ariel-b-trait-1","","Action","ShieldAmountMultiplier","200"
"ariel-b-trait-2-duration-bonus","Choice","ariel-b-trait-2","","Action","DurationBonus","200"
"ariel-b-master-1-shield-amount-multiplier","Choice","ariel-b-master-1","","Action","ShieldAmountMultiplier","200"
"ariel-b-master-1-ailment-resistance","Choice","ariel-b-master-1","","Action","StatusAilmentResistanceBonus","200"
"ariel-c-trait-1-damage-multiplier","Choice","ariel-c-trait-1","","DamageModifier","DamageMultiplier","200"
"ariel-c-trait-3-duration-bonus","Choice","ariel-c-trait-3","","Action","DurationBonus","200"
"ariel-d-trait-1-damage-multiplier","Choice","ariel-d-trait-1","","DamageModifier","DamageMultiplier","200"
"ariel-d-trait-2-status-element-damage-taken","Choice","ariel-d-trait-2","","Action","StatusElementDamageTakenBonus","200"
"ariel-d-trait-3-duration-bonus","Choice","ariel-d-trait-3","","Action","DurationBonus","200"
"ariel-d-trait-4-damage-multiplier","Choice","ariel-d-trait-4","","DamageModifier","DamageMultiplier","200"
"ariel-d-trait-5-shield-source-damage-taken","Choice","ariel-d-trait-5","","Action","StatusConditionalDamageTakenBonus","200"
"ariel-e-trait-1-damage-multiplier","Choice","ariel-e-trait-1","","DamageModifier","DamageMultiplier","200"
"ariel-e-trait-3-cooldown-multiplier","Choice","ariel-e-trait-3","","Action","CooldownMultiplier","200"
"ariel-e-trait-5-duration-bonus","Choice","ariel-e-trait-5","","Action","DurationBonus","200"
"ariel-e-master-2-damage-multiplier","Choice","ariel-e-master-2","","DamageModifier","DamageMultiplier","200"
"ariel-f-trait-1-holy-damage-bonus","Choice","ariel-f-trait-1","","Action","StatusDamageBonusRate","200"
"ariel-f-trait-2-magazine-bonus","Choice","ariel-f-trait-2","","Action","MagazineBonus","200"
"ariel-h-trait-1-blessed-holy-damage-bonus","Choice","ariel-h-trait-1","","Action","StatusDamageBonusRate","200"
"ariel-h-trait-2-blessed-action-speed-bonus","Choice","ariel-h-trait-2","","Action","StatusActionSpeedBonus","200"
"ariel-h-trait-3-duration-bonus","Choice","ariel-h-trait-3","","Action","DurationBonus","200"
"ariel-i-trait-1-exposure-damage-taken-bonus","Choice","ariel-i-trait-1","","Action","StatusDamageTakenBonus","200"
"ariel-i-trait-2-cooldown-multiplier","Choice","ariel-i-trait-2","","Action","CooldownMultiplier","200"
"ariel-j-trait-2-shielded-holy-damage-bonus","Choice","ariel-j-trait-2","","Action","StatusDamageBonusRate","200"
"ariel-j-trait-3-cooldown-multiplier","Choice","ariel-j-trait-3","","Action","CooldownMultiplier","200"
"ariel-c-trait-2-blessing-action-speed","Choice","ariel-c-trait-2","","Action","StatusActionSpeedBonus","200"
"ariel-e-trait-2-shield-amount-multiplier","Choice","ariel-e-trait-2","ariel-e","Action","ShieldAmountMultiplier","22"
"ariel-e-master-2-shield-amount-multiplier","Choice","ariel-e-master-2","ariel-e","Action","ShieldAmountMultiplier","82"
"ariel-g-trait-1-shield-received-bonus","Choice","ariel-g-trait-1","","Action","StatusShieldReceivedBonus",""
"ariel-g-trait-2-start-shield-amount-multiplier","Choice","ariel-g-trait-2","ariel-g","Action","ShieldAmountMultiplier",""
"ariel-j-trait-1-after-e-action-speed-bonus","Choice","ariel-j-trait-1","ariel-j","Action","StatusActionSpeedBonus",""
"ariel-d-trait-4-hit-target-count-bonus","Choice","ariel-d-trait-4","ariel-d","Action","HitTargetCountBonus","205"
"ariel-d-master-1-status-critical-damage-taken","Choice","ariel-d-master-1","ariel-d","Action","StatusCriticalDamageTakenBonus","205"
