"node_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","runtime_support_state","runtime_support_notes"
"string","enum","string","string","enum","string","int","bool","choice_id","choice_id","skill_id","skill_id","string","string"
"ariel-f-trait-1-holy-damage-bonus","Choice","ariel-f-trait-1","","Action","StatusDamageBonusRate","200","","","","","","",""
"ariel-f-trait-2-magazine-bonus","Choice","ariel-f-trait-2","","Action","MagazineBonus","200","","","","","","",""
"ariel-h-trait-1-blessed-holy-damage-bonus","Choice","ariel-h-trait-1","","Action","StatusDamageBonusRate","200","","","","","","",""
"ariel-h-trait-2-blessed-action-speed-bonus","Choice","ariel-h-trait-2","","Action","StatusActionSpeedBonus","200","","","","","","",""
"ariel-h-trait-3-duration-bonus","Choice","ariel-h-trait-3","","Action","DurationBonus","200","","","","","","",""
"ariel-i-trait-1-exposure-damage-taken-bonus","Choice","ariel-i-trait-1","","Action","StatusDamageTakenBonus","200","","","","","","",""
"ariel-i-trait-2-cooldown-multiplier","Choice","ariel-i-trait-2","","Action","CooldownMultiplier","200","","","","","","",""
"ariel-j-trait-2-shielded-holy-damage-bonus","Choice","ariel-j-trait-2","","Action","StatusDamageBonusRate","200","","","","","","",""
"ariel-j-trait-3-cooldown-multiplier","Choice","ariel-j-trait-3","","Action","CooldownMultiplier","200","","","","","","",""
"ariel-g-trait-1-shield-received-bonus","Choice","ariel-g-trait-1","","Action","StatusShieldReceivedBonus","200","","","","","","",""
"ariel-g-trait-2-start-shield-amount-multiplier","Choice","ariel-g-trait-2","ariel-g","Action","ShieldAmountMultiplier","200","","","","","","",""
"ariel-j-trait-1-after-e-action-speed-bonus","Choice","ariel-j-trait-1","ariel-j","Action","StatusActionSpeedBonus","200","","","","","","",""
"ariel-j-after-e-action-speed-status-modifier","Effect","ariel-j-after-e-action-speed","ariel-j","Action","StatusModifier","20","","","","","","RuntimeImplemented",""
"ariel-j-after-e-action-speed-effect-target","Effect","ariel-j-after-e-action-speed","ariel-j","Action","EffectTarget","21","","","","","","",""
"ariel-j-after-e-action-speed-effect-lifetime","Effect","ariel-j-after-e-action-speed","ariel-j","Action","EffectLifetime","24","","","","","","",""
"ariel-j-after-e-action-speed-status-action-speed-bonus","Effect","ariel-j-after-e-action-speed","ariel-j","Action","StatusActionSpeedBonus","25","","","","","","",""
"ariel-j-after-e-action-speed-trait1-status-modifier","Effect","ariel-j-after-e-action-speed-trait1","ariel-j","Action","StatusModifier","21","","","","","","MigratedToEffectBinding",""
"ariel-j-after-e-action-speed-trait1-effect-target","Effect","ariel-j-after-e-action-speed-trait1","ariel-j","Action","EffectTarget","22","","","","","","",""
"ariel-j-after-e-action-speed-trait1-effect-lifetime","Effect","ariel-j-after-e-action-speed-trait1","ariel-j","Action","EffectLifetime","25","","","","","","",""
"ariel-j-after-e-action-speed-trait1-status-action-speed-bonus","Effect","ariel-j-after-e-action-speed-trait1","ariel-j","Action","StatusActionSpeedBonus","26","","","","","","",""
"ariel-f-party-holy-damage-status-modifier","Effect","ariel-f-party-holy-damage","ariel-f","Action","StatusModifier","10","","","","","","RuntimeImplemented",""
"ariel-f-party-holy-damage-effect-target","Effect","ariel-f-party-holy-damage","ariel-f","Action","EffectTarget","11","","","","","","",""
"ariel-f-party-holy-damage-effect-lifetime","Effect","ariel-f-party-holy-damage","ariel-f","Action","EffectLifetime","14","","","","","","",""
"ariel-f-party-holy-damage-status-damage-bonus-rate","Effect","ariel-f-party-holy-damage","ariel-f","Action","StatusDamageBonusRate","15","","","","","","",""
"ariel-f-holy-skill-crit-trait3-status-modifier","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","StatusModifier","11","","ariel-f-trait-3","","","","RuntimeImplemented",""
"ariel-f-holy-skill-crit-trait3-effect-target","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","EffectTarget","12","","","","","","",""
"ariel-f-holy-skill-crit-trait3-condition-skill-attribute","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","ConditionSkillAttribute","14","","","","","","",""
"ariel-f-holy-skill-crit-trait3-effect-lifetime","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","EffectLifetime","15","","","","","","",""
"ariel-f-holy-skill-crit-trait3-status-critical-chance-bonus","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","StatusCriticalChanceBonus","16","","","","","","",""
"ariel-g-shield-received-status-modifier","Effect","ariel-g-shield-received","ariel-g","Action","StatusModifier","10","","","","","","RuntimeImplemented",""
"ariel-g-shield-received-effect-target","Effect","ariel-g-shield-received","ariel-g","Action","EffectTarget","11","","","","","","",""
"ariel-g-shield-received-effect-lifetime","Effect","ariel-g-shield-received","ariel-g","Action","EffectLifetime","14","","","","","","",""
"ariel-g-shield-received-status-shield-received-bonus","Effect","ariel-g-shield-received","ariel-g","Action","StatusShieldReceivedBonus","15","","","","","","",""
"ariel-g-shield-received-trait1-status-modifier","Effect","ariel-g-shield-received-trait1","ariel-g","Action","StatusModifier","11","","","","","","MigratedToEffectBinding",""
"ariel-g-shield-received-trait1-effect-target","Effect","ariel-g-shield-received-trait1","ariel-g","Action","EffectTarget","12","","","","","","",""
