"node_id","param_key","value_type","value"
"string","string","enum","string"
"ariel-b-trait-3-cooldown-multiplier","multiplier","float","0.8"
"ariel-b-trait-1-shield-amount-multiplier","multiplier","float","1.3"
"ariel-b-trait-2-duration-bonus","bonus_seconds","float","2"
"ariel-b-master-1-shield-amount-multiplier","multiplier","float","1.5"
"ariel-b-master-1-ailment-resistance","bonus","float","0.3"
"ariel-b-shielded-holy-trait5-effect-target","target_side","enum","AllAllies"
"ariel-b-shielded-holy-trait5-effect-target","target_selection","enum","Owner"
"ariel-b-shielded-holy-trait5-effect-target","target_shape","enum","Battlefield"
"ariel-b-shielded-holy-trait5-effect-target","center_mode","enum","Caster"
"ariel-b-shielded-holy-trait5-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-b-shielded-holy-trait5-condition-status","status_id","status_id","shield"
"ariel-b-shielded-holy-trait5-condition-status","target_side","enum","AllAllies"
"ariel-b-shielded-holy-trait5-condition-status","min_stacks","int","1"
"ariel-b-shielded-holy-trait5-effect-lifetime","duration_seconds","float","5"
"ariel-b-shielded-holy-trait5-status-damage-bonus-rate","bonus","float","0.12"
"ariel-b-shielded-holy-trait5-status-damage-bonus-rate","attribute","enum","Holy"
