"node_id","param_key","value_type","value"
"string","string","enum","string"
"ariel-f-trait-1-holy-damage-bonus","bonus","float","0.06"
"ariel-f-trait-2-magazine-bonus","bonus","int","2"
"ariel-h-trait-1-blessed-holy-damage-bonus","bonus","float","0.07"
"ariel-h-trait-2-blessed-action-speed-bonus","bonus","float","0.05"
"ariel-h-trait-3-duration-bonus","bonus_seconds","float","2"
"ariel-i-trait-1-exposure-damage-taken-bonus","bonus","float","0.05"
"ariel-i-trait-2-cooldown-multiplier","multiplier","float","0.8"
"ariel-j-trait-2-shielded-holy-damage-bonus","bonus","float","0.10"
"ariel-j-trait-3-cooldown-multiplier","multiplier","float","0.85"
"ariel-g-trait-1-shield-received-bonus","bonus","float","0.08"
"ariel-g-trait-2-start-shield-amount-multiplier","multiplier","float","1.4"
"ariel-j-trait-1-after-e-action-speed-bonus","bonus","float","0.07"
"ariel-j-after-e-action-speed-effect-target","target_side","enum","AllAllies"
"ariel-j-after-e-action-speed-effect-target","target_selection","enum","Owner"
"ariel-j-after-e-action-speed-effect-target","target_shape","enum","Battlefield"
"ariel-j-after-e-action-speed-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-j-after-e-action-speed-effect-lifetime","duration_seconds","float","5"
"ariel-j-after-e-action-speed-status-action-speed-bonus","bonus","float","0.15"
"ariel-j-after-e-action-speed-trait1-effect-target","target_side","enum","AllAllies"
"ariel-j-after-e-action-speed-trait1-effect-target","target_selection","enum","Owner"
"ariel-j-after-e-action-speed-trait1-effect-target","target_shape","enum","Battlefield"
"ariel-j-after-e-action-speed-trait1-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-j-after-e-action-speed-trait1-effect-lifetime","duration_seconds","float","5"
"ariel-j-after-e-action-speed-trait1-status-action-speed-bonus","bonus","float","0.07"
"ariel-f-party-holy-damage-effect-target","target_side","enum","AllAllies"
"ariel-f-party-holy-damage-effect-target","target_selection","enum","Owner"
"ariel-f-party-holy-damage-effect-target","target_shape","enum","Battlefield"
"ariel-f-party-holy-damage-effect-target","center_mode","enum","Caster"
"ariel-f-party-holy-damage-effect-lifetime","duration_seconds","float","0.5"
"ariel-f-party-holy-damage-status-damage-bonus-rate","bonus","float","0.12"
"ariel-f-party-holy-damage-status-damage-bonus-rate","attribute","enum","Holy"
"ariel-f-holy-skill-crit-trait3-effect-target","target_side","enum","AllAllies"
"ariel-f-holy-skill-crit-trait3-effect-target","target_selection","enum","Owner"
"ariel-f-holy-skill-crit-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-f-holy-skill-crit-trait3-effect-target","center_mode","enum","Caster"
"ariel-f-holy-skill-crit-trait3-condition-skill-attribute","attribute","enum","Holy"
"ariel-f-holy-skill-crit-trait3-effect-lifetime","duration_seconds","float","0.5"
"ariel-f-holy-skill-crit-trait3-status-critical-chance-bonus","bonus","float","0.08"
"ariel-g-shield-received-effect-target","target_side","enum","AllAllies"
"ariel-g-shield-received-effect-target","target_selection","enum","Owner"
"ariel-g-shield-received-effect-target","target_shape","enum","Battlefield"
"ariel-g-shield-received-effect-target","center_mode","enum","Caster"
"ariel-g-shield-received-effect-lifetime","duration_seconds","float","0.5"
"ariel-g-shield-received-status-shield-received-bonus","bonus","float","0.18"
"ariel-g-shield-received-trait1-effect-target","target_side","enum","AllAllies"
"ariel-g-shield-received-trait1-effect-target","target_selection","enum","Owner"
"ariel-g-shield-received-trait1-effect-target","target_shape","enum","Battlefield"
"ariel-g-shield-received-trait1-effect-target","center_mode","enum","Caster"
"ariel-g-shield-received-trait1-effect-lifetime","duration_seconds","float","0.5"
"ariel-g-shield-received-trait1-status-shield-received-bonus","bonus","float","0.08"
"ariel-g-start-shield-apply-shield","base_damage","float","25"
"ariel-g-start-shield-apply-shield","spell_power_coefficient","float","0.8"
"ariel-g-start-shield-effect-target","target_side","enum","AllAllies"
"ariel-g-start-shield-effect-target","target_selection","enum","Owner"
"ariel-g-start-shield-effect-target","target_shape","enum","Battlefield"
"ariel-g-start-shield-effect-target","center_mode","enum","Caster"
"ariel-g-start-shield-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-g-start-shield-effect-target","apply_once","bool","true"
"ariel-g-start-shield-effect-lifetime","duration_seconds","float","9999"
"ariel-g-start-shield-trait2-apply-shield","base_damage","float","10"
"ariel-g-start-shield-trait2-apply-shield","spell_power_coefficient","float","0.32"
"ariel-g-start-shield-trait2-effect-target","target_side","enum","AllAllies"
"ariel-g-start-shield-trait2-effect-target","target_selection","enum","Owner"
"ariel-g-start-shield-trait2-effect-target","target_shape","enum","Battlefield"
"ariel-g-start-shield-trait2-effect-target","center_mode","enum","Caster"
"ariel-g-start-shield-trait2-effect-target","visual_anchor_mode","enum","AppliedTargets"
"ariel-g-start-shield-trait2-effect-target","apply_once","bool","true"
"ariel-g-start-shield-trait2-effect-lifetime","duration_seconds","float","9999"
"ariel-g-shielded-holy-trait3-effect-target","target_side","enum","AllAllies"
"ariel-g-shielded-holy-trait3-effect-target","target_selection","enum","Owner"
"ariel-g-shielded-holy-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-g-shielded-holy-trait3-effect-target","center_mode","enum","Caster"
"ariel-g-shielded-holy-trait3-condition-status","status_id","status_id","shield"
"ariel-g-shielded-holy-trait3-condition-status","target_side","enum","AllAllies"
"ariel-g-shielded-holy-trait3-condition-status","min_stacks","int","1"
"ariel-g-shielded-holy-trait3-effect-lifetime","duration_seconds","float","0.5"
"ariel-g-shielded-holy-trait3-status-damage-bonus-rate","bonus","float","0.10"
"ariel-g-shielded-holy-trait3-status-damage-bonus-rate","attribute","enum","Holy"
"ariel-h-blessed-holy-damage-speed-effect-target","target_side","enum","AllAllies"
"ariel-h-blessed-holy-damage-speed-effect-target","target_selection","enum","Owner"
"ariel-h-blessed-holy-damage-speed-effect-target","target_shape","enum","Battlefield"
"ariel-h-blessed-holy-damage-speed-effect-target","center_mode","enum","Caster"
"ariel-h-blessed-holy-damage-speed-condition-status","status_id","status_id","blessing"
"ariel-h-blessed-holy-damage-speed-condition-status","target_side","enum","AllAllies"
"ariel-h-blessed-holy-damage-speed-condition-status","min_stacks","int","1"
"ariel-h-blessed-holy-damage-speed-effect-lifetime","duration_seconds","float","0.5"
"ariel-h-blessed-holy-damage-speed-status-action-speed-bonus","bonus","float","0.10"
"ariel-h-blessed-holy-damage-speed-status-damage-bonus-rate","bonus","float","0.15"
"ariel-h-blessed-holy-damage-speed-status-damage-bonus-rate","attribute","enum","Holy"
"ariel-i-holy-exposure-damage-taken-effect-target","target_shape","enum","Battlefield"
"ariel-i-holy-exposure-damage-taken-effect-target","center_mode","enum","Caster"
"ariel-i-holy-exposure-damage-taken-condition-status","status_id","status_id","holy-exposure"
"ariel-i-holy-exposure-damage-taken-condition-status","target_side","enum","Enemy"
"ariel-i-holy-exposure-damage-taken-condition-status","min_stacks","int","1"
