"node_id","param_key","value_type","value"
"string","string","enum","string"
"ariel-a-trait-1-damage-multiplier","multiplier","float","1.25"
"ariel-a-trait-2-magazine-bonus","bonus","int","3"
"ariel-a-trait-3-reload-time-multiplier","multiplier","float","0.8"
"ariel-a-trait-4-pierce-bonus","bonus","int","1"
"ariel-a-trait-5-count-shield-damage","status_id","status_id","shield"
"ariel-a-trait-5-count-shield-damage","target_side","enum","AllAllies"
"ariel-a-trait-5-count-shield-damage","amount_per_count","float","0.06"
"ariel-a-master-2-holy-exposure-on-hit-apply-status","status_id","status_id","holy-exposure"
"ariel-a-master-2-holy-exposure-on-hit-effect-target","target_selection","enum","EventTarget"
"ariel-a-master-2-holy-exposure-on-hit-effect-target","center_mode","enum","EffectTarget"
"ariel-a-master-2-holy-exposure-on-hit-effect-target","visual_anchor_mode","enum","AppliedTargets"
